,u_x1,u_x2,u_x3,u_y
2000,-1.6206241,1.2632297,0.1056961,0.3672415
2001,-0.93466467,-0.40267643,-0.006277909,0.90441716
2002,-2.3796508,-0.9971752,-0.019987414,0.13752854
2003,0.8287008,0.39668602,0.083823144,0.24206495
2004,0.098600686,0.34277076,-0.22891162,0.40177083
2005,0.12971987,-0.32483265,0.029679323,0.34435153
2006,0.8122144,-1.0354373,0.0648041,0.806877
2007,0.3281708,0.6576125,0.17283314,0.1913817
2008,0.61505187,-2.5986733,0.052095033,0.36045325
2009,1.2080245,-1.4770507,0.06109647,0.6910918
2010,0.7005294,0.5824377,0.014596866,0.54737186
2011,0.3761202,-1.6231053,-0.02662236,0.1145761
2012,-0.084152654,-1.3227669,-0.09805485,0.65814495
2013,1.4931649,1.3626167,-0.13726908,0.6389742
2014,1.0854307,-0.3437351,-0.049943134,0.21796775
2015,0.36225262,-0.24412352,0.054147225,0.0045405626
2016,1.0625622,0.31008276,0.18990293,0.21820092
2017,-1.4633937,-0.13735345,0.067205094,0.86913335
2018,0.53415203,-1.164852,0.0020282227,0.43096614
2019,-0.5914342,-2.1352758,0.016914656,0.48088694
2020,0.4858622,0.85672563,0.038823966,0.74299955
2021,-0.7511698,-0.3783281,-0.04837445,0.64123726
2022,0.06266517,0.81454134,-0.1918521,0.67013407
2023,-0.9702748,1.670681,0.0098560145,0.8669596
2024,0.40604284,0.6821422,-0.0895366,0.4095577
2025,0.17019273,0.4192819,-0.18607193,0.9020728
2026,0.34541392,-1.1349134,0.11651591,0.84541404
2027,-0.6783319,-2.3966157,-0.06363734,0.41277277
2028,0.31348446,1.210282,-0.004392078,0.25344253
2029,1.9679183,-0.11852146,0.04301914,0.7890034
2030,-0.07187647,0.57925135,0.22481845,0.8263322
2031,-1.1346221,-0.91964036,-0.09293529,0.5931879
2032,0.34226856,0.49596894,-0.013223781,0.4318905
2033,1.1570861,-1.0010773,0.032625347,0.7640246
2034,-0.6325393,0.8927859,-0.03645045,0.31682968
2035,-0.17170137,1.9346284,-0.1569829,0.3418361
2036,0.4460933,-0.055509992,0.006148378,0.36591053
2037,1.4700567,0.64091706,0.07544153,0.78101075
2038,1.329437,-0.921113,-0.0026770227,0.028465986
2039,0.69966924,0.21189001,0.017440472,0.65497124
2040,-3.322697,0.8293728,-0.066054,0.057306886
2041,-1.5854511,0.9605004,0.03688447,0.24928224
2042,0.031403944,-0.83516324,-0.061075743,0.6349182
2043,-0.67075354,0.77030075,-0.04449827,0.763409
2044,0.41157314,-1.3052057,-0.09641793,0.09580171
2045,-0.7538933,-0.071351014,-0.04529706,0.7869055
2046,0.17719266,-0.21416925,0.011474079,0.42437434
2047,1.3615681,-0.04144136,-0.19779734,0.21575987
2048,1.6354904,1.3647839,-0.097088546,0.20059061
2049,-1.675977,1.1542679,0.14809072,0.6395993
2050,2.5962715,1.7921788,-0.019854398,0.5807023
2051,-0.91196036,-1.114733,0.0008368141,0.50041544
2052,1.2681865,0.43794462,-0.0983901,0.2122916
2053,-1.5256974,1.4856304,0.051434714,0.7267128
2054,1.5646499,-2.01901,-0.045508962,0.049194932
2055,1.7974112,0.68857807,0.19494931,0.1557684
2056,-0.9047015,-0.3080616,0.0078939125,0.57667637
2057,1.4259356,-1.1127551,-0.01139072,0.073918104
2058,0.17637073,1.475791,0.088538565,0.23632467
2059,-1.264456,0.18374601,0.052345134,0.87768006
2060,-1.5728657,0.21357325,0.005563015,0.92189205
2061,2.8642015,1.8008559,-0.08950306,0.7835649
2062,0.104330584,-1.115104,-0.066111915,0.705521
2063,-0.7032078,0.93952554,-0.018097682,0.165941
2064,-0.42423606,0.524756,-0.010726381,0.8586807
2065,1.5298302,-0.4479565,-0.015153813,0.27169967
2066,0.27959788,0.23558253,0.08782406,0.83537924
2067,-0.37666175,-0.121336736,-0.018416557,0.88693535
2068,-1.0206776,0.34679654,0.10830797,0.14689231
2069,0.22899982,-0.42963305,-0.0050593275,0.6789675
2070,-1.6696148,0.17222829,0.20712952,0.82474756
2071,0.14822991,-1.9163538,-0.10185981,0.23538458
2072,-0.1401273,-0.50235647,-0.37633058,0.41002297
2073,1.365519,-0.0008186739,-0.030522997,0.08249831
2074,-1.1098334,-0.54587007,0.026538948,0.7481797
2075,-0.029599916,0.57887894,0.0025469195,0.6089494
2076,-0.97317255,1.0344427,-0.032735907,0.9113444
2077,-0.45439708,-0.56202304,0.02661925,0.96929026
2078,-0.54537416,0.29965606,0.10014671,0.58045304
2079,1.4187787,0.15763175,0.03386775,0.21687603
2080,-0.3779006,2.2251809,-0.015474806,0.64043975
2081,0.58026165,1.0625412,-0.1649531,0.7334533
2082,-1.7637298,-1.6890244,0.06898282,0.12682152
2083,2.0959623,-0.6023534,0.028342774,0.3200599
2084,0.3392231,-0.88253856,0.012152021,0.9935119
2085,1.5405576,-0.004789025,0.14726102,0.9672469
2086,0.42064935,1.1789693,-0.08211273,0.73781705
2087,-1.7450751,-0.17465638,-0.08600027,0.68486726
2088,-0.13431077,-0.6532008,0.066619255,0.47316885
2089,-1.2792656,1.8968017,0.13169336,0.27084315
2090,0.46575394,1.1164308,-0.03816309,0.62474537
2091,0.49685854,-1.8200513,0.10462288,0.5053061
2092,-1.5222235,-0.4293961,-0.013333662,0.9486643
2093,0.2914745,0.5542537,-0.20274709,0.90235305
2094,0.08816369,0.5352341,0.083802685,0.6822463
2095,2.0814128,-2.2316742,0.028708307,0.31264794
2096,2.0328074,-0.837272,0.018864164,0.90881634
2097,1.5921365,0.13293129,0.00435994,0.46512926
2098,0.5147745,0.6932188,-0.044044074,0.5903733
2099,-1.6221479,-1.4987817,-0.054283895,0.70058274
2100,-1.500947,-0.6355855,-0.008817765,0.3275404
2101,-0.0434823,-0.41928798,0.056079473,0.544358
2102,0.42604104,0.52851063,-0.00342599,0.17796004
2103,0.09659178,-0.49331173,0.12739922,0.45894766
2104,-0.4044078,-1.2097306,0.0612421,0.5470097
2105,0.07096322,0.7773815,0.0916761,0.50000536
2106,-0.30555058,-0.5283476,0.012947999,0.018687248
2107,-0.48587823,0.30510554,0.06797658,0.9805622
2108,-0.47183084,-0.3592704,0.0988308,0.31065857
2109,0.29997832,-0.5131484,0.03473618,0.35136032
2110,1.0417161,-0.4206231,-0.09661131,0.84201074
2111,-0.3128946,-0.28541148,0.1159056,0.58812714
2112,-1.6268637,0.35298297,0.02779576,0.3453406
2113,-0.17798662,-1.6535323,0.0047792247,0.41733086
2114,0.18677098,1.4860024,0.049505845,0.8776915
2115,-2.0508325,0.5585441,-0.0244291,0.6834097
2116,2.659854,0.35545665,-0.009517172,0.9645034
2117,-0.9072576,-0.1850446,-0.060771286,0.83601856
2118,0.87093306,0.44305733,0.018874416,0.6956159
2119,0.4141161,-0.37890497,-0.21912812,0.31227398
2120,1.4052111,1.6694349,0.0612044,0.12513137
2121,-0.27049223,0.6316006,0.05394386,0.053884506
2122,0.2571246,1.0611151,-0.06297492,0.86093867
2123,1.3317255,-0.8454965,-0.1885591,0.50619674
2124,0.87465125,2.2894137,-0.115628675,0.32136476
2125,1.7597152,1.894853,-0.098870814,0.4690591
2126,0.23171757,0.22192688,-0.049778663,0.61512697
2127,-0.42560902,0.62917745,-0.07948534,0.6601405
2128,1.4445264,0.6951588,0.14798103,0.8956623
2129,-0.086353324,-0.38402268,0.11225082,0.1386528
2130,0.19610237,-2.3071113,-0.13629553,0.29727042
2131,-0.6027432,-0.7787746,-0.0108868815,0.38198507
