,senior-level_skill
0,0.0
1,0.0
2,0.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.0
15,1.0
16,1.0
17,1.0
18,0.0
19,1.0
20,1.0
21,1.0
22,0.0
23,1.0
24,1.0
25,1.0
26,0.0
27,1.0
28,1.0
29,1.0
30,0.0
31,0.0
32,1.0
33,1.0
34,1.0
35,0.0
36,0.0
37,0.0
38,1.0
39,0.0
40,0.0
41,1.0
42,1.0
43,0.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.0
55,1.0
56,0.0
57,1.0
58,1.0
59,1.0
60,0.0
61,1.0
62,1.0
63,1.0
64,0.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.0
73,1.0
74,1.0
75,1.0
76,0.0
77,0.0
78,1.0
79,1.0
80,0.0
81,0.0
82,1.0
83,0.0
84,1.0
85,0.0
86,1.0
87,1.0
88,0.0
89,1.0
90,0.0
91,0.0
92,1.0
93,1.0
94,1.0
95,1.0
96,0.0
97,1.0
98,0.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,0.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,0.0
113,1.0
114,0.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,0.0
123,1.0
124,1.0
125,1.0
126,0.0
127,1.0
128,1.0
129,1.0
130,0.0
131,0.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.0
139,1.0
140,0.0
141,0.0
142,1.0
143,0.0
144,1.0
145,0.0
146,0.0
147,1.0
148,0.0
149,1.0
150,1.0
151,0.0
152,0.0
153,0.0
154,0.0
155,1.0
156,0.0
157,1.0
158,1.0
159,0.0
160,1.0
161,0.0
162,0.0
163,0.0
164,1.0
165,1.0
166,1.0
167,1.0
168,0.0
169,1.0
170,0.0
171,1.0
172,1.0
173,0.0
174,1.0
175,0.0
176,0.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,0.0
187,0.0
188,1.0
189,1.0
190,1.0
191,1.0
192,0.0
193,1.0
194,1.0
195,1.0
196,1.0
197,0.0
198,0.0
199,1.0
200,1.0
201,0.0
202,0.0
203,1.0
204,1.0
205,0.0
206,1.0
207,0.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,0.0
216,1.0
217,0.0
218,1.0
219,0.0
220,1.0
221,1.0
222,1.0
223,1.0
224,0.0
225,1.0
226,0.0
227,1.0
228,1.0
229,0.0
230,1.0
231,1.0
232,0.0
233,1.0
234,0.0
235,1.0
236,1.0
237,1.0
238,1.0
239,0.0
240,1.0
241,0.0
242,1.0
243,1.0
244,0.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,0.0
251,0.0
252,1.0
253,0.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,0.0
261,0.0
262,1.0
263,0.0
264,0.0
265,0.0
266,1.0
267,1.0
268,1.0
269,0.0
270,1.0
271,0.0
272,1.0
273,1.0
274,0.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,0.0
285,0.0
286,1.0
287,0.0
288,1.0
289,1.0
290,1.0
291,0.0
292,1.0
293,0.0
294,1.0
295,1.0
296,0.0
297,1.0
298,1.0
299,0.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,0.0
313,1.0
314,0.0
315,1.0
316,0.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,0.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,0.0
338,0.0
339,0.0
340,1.0
341,0.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,0.0
350,0.0
351,1.0
352,1.0
353,0.0
354,1.0
355,1.0
356,1.0
357,1.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,1.0
364,1.0
365,1.0
366,1.0
367,0.0
368,1.0
369,1.0
370,1.0
371,0.0
372,1.0
373,1.0
374,0.0
375,1.0
376,0.0
377,0.0
378,0.0
379,1.0
380,1.0
381,1.0
382,0.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
389,0.0
390,0.0
391,1.0
392,1.0
393,0.0
394,1.0
395,1.0
396,1.0
397,0.0
398,0.0
399,0.0
400,0.0
401,1.0
402,0.0
403,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,0.0
410,1.0
411,1.0
412,1.0
413,1.0
414,0.0
415,1.0
416,0.0
417,1.0
418,1.0
419,0.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,0.0
426,0.0
427,0.0
428,1.0
429,0.0
430,0.0
431,1.0
432,1.0
433,0.0
434,0.0
435,0.0
436,0.0
437,1.0
438,0.0
439,0.0
440,1.0
441,1.0
442,1.0
443,1.0
444,0.0
445,0.0
446,0.0
447,1.0
448,1.0
449,0.0
450,0.0
451,0.0
452,1.0
453,1.0
454,0.0
455,0.0
456,1.0
457,0.0
458,1.0
459,1.0
460,0.0
461,1.0
462,1.0
463,1.0
464,0.0
465,0.0
466,1.0
467,0.0
468,1.0
469,1.0
470,1.0
471,1.0
472,0.0
473,0.0
474,1.0
475,0.0
476,1.0
477,1.0
478,1.0
479,1.0
480,0.0
481,1.0
482,0.0
483,1.0
484,0.0
485,1.0
486,1.0
487,1.0
488,1.0
489,0.0
490,0.0
491,1.0
492,0.0
493,1.0
494,1.0
495,1.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,1.0
502,0.0
503,1.0
504,0.0
505,0.0
506,1.0
507,0.0
508,0.0
509,1.0
510,1.0
511,0.0
512,1.0
513,1.0
514,1.0
515,0.0
516,1.0
517,0.0
518,1.0
519,1.0
520,1.0
521,0.0
522,0.0
523,1.0
524,0.0
525,1.0
526,1.0
527,0.0
528,1.0
529,0.0
530,1.0
531,1.0
532,0.0
533,1.0
534,0.0
535,1.0
536,0.0
537,1.0
538,1.0
539,1.0
540,1.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,1.0
554,1.0
555,0.0
556,1.0
557,1.0
558,1.0
559,0.0
560,1.0
561,1.0
562,1.0
563,1.0
564,0.0
565,1.0
566,0.0
567,1.0
568,1.0
569,1.0
570,0.0
