r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1316.9287185929647,0.0,0.04271356783919598,0.0,1316.971432160804,0.0,0.0,545.2623689253625,0.0,0.06040610693553421,0.0,545.322775032298,0.75
individualized,acceptance,0.0,0.0,976.6324999999999,0.0,2.9325,0.0,979.565,0.0,0.0,92.2244019362555,0.0,4.147181271659101,0.0,88.0772206645964,0.85
individualized,acceptance,0.0,0.0,953.5748692959748,0.0,0.027752398355413432,0.0,953.6026216943302,0.0,0.0,0.3155258978433399,0.0,0.02503461651071605,0.0,0.34056051435401175,0.9
individualized,acceptance,0.0,0.0,1015.325,0.005,0.1875,0.0,1015.5174999999999,0.0,0.0,51.625866094429746,0.007071067811865475,0.2651650429449553,0.0,51.35362998367293,0.95
subpopulation,acceptance,0.0,0.0,991.265,0.0,0.0,0.0,991.265,,,,,,,,0.75
subpopulation,acceptance,0.0,0.0,986.85,0.0,6.035,0.0,992.885,,,,,,,,0.85
subpopulation,acceptance,0.0,0.0,956.205,0.0,0.0,0.0,956.205,,,,,,,,0.9
subpopulation,acceptance,0.0,0.0,977.4120603015075,0.005025125628140704,0.37185929648241206,0.0,977.7889447236181,,,,,,,,0.95
individualized,counterfactual,0.0,0.0,976.395,0.0,0.0,0.0,976.395,,,,,,,,0.75
individualized,counterfactual,0.0,0.0,963.58,0.0,5.825,0.0,969.4050000000001,,,,,,,,0.85
individualized,counterfactual,0.0,0.0,982.41,0.0,0.005,0.0,982.415,,,,,,,,0.9
individualized,counterfactual,0.0,0.0,997.715,-0.015,0.325,0.0,998.025,,,,,,,,0.95
individualized,improvement,0.5675,1.385,,,,1.9525000000000001,0.0,0.038890872965260066,0.014142135623730963,,,,0.05303300858899103,0.0,0.75
individualized,improvement,0.5891331658291458,1.3633417085427135,,,,1.9524748743718594,0.0,0.09069799291350066,0.037700517328589214,,,,0.05299747558491144,0.0,0.85
individualized,improvement,0.63,1.4625,,,,2.0925000000000002,0.0,0.04242640687119289,0.003535533905932819,,,,0.038890872965260226,0.0,0.9
individualized,improvement,0.625,1.6600000000000001,,,,2.285,0.0,0.014142135623730963,0.06363961030678934,,,,0.049497474683058526,0.0,0.95
subpopulation,improvement,0.6,1.3,,,,1.9,0.0,,,,,,,,0.75
subpopulation,improvement,0.64,1.175,,,,1.815,0.0,,,,,,,,0.85
subpopulation,improvement,0.635,1.525,,,,2.16,0.0,,,,,,,,0.9
subpopulation,improvement,0.56,1.62,,,,2.18,0.0,,,,,,,,0.95
