,years_experience,degree
3000,2.0,0.0
2276,2.0,0.0
3739,0.0,2.0
3489,1.0,1.0
2384,0.0,2.0
2051,1.0,3.0
3242,0.0,2.0
2741,0.0,1.0
2403,3.0,0.0
2312,0.0,2.0
2374,1.0,1.0
2907,1.0,3.0
3752,2.0,0.0
2593,1.0,1.0
3717,0.0,2.0
2704,0.0,3.0
2648,0.0,2.0
3052,1.0,1.0
2249,0.0,3.0
3679,1.0,3.0
2735,0.0,2.0
2466,0.0,1.0
2315,1.0,1.0
2113,1.0,1.0
3807,0.0,2.0
2021,0.0,2.0
3289,0.0,3.0
2195,1.0,1.0
2465,1.0,1.0
3676,1.0,1.0
3870,1.0,2.0
2562,1.0,1.0
3552,1.0,1.0
2696,1.0,1.0
2862,0.0,2.0
2772,1.0,1.0
3887,0.0,2.0
3464,0.0,2.0
2797,0.0,2.0
2975,2.0,1.0
3348,1.0,1.0
2175,0.0,3.0
2142,0.0,2.0
2575,0.0,3.0
3973,0.0,2.0
2341,1.0,3.0
2075,0.0,1.0
2397,1.0,1.0
3488,2.0,1.0
3303,3.0,1.0
3463,1.0,2.0
2540,0.0,1.0
3145,0.0,1.0
3015,1.0,3.0
3844,0.0,3.0
2725,1.0,2.0
2068,0.0,3.0
3529,0.0,2.0
3301,0.0,3.0
2040,0.0,2.0
3219,2.0,1.0
3173,0.0,3.0
2143,2.0,1.0
2647,1.0,0.0
3123,0.0,2.0
3091,0.0,3.0
2827,0.0,1.0
2267,0.0,2.0
3162,1.0,2.0
3559,2.0,1.0
2686,0.0,3.0
3193,0.0,2.0
3883,2.0,1.0
3622,0.0,2.0
3863,1.0,1.0
3895,1.0,1.0
2506,0.0,2.0
2293,1.0,3.0
2961,0.0,2.0
2884,1.0,1.0
2926,0.0,2.0
3858,0.0,1.0
3571,0.0,2.0
2389,0.0,1.0
3261,1.0,1.0
3621,0.0,2.0
2531,0.0,2.0
3474,0.0,1.0
2171,0.0,2.0
2393,1.0,3.0
3252,0.0,2.0
3500,0.0,3.0
2025,0.0,2.0
3419,2.0,1.0
3148,0.0,2.0
3878,0.0,2.0
2297,1.0,1.0
3694,0.0,1.0
2809,1.0,2.0
2499,0.0,2.0
3391,1.0,1.0
2660,0.0,2.0
2436,0.0,2.0
3982,0.0,3.0
2766,0.0,2.0
2770,1.0,1.0
2692,1.0,1.0
3025,2.0,0.0
2994,0.0,2.0
2537,0.0,3.0
3054,1.0,1.0
2685,0.0,2.0
3792,0.0,2.0
2141,0.0,2.0
2265,1.0,2.0
3793,1.0,1.0
3755,0.0,2.0
2777,2.0,0.0
3881,1.0,1.0
3243,0.0,3.0
2718,0.0,2.0
3596,0.0,2.0
3663,1.0,1.0
2543,0.0,1.0
2035,0.0,2.0
2984,0.0,2.0
2331,0.0,2.0
2508,2.0,1.0
3560,0.0,2.0
3590,0.0,2.0
2118,3.0,1.0
3949,0.0,2.0
3674,0.0,3.0
2695,0.0,3.0
3944,0.0,1.0
2292,1.0,2.0
3009,1.0,3.0
3196,0.0,2.0
3263,0.0,2.0
3774,0.0,3.0
2651,1.0,1.0
2134,1.0,1.0
3934,0.0,2.0
2939,0.0,1.0
3405,3.0,1.0
3110,1.0,1.0
2810,1.0,2.0
3549,1.0,1.0
2576,0.0,2.0
3800,0.0,2.0
3300,1.0,2.0
2577,1.0,3.0
3053,0.0,1.0
3177,2.0,2.0
3142,0.0,2.0
2662,1.0,2.0
2624,1.0,1.0
3574,0.0,2.0
2597,0.0,1.0
2818,0.0,2.0
2958,2.0,0.0
2671,1.0,1.0
2712,1.0,3.0
3910,2.0,1.0
3673,0.0,2.0
2453,2.0,1.0
3077,0.0,3.0
3088,0.0,3.0
2154,0.0,3.0
3776,0.0,2.0
2844,1.0,2.0
2559,1.0,1.0
3136,0.0,1.0
3955,1.0,1.0
2798,1.0,1.0
2179,0.0,1.0
3406,0.0,2.0
2955,0.0,3.0
2520,1.0,1.0
2344,1.0,1.0
3802,1.0,3.0
2004,1.0,1.0
2450,0.0,2.0
3584,0.0,2.0
3658,2.0,2.0
3208,0.0,3.0
3762,1.0,1.0
3619,2.0,0.0
2551,1.0,1.0
3286,0.0,3.0
3706,0.0,3.0
3158,2.0,0.0
3917,0.0,1.0
2073,0.0,2.0
3905,3.0,1.0
3657,2.0,0.0
2759,0.0,2.0
3659,0.0,2.0
3059,2.0,2.0
2103,1.0,3.0
