,x1,x2
1916,2.3,0.0
1624,0.8,1.0
1283,1.6,-0.0
1688,1.3,2.1
1189,2.8,3.6
1362,1.1,0.0
1257,0.6,-0.0
1550,1.4,0.0
1103,0.1,1.4
1302,0.9,0.0
1847,1.6,0.0
1397,0.7,0.0
1204,1.4,0.0
1319,1.4,1.7
1346,1.3,0.0
1098,1.6,-0.0
1484,2.7,3.4
1246,0.9,0.0
1171,1.4,0.0
1016,2.7,2.2
1902,0.9,-0.0
1681,1.1,-0.0
1557,2.3,2.8
1248,2.0,2.4
1903,2.5,3.2
1952,1.5,0.0
1199,1.1,0.0
1695,2.3,2.8
1729,0.7,0.9
1413,0.7,-0.0
1373,1.1,0.0
1014,1.0,0.0
1165,1.1,1.3
1260,0.6,0.0
1025,1.0,0.0
1231,1.5,-0.0
1666,1.0,-0.0
1570,2.9,2.3
1976,1.8,1.5
1006,1.0,-0.0
1332,1.7,-0.0
1492,1.6,0.0
1879,2.0,2.6
1012,1.1,-0.0
1934,0.9,-0.0
1693,2.2,2.1
1462,0.6,0.0
1768,2.8,4.9
1309,1.1,-0.0
1463,0.6,1.3
1931,0.8,0.0
1305,2.5,4.5
1947,1.5,-0.0
1820,1.9,1.2
1572,1.2,1.4
1538,0.8,-0.0
1868,0.7,0.0
1386,0.7,0.8
1429,0.7,0.9
1630,0.9,-0.0
1905,0.8,-0.0
1111,3.1,3.9
1345,1.0,0.0
1279,0.8,-0.0
1326,2.2,2.8
1380,0.6,-0.0
1011,2.0,0.0
1222,1.0,0.0
1223,0.8,0.0
1668,1.9,0.0
1316,2.2,2.8
1240,1.7,2.1
1958,1.0,1.1
1700,1.1,-0.0
1542,1.8,4.7
1746,1.3,-0.0
1794,1.2,0.0
1496,1.0,0.0
1241,0.8,0.0
1839,1.7,1.0
1593,1.7,1.9
1131,0.8,0.0
1923,0.7,0.0
1148,0.7,-0.0
1273,0.6,1.1
1562,2.1,2.7
1422,1.3,0.0
1070,0.8,0.0
1708,1.3,-0.0
1546,1.6,0.0
1828,1.1,1.3
1717,2.3,0.0
1238,2.6,3.3
1250,1.6,-0.0
1559,1.5,-0.0
1560,1.2,0.0
1036,1.5,0.0
1629,2.3,1.7
1836,0.7,0.0
1900,1.9,-0.0
