r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.7196666399637858,0.2566666603088379,2.419166666666667,0.0,0.0,0.0,0.0,,0.06465549920520478,0.054848274884759296,0.2786796248980781
individualized,acceptance,0.85,0.85,1.0,1.0,,0.6383333206176758,0.2550000051657359,2.276666666666667,0.0,0.0,0.0,0.0,,0.13000129841071068,0.04582575877051038,0.10835281876044257
individualized,acceptance,0.9,0.9,1.0,1.0,,0.7923333048820496,0.13666666547457376,1.6641666666666668,0.0,0.0,0.0,0.0,,0.12140977899896589,0.12003471548706775,0.9872692557419853
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.7136666576067606,0.22333332896232605,2.394166666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.16782234692895007,0.036170881942949186,0.13877349650899978
subpopulation,acceptance,0.75,0.75,1.0,0.8666666666666667,,0.6223333477973938,0.20666666825612387,2.121,0.0,0.0,0.0,0.051316014394468826,,0.10368378697838007,0.041932479779639244,0.015556349186104216
subpopulation,acceptance,0.85,0.85,1.0,0.9466666666666667,,0.5839999616146088,0.20833333333333334,2.3363333333333336,0.0,0.0,0.0,0.014433756729740593,,0.15507741075942394,0.0450924919765403,0.15754470265081374
subpopulation,acceptance,0.9,0.9,1.0,0.9700000000000001,,0.7660000324249268,0.0949999988079071,1.7276666666666667,0.0,0.0,0.0,0.013228756555322964,,0.13975336751480605,0.08321658431245889,0.9493237505368404
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,0.9866666666666667,,0.6673333247502645,0.16500000158945718,2.5406666666666666,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.00763762615825974,,0.22486512372663126,0.027838818013764987,0.16963514769449586
individualized,counterfactual,0.75,0.75,1.0,0.9783333333333334,,0.6633333166440328,0.1699999968210856,1.9320000000000002,0.0,0.0,0.0,0.025658007197234444,,0.09291576784210193,0.04924428743547761,0.07639862564208855
individualized,counterfactual,0.85,0.85,1.0,0.9933333333333333,,0.5916666388511658,0.17666666706403097,2.4076666666666666,0.0,0.0,0.0,0.011547005383792525,,0.1623894417477819,0.03883726737692814,0.15353691195713634
individualized,counterfactual,0.9,0.9,1.0,0.89,,0.6836666663487753,0.08999999860922496,1.7148333333333337,0.0,0.0,0.0,0.19052558883257648,,0.03098924333316433,0.07810249572880157,0.9957089601551918
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,0.9966666666666667,,0.6683333516120911,0.14833333591620126,2.549166666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0028867513459481316,,0.241143817683806,0.011547002974899474,0.18431042654536223
individualized,improvement,0.75,0.75,1.0,0.9566666666666667,0.7766666666666667,0.9476666450500488,0.7516666849454244,2.256,0.0,0.0,0.0,0.012583057392117928,0.04252450274057688,0.01501110300707996,0.03883726354010856,0.22809921087105944
individualized,improvement,0.85,0.85,1.0,0.985,0.8916666666666666,0.984000047047933,0.8566666642824808,2.5093333333333336,0.0,0.0,0.0,0.010000000000000009,0.03253203549323859,0.009539356674018689,0.045092485367389655,0.054093283624987505
individualized,improvement,0.9,0.9,0.9933333333333333,0.6957142857142857,0.9464965986394557,0.6834966217478117,0.8893197178840637,3.0449625850340136,0.0,0.0,0.011547005383792525,0.5097178090845553,0.02537645208499499,0.5274163312073127,0.012489193097852253,0.21294498215297059
individualized,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,0.9700000000000001,1.0,0.9449999928474426,3.4271666666666665,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0050000000000000044,0.0,0.004999995231628418,0.0322580739247297
subpopulation,improvement,0.75,0.75,1.0,0.8133333333333334,,0.8103333115577698,0.6899999976158142,2.2745,0.0,0.0,0.0,0.016072751268321542,,0.012741022078217827,0.0507444681619776,0.21403679590201263
subpopulation,improvement,0.85,0.85,1.0,0.9216666666666667,,0.9126666386922201,0.8083333373069763,2.3881666666666668,0.0,0.0,0.0,0.02020725942163687,,0.021779195997903903,0.05484828031835533,0.0663331239527687
subpopulation,improvement,0.9,0.9,0.9933333333333333,0.668843537414966,,0.6590544121960799,0.8456802765528361,2.869571428571428,0.0,0.0,0.011547005383792525,0.5129824080732612,,0.520389158762719,0.01834646868109467,0.23024229695284618
subpopulation,improvement,0.9499999999999998,0.9499999999999998,1.0,0.9966666666666667,,0.9953333536783854,0.9383333325386047,3.2778333333333336,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0028867513459481316,,0.0020816630599442536,0.012583045391979259,0.06871013996007665
