r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.7553333242734274,0.996666669845581,4.265000000000001,0.0,0.0,0.0,0.0,,0.08893442311508498,0.005773497185855025,0.6525036398365915
individualized,acceptance,0.75,0.75,1.0,1.0,,0.8806666731834412,1.0,4.0249999999999995,0.0,0.0,0.0,0.0,,0.04119868094809999,0.0,0.16541765322963525
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.7106666366259257,0.996666669845581,3.91,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.14428212666990897,0.005773497185855025,0.6280859813751624
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.8606666723887125,1.0,4.0249999999999995,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.05859463079850573,0.0,0.16541765322963525
subpopulation,acceptance,0.75,0.75,1.0,0.9233333333333333,,0.7126666704813639,0.9933333396911621,4.899,0.0,0.0,0.0,0.01527525231651942,,0.07414400851076718,0.01154699437171005,0.15697770542341447
subpopulation,acceptance,0.75,0.75,1.0,0.9500000000000001,,0.8340000112851461,0.996666669845581,4.043333333333333,0.0,0.0,0.0,0.017320508075688724,,0.04582574576371193,0.005773497185855025,0.17943336739116647
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.7160000006357828,0.996666669845581,4.043666666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.13788403015101025,0.005773497185855025,0.6399268187326845
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,0.9966666666666667,,0.8526666561762491,1.0,4.1579999999999995,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.005773502691896262,,0.06388527979190024,0.0,0.18811964278086418
individualized,counterfactual,0.75,0.75,1.0,0.9966666666666667,,0.7280000249544779,0.996666669845581,4.921666666666666,0.0,0.0,0.0,0.005773502691896262,,0.09406386188524025,0.005773497185855025,0.7607616797219305
individualized,counterfactual,0.75,0.75,1.0,0.9899999999999999,,0.8506667017936707,1.0,4.319999999999999,0.0,0.0,0.0,0.010000000000000009,,0.05608328446684117,0.0,0.16614150595200455
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,0.9966666666666667,,0.6706666747728983,0.996666669845581,4.265000000000001,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.005773502691896262,,0.1590765258850598,0.005773497185855025,0.6525036398365915
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,0.9899999999999999,,0.8293333053588867,1.0,4.319999999999999,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.010000000000000009,,0.07433259973321087,0.0,0.16614150595200455
individualized,improvement,0.75,0.75,1.0,0.9933333333333333,1.0,0.9933332999547323,1.0,3.91,0.0,0.0,0.0,0.005773502691896262,0.0,0.005773531598612731,0.0,0.6280859813751624
individualized,improvement,0.75,0.75,1.0,0.9933333333333333,1.0,0.9933332999547323,1.0,5.435666666666667,0.0,0.0,0.0,0.005773502691896262,0.0,0.005773531598612731,0.0,0.1906628787502522
individualized,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,1.0,1.0,1.0,6.126333333333334,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.7271597715312189
individualized,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,1.0,1.0,1.0,6.272333333333333,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.1583961278988012
subpopulation,improvement,0.75,0.75,1.0,0.8533333333333334,,0.8546666502952576,1.0,3.924666666666667,0.0,0.0,0.0,0.04163331998932269,,0.04387861882108978,0.0,0.5968629099997201
subpopulation,improvement,0.75,0.75,1.0,0.8466666666666667,,0.8473333517710367,0.996666669845581,5.051333333333333,0.0,0.0,0.0,0.020816659994661344,,0.020526389279676125,0.005773497185855025,0.2570453915815909
subpopulation,improvement,0.9499999999999998,0.9499999999999998,1.0,0.7999999999999999,,0.7973333398501078,0.996666669845581,4.859000000000001,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.06557438524302,,0.06375999666262713,0.005773497185855025,0.3747118893229838
subpopulation,improvement,0.9499999999999998,0.9499999999999998,1.0,0.8166666666666668,,0.8113333185513815,1.0,5.039666666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.041633319989322626,,0.03785937385807015,0.0,0.2795251926630824
