,x1,x2
815,2.5,0.0
663,3.0,0.0
840,-0.0,4.1
701,3.0,-0.0
796,1.3,0.0
907,3.4,0.0
733,2.1,2.5
959,1.8,1.2
621,0.4,5.0
772,3.5,3.8
795,2.6,-0.0
964,3.7,2.7
719,2.5,0.0
874,2.5,0.0
800,1.2,3.0
642,1.5,3.4
922,1.5,3.4
844,2.6,-0.0
813,2.5,-0.0
695,2.0,0.0
871,1.4,4.0
583,2.9,2.8
977,2.6,0.0
778,2.5,3.5
722,2.1,3.2
998,1.2,2.5
512,4.3,0.0
606,2.6,0.0
943,2.2,0.0
569,1.8,2.5
894,2.7,-0.0
750,2.6,0.0
723,2.0,2.1
899,0.8,3.5
837,2.0,0.0
790,1.5,-0.0
870,1.8,3.5
505,1.7,-0.0
544,0.9,3.6
877,2.6,-0.0
748,4.1,4.4
528,3.0,0.0
869,3.1,0.0
857,1.6,0.0
685,2.8,-0.0
757,2.6,-0.0
944,1.6,2.3
581,2.0,1.7
623,2.4,-0.0
862,2.9,3.8
639,2.6,2.5
822,1.3,2.9
817,3.8,4.1
649,2.3,-0.0
614,2.6,-0.0
935,2.3,0.0
961,2.1,5.7
536,3.3,-0.0
946,2.1,0.0
532,1.3,2.5
798,2.3,2.8
645,2.4,0.0
510,0.7,2.3
683,2.7,-0.0
865,1.0,0.0
988,3.1,-0.0
565,1.6,2.4
718,2.8,-0.0
812,2.3,3.0
957,3.9,0.0
984,1.1,0.7
933,1.3,5.5
687,2.0,-0.0
533,2.7,0.0
692,3.0,-0.0
646,1.0,1.3
715,2.6,-0.0
850,3.2,1.8
504,2.1,0.0
731,2.5,-0.0
617,2.5,-0.0
747,3.7,2.5
601,2.9,-0.0
628,3.2,-0.0
549,1.7,0.0
963,0.3,2.7
801,2.9,2.7
949,2.4,0.0
574,2.9,-0.0
530,3.8,3.2
503,2.5,-0.0
713,2.4,0.0
547,0.6,3.7
560,2.3,0.0
952,3.4,-0.0
616,1.5,0.0
609,2.8,-0.0
779,0.9,2.3
743,3.3,0.0
537,1.9,0.0
