,credit
7706,0.0
9237,0.0
7250,0.0
6760,0.0
7007,0.0
5240,0.0
7733,0.0
5612,0.0
8922,0.0
6093,0.0
7584,0.0
6924,0.0
9670,0.0
5150,0.0
5540,0.0
5681,0.0
7769,0.0
6427,0.0
5691,0.0
9028,0.0
7531,0.0
5947,0.0
8891,1.0
6348,0.0
7738,0.0
7425,0.0
9280,0.0
7062,0.0
5855,0.0
6900,0.0
5586,0.0
9461,0.0
8001,0.0
5315,0.0
8782,0.0
5558,0.0
6338,0.0
9824,0.0
8969,0.0
6949,0.0
5679,0.0
5716,0.0
8811,0.0
6931,0.0
7154,0.0
7224,0.0
7576,0.0
5795,0.0
5717,0.0
6557,0.0
8046,0.0
6564,0.0
8460,0.0
9541,0.0
5946,0.0
6174,0.0
5658,0.0
9849,0.0
5226,0.0
9767,0.0
7499,0.0
9516,0.0
8501,0.0
7113,0.0
8354,0.0
5856,0.0
8226,0.0
5392,0.0
9243,0.0
9997,0.0
8876,0.0
8858,0.0
7959,0.0
8808,0.0
6358,0.0
8266,0.0
6233,0.0
8137,0.0
6135,0.0
5243,0.0
5712,0.0
5219,0.0
7397,0.0
7162,0.0
6930,0.0
5644,0.0
7631,0.0
5492,0.0
5695,0.0
9224,0.0
7418,0.0
6861,0.0
5544,0.0
8636,0.0
7109,0.0
6034,0.0
6005,0.0
5146,0.0
9714,0.0
7248,0.0
