,senior-level_skill
2389,1.0
3941,1.0
3531,1.0
3102,1.0
2248,1.0
2486,1.0
3713,1.0
2538,1.0
3550,1.0
3207,1.0
2395,1.0
2234,1.0
2336,1.0
3743,0.0
2382,1.0
3031,1.0
3066,1.0
2104,1.0
3500,1.0
2577,1.0
3226,1.0
2247,1.0
2680,1.0
3618,1.0
2065,1.0
2155,1.0
3236,1.0
2349,1.0
2893,1.0
2813,1.0
2096,0.0
3090,1.0
2479,1.0
2529,1.0
3710,1.0
3513,1.0
3590,1.0
2007,1.0
3506,1.0
3223,1.0
3000,1.0
3741,1.0
3414,1.0
3633,1.0
2285,1.0
3097,1.0
3726,1.0
2908,1.0
2523,1.0
3760,1.0
3095,1.0
2530,1.0
2421,1.0
3420,1.0
3124,1.0
3285,1.0
2126,1.0
3113,1.0
3061,1.0
2829,1.0
2169,1.0
2676,1.0
2566,0.0
2755,1.0
3602,1.0
2952,1.0
2487,1.0
3578,1.0
3763,1.0
2721,1.0
2823,1.0
2743,1.0
2760,1.0
3789,1.0
3965,1.0
3081,1.0
3240,1.0
2467,1.0
3265,1.0
2140,1.0
3964,1.0
3122,1.0
2886,1.0
3459,1.0
2333,1.0
2196,1.0
3574,1.0
2961,1.0
2188,1.0
2683,1.0
3724,1.0
3891,1.0
3535,1.0
3911,1.0
3598,1.0
2281,1.0
2887,1.0
2061,1.0
3691,1.0
3069,1.0
3455,1.0
3735,1.0
3134,1.0
2174,1.0
2338,1.0
2080,1.0
2768,1.0
3693,1.0
2722,1.0
2699,1.0
3970,1.0
3006,1.0
2384,1.0
2951,0.0
2630,1.0
3541,1.0
3940,1.0
3661,1.0
2083,1.0
3059,1.0
3152,1.0
2889,1.0
2368,1.0
2102,1.0
3398,1.0
2493,1.0
3591,1.0
3029,1.0
3580,1.0
3362,0.0
2963,1.0
2516,1.0
3077,1.0
2843,1.0
3604,1.0
2131,1.0
3616,1.0
3653,1.0
3719,1.0
2958,1.0
3387,1.0
3996,1.0
3174,1.0
2399,1.0
3519,1.0
3445,1.0
2260,1.0
2984,1.0
2972,1.0
3736,1.0
2654,1.0
3830,1.0
2290,1.0
3471,0.0
2497,0.0
3117,1.0
2776,1.0
3485,1.0
2653,1.0
2752,1.0
3042,1.0
3776,0.0
3487,1.0
2138,1.0
2622,1.0
3368,1.0
3646,1.0
3810,1.0
3952,1.0
3628,1.0
3370,1.0
3655,1.0
3880,1.0
2575,1.0
2238,1.0
2728,1.0
3393,1.0
3442,1.0
3298,1.0
2319,1.0
2115,1.0
2358,1.0
3737,1.0
2261,1.0
3751,1.0
2714,1.0
3047,1.0
3231,1.0
3276,1.0
3855,1.0
2424,1.0
3566,1.0
2498,1.0
3257,1.0
2967,1.0
3512,1.0
2451,1.0
3643,1.0
2500,0.0
3401,0.0
