scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
3var-causal,CE,individualized,0.75,0.39,0.11,1.0,0.0,,,0.49,0.13,2.98,0.56
3var-causal,CE,individualized,0.85,0.39,0.11,1.0,0.0,,,0.49,0.13,2.98,0.56
3var-causal,CE,individualized,0.9,0.39,0.11,1.0,0.0,,,0.49,0.13,2.98,0.56
3var-causal,CE,individualized,0.95,0.39,0.11,1.0,0.0,,,0.49,0.13,4.27,0.27
3var-causal,CE,subpopulation,0.75,0.39,0.11,1.0,0.0,,,0.41,0.13,3.0,0.56
3var-causal,CE,subpopulation,0.85,0.39,0.11,1.0,0.0,,,0.41,0.13,3.0,0.56
3var-causal,CE,subpopulation,0.9,0.39,0.11,1.0,0.0,,,0.41,0.13,3.0,0.56
3var-causal,CE,subpopulation,0.95,0.39,0.11,1.0,0.0,,,0.41,0.13,4.1,0.26
3var-causal,CR,individualized,0.75,0.44,0.09,1.0,0.0,,,0.69,0.08,2.25,0.29
3var-causal,CR,individualized,0.85,0.44,0.09,1.0,0.0,,,0.69,0.08,2.25,0.29
3var-causal,CR,individualized,0.9,0.44,0.09,1.0,0.0,,,0.69,0.08,2.25,0.29
3var-causal,CR,individualized,0.95,0.44,0.09,1.0,0.0,,,0.69,0.08,2.98,0.56
3var-causal,CR,subpopulation,0.75,0.45,0.11,0.86,0.05,,,0.59,0.07,2.41,0.34
3var-causal,CR,subpopulation,0.85,0.44,0.1,0.92,0.03,,,0.59,0.08,2.56,0.39
3var-causal,CR,subpopulation,0.9,0.44,0.1,0.96,0.02,,,0.61,0.08,2.61,0.39
3var-causal,CR,subpopulation,0.95,0.43,0.1,0.98,0.02,,,0.6,0.08,3.44,0.68
3var-causal,ICR,individualized,0.75,0.77,0.04,0.99,0.03,1.0,0.0,0.98,0.03,3.41,0.23
3var-causal,ICR,individualized,0.85,0.86,0.03,0.99,0.01,1.0,0.0,0.99,0.02,3.84,0.26
3var-causal,ICR,individualized,0.9,0.91,0.02,1.0,0.0,1.0,0.0,1.0,0.01,3.8,0.29
3var-causal,ICR,individualized,0.95,0.95,0.02,1.0,0.01,1.0,0.0,1.0,0.01,2.25,0.29
3var-causal,ICR,subpopulation,0.75,0.74,0.03,0.94,0.03,,,0.94,0.03,3.51,0.24
3var-causal,ICR,subpopulation,0.85,0.84,0.02,0.98,0.02,,,0.98,0.02,3.96,0.32
3var-causal,ICR,subpopulation,0.9,0.89,0.03,0.99,0.01,,,0.99,0.01,3.96,0.26
3var-causal,ICR,subpopulation,0.95,0.95,0.02,1.0,0.01,,,1.0,0.01,2.68,0.41
3var-noncausal,CE,individualized,0.75,0.17,0.02,0.98,0.02,,,0.65,0.2,2.0,0.1
3var-noncausal,CE,individualized,0.85,0.17,0.02,0.98,0.02,,,0.65,0.2,2.31,0.12
3var-noncausal,CE,individualized,0.9,0.17,0.02,0.98,0.02,,,0.65,0.2,2.31,0.12
3var-noncausal,CE,individualized,0.95,0.17,0.02,0.98,0.02,,,0.65,0.2,2.31,0.12
3var-noncausal,CE,subpopulation,0.75,0.18,0.03,0.97,0.03,,,0.61,0.22,2.14,0.09
3var-noncausal,CE,subpopulation,0.85,0.18,0.03,0.97,0.03,,,0.61,0.22,2.33,0.18
3var-noncausal,CE,subpopulation,0.9,0.18,0.03,0.97,0.03,,,0.61,0.22,2.33,0.18
3var-noncausal,CE,subpopulation,0.95,0.18,0.03,0.97,0.03,,,0.61,0.22,2.33,0.18
3var-noncausal,CR,individualized,0.75,0.24,0.03,1.0,0.0,,,0.7,0.16,2.31,0.12
3var-noncausal,CR,individualized,0.85,0.24,0.03,1.0,0.0,,,0.7,0.16,2.21,0.11
3var-noncausal,CR,individualized,0.9,0.24,0.03,1.0,0.0,,,0.7,0.16,2.2,0.1
3var-noncausal,CR,individualized,0.95,0.24,0.03,1.0,0.0,,,0.7,0.16,2.21,0.11
3var-noncausal,CR,subpopulation,0.75,0.2,0.03,0.91,0.02,,,0.62,0.19,2.24,0.17
3var-noncausal,CR,subpopulation,0.85,0.18,0.03,0.96,0.01,,,0.64,0.18,2.28,0.11
3var-noncausal,CR,subpopulation,0.9,0.18,0.03,0.98,0.01,,,0.66,0.19,2.3,0.12
3var-noncausal,CR,subpopulation,0.95,0.18,0.03,0.99,0.01,,,0.66,0.19,2.31,0.13
3var-noncausal,ICR,individualized,0.75,0.78,0.02,0.95,0.01,0.8,0.02,0.94,0.01,2.2,0.11
3var-noncausal,ICR,individualized,0.85,0.86,0.03,0.99,0.01,0.9,0.03,0.99,0.01,2.58,0.08
3var-noncausal,ICR,individualized,0.9,0.91,0.02,1.0,0.0,0.95,0.02,1.0,0.01,2.98,0.13
3var-noncausal,ICR,individualized,0.95,0.96,0.01,1.0,0.0,0.98,0.01,1.0,0.0,3.4,0.14
3var-noncausal,ICR,subpopulation,0.75,0.72,0.02,0.8,0.02,,,0.8,0.02,2.23,0.12
3var-noncausal,ICR,subpopulation,0.85,0.83,0.02,0.93,0.02,,,0.93,0.02,2.43,0.1
3var-noncausal,ICR,subpopulation,0.9,0.88,0.02,0.97,0.01,,,0.97,0.01,2.93,0.12
3var-noncausal,ICR,subpopulation,0.95,0.94,0.01,0.99,0.01,,,0.99,0.01,3.26,0.1
5var-skill,CE,individualized,0.75,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CE,individualized,0.85,0.0,0.0,1.0,0.0,,,0.78,0.23,9.78,0.26
5var-skill,CE,individualized,0.9,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CE,individualized,0.95,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,individualized,0.75,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,individualized,0.85,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,individualized,0.9,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,individualized,0.95,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,subpopulation,0.75,0.0,0.0,1.0,0.0,,,0.78,0.23,0.12,0.03
5var-skill,CR,subpopulation,0.85,0.0,0.0,1.0,0.0,,,0.78,0.23,9.85,0.21
5var-skill,CR,subpopulation,0.9,0.0,0.0,1.0,0.0,,,0.78,0.22,0.12,0.03
5var-skill,CR,subpopulation,0.95,0.0,0.0,1.0,0.0,,,0.78,0.22,0.12,0.03
5var-skill,ICR,individualized,0.75,0.92,0.02,0.92,0.02,0.92,0.02,0.92,0.02,9.66,0.27
5var-skill,ICR,individualized,0.85,0.93,0.02,0.93,0.02,0.93,0.02,0.93,0.02,0.12,0.03
5var-skill,ICR,individualized,0.9,0.97,0.01,0.97,0.01,0.97,0.01,0.97,0.01,10.72,0.27
5var-skill,ICR,individualized,0.95,0.98,0.01,0.98,0.01,0.98,0.01,0.98,0.01,11.48,0.18
5var-skill,ICR,subpopulation,0.75,0.91,0.02,0.91,0.02,,,0.91,0.02,9.54,0.24
5var-skill,ICR,subpopulation,0.85,0.92,0.02,0.93,0.02,,,0.93,0.02,0.12,0.03
5var-skill,ICR,subpopulation,0.9,0.97,0.01,0.97,0.01,,,0.97,0.01,10.66,0.28
5var-skill,ICR,subpopulation,0.95,0.98,0.01,0.98,0.01,,,0.98,0.01,11.05,0.23
7var-covid,CE,individualized,0.75,0.0,0.0,1.0,0.0,,,1.0,0.0,0.54,0.02
7var-covid,CE,individualized,0.85,0.0,0.0,1.0,0.0,,,1.0,0.0,0.54,0.02
7var-covid,CE,individualized,0.9,0.0,0.0,1.0,0.0,,,1.0,0.0,0.54,0.02
7var-covid,CE,individualized,0.95,0.0,0.0,1.0,0.0,,,1.0,0.0,1.73,0.03
7var-covid,CR,individualized,0.75,0.01,0.01,1.0,0.0,,,1.0,0.0,0.55,0.02
7var-covid,CR,individualized,0.85,0.0,0.0,1.0,0.0,,,1.0,0.0,0.55,0.02
7var-covid,CR,individualized,0.9,0.0,0.0,1.0,0.0,,,1.0,0.0,0.55,0.02
7var-covid,CR,individualized,0.95,0.0,0.0,1.0,0.0,,,1.0,0.0,0.54,0.02
7var-covid,CR,subpopulation,0.75,0.02,0.01,0.87,0.04,,,0.86,0.04,0.49,0.03
7var-covid,CR,subpopulation,0.85,0.01,0.01,0.95,0.02,,,0.95,0.02,0.52,0.01
7var-covid,CR,subpopulation,0.9,0.01,0.0,0.97,0.01,,,0.97,0.01,0.53,0.02
7var-covid,CR,subpopulation,0.95,0.0,0.0,0.99,0.01,,,0.99,0.01,1.98,0.03
7var-covid,ICR,individualized,0.75,0.78,0.03,0.78,0.03,0.78,0.03,0.78,0.03,1.24,0.04
7var-covid,ICR,individualized,0.85,0.85,0.02,0.85,0.02,0.85,0.02,0.85,0.02,1.44,0.04
7var-covid,ICR,individualized,0.9,0.89,0.02,0.89,0.02,0.89,0.02,0.89,0.02,1.63,0.04
7var-covid,ICR,individualized,0.95,0.95,0.01,0.95,0.01,0.95,0.01,0.95,0.01,0.54,0.02
7var-covid,ICR,subpopulation,0.75,0.59,0.03,0.59,0.03,,,0.59,0.03,1.05,0.04
7var-covid,ICR,subpopulation,0.85,0.75,0.03,0.75,0.03,,,0.75,0.03,1.28,0.05
7var-covid,ICR,subpopulation,0.9,0.81,0.03,0.81,0.03,,,0.81,0.02,1.43,0.05
7var-covid,ICR,subpopulation,0.95,0.9,0.01,0.9,0.01,,,0.9,0.01,0.54,0.02
