r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1862.4609523809524,0.1639455782312925,1.8763265306122452,0.0,1864.501224489796,0.0,0.0,177.44206475798876,0.3813372933954484,0.49683865227791446,0.0,178.29699574084944,0.75
individualized,acceptance,0.0,0.0,1689.0285714285717,-0.15006802721088439,1.7628571428571427,0.0,1690.6413605442176,0.0,0.0,298.68274615213323,0.3196458716624686,0.6010670783307476,0.0,298.56355282408646,0.85
individualized,acceptance,0.0,0.006666666666666667,1782.3066666666666,0.15333333333333332,2.06,0.006666666666666667,1784.5200000000002,0.0,0.011547005383792516,138.4533081343069,0.08326663997864531,0.2690724809414741,0.011547005383792516,138.20747157805909,0.9
individualized,acceptance,0.0,0.006666666666666667,1766.3799999999999,-0.12666666666666668,2.0733333333333337,0.006666666666666667,1768.3266666666666,0.0,0.011547005383792516,41.265360776321856,0.19425069712444623,0.8200812967830282,0.011547005383792516,40.302676503345744,0.9499999999999998
subpopulation,acceptance,0.0,0.0,1874.24,0.006666666666666667,1.72,0.0,1875.9666666666665,0.0,0.0,182.78210306263574,0.24027761721253466,0.4779121258139409,0.0,183.353985867047,0.75
subpopulation,acceptance,0.0,0.0,1619.0958333333335,0.11805555555555554,2.113888888888889,0.0,1621.3277777777778,0.0,0.0,245.89818808214778,0.2972002847563563,0.3837256446608309,0.0,246.10027234472568,0.85
subpopulation,acceptance,0.0,0.0,1800.7733333333333,0.04,2.006666666666667,0.0,1802.8199999999997,0.0,0.0,89.48584096567082,0.05291502622129181,0.17925772879665006,0.0,89.34774311643241,0.9
subpopulation,acceptance,0.0,0.0,1705.7266666666667,-0.14,2.106666666666667,0.0,1707.6933333333334,0.0,0.0,84.15503391558536,0.17435595774162693,0.5658032638058331,0.0,83.94882806408512,0.9499999999999998
individualized,counterfactual,0.0,0.0,1689.6385034013608,-0.3122448979591837,2.1477551020408163,0.0,1691.4740136054422,0.0,0.0,119.09035756039309,0.2527400858993447,0.8647603207410691,0.0,118.23895484654874,0.75
individualized,counterfactual,0.0,0.0,1658.0740425531915,-0.07602836879432623,1.8212765957446806,0.0,1659.819290780142,0.0,0.0,108.73869586680688,0.37534166317702217,0.21100719899154205,0.0,108.95184656348903,0.85
individualized,counterfactual,0.0,0.0,1773.8866666666665,0.04666666666666666,1.92,0.0,1775.8533333333332,0.0,0.0,122.1645780630922,0.08082903768654762,0.5257375771237965,0.0,121.8937510019825,0.9
individualized,counterfactual,0.0,0.0,1672.3933333333334,0.07333333333333333,1.9600000000000002,0.0,1674.426666666667,0.0,0.0,183.77910690101126,0.10066445913694333,0.713582510996451,0.0,183.40929347591234,0.9499999999999998
individualized,improvement,0.96,1.04,,,,2.0,0.0,0.08717797887081348,0.09999999999999998,,,,0.040000000000000036,0.0,0.75
individualized,improvement,0.9127891156462585,1.1272108843537414,,,,2.04,0.0,0.13008972864244361,0.09827528364657934,,,,0.052915026221291864,0.0,0.85
individualized,improvement,0.9199999999999999,1.2666666666666666,,,,2.186666666666667,0.0,0.27055498516937365,0.08082903768654767,,,,0.33005050118630846,0.0,0.9
individualized,improvement,0.7377777777777778,1.4333333333333333,,,,2.171111111111111,0.0,0.12226261958647933,0.07023769168568487,,,,0.19140803806798987,0.0,0.9499999999999998
subpopulation,improvement,0.7585034013605442,1.2484353741496599,,,,2.006938775510204,0.0,0.017802345466132137,0.10106169705251475,,,,0.11384536155397501,0.0,0.75
subpopulation,improvement,0.9389115646258505,1.0745578231292516,,,,2.013469387755102,0.0,0.03558362883576875,0.07744496866098538,,,,0.0716521282904174,0.0,0.85
subpopulation,improvement,0.9199999999999999,1.2466666666666668,,,,2.1666666666666665,0.0,0.32186953878862157,0.08082903768654767,,,,0.402160830182818,0.0,0.9
subpopulation,improvement,0.7911564625850339,1.3510204081632653,,,,2.1421768707482993,0.0,0.13596942923510233,0.27353517332401284,,,,0.23321605112608773,0.0,0.9499999999999998
