,y_hat
998,False
565,False
977,False
679,False
553,False
599,False
766,False
571,False
675,False
891,False
543,False
551,False
811,False
805,False
646,False
671,False
840,False
674,False
954,False
936,False
950,False
780,False
649,False
920,False
818,False
577,False
594,False
658,False
870,False
961,False
717,False
847,False
749,False
561,False
739,False
968,False
588,False
764,False
670,False
537,False
506,False
839,False
851,False
560,False
693,False
645,False
704,False
769,False
783,False
869,False
799,False
974,False
929,False
552,False
580,False
648,False
690,False
750,False
843,False
651,False
911,False
925,False
662,False
722,False
795,False
686,False
756,False
995,False
620,False
855,False
856,False
815,False
718,False
579,False
984,False
814,False
848,False
623,False
975,False
751,False
712,False
893,False
877,False
838,False
792,False
809,False
942,False
837,False
912,False
549,False
973,False
666,False
713,False
926,False
608,False
776,False
793,False
945,False
730,False
587,False
