,years_experience,degree
2511,1.0,1.0
2221,0.0,2.0
3494,0.0,1.0
3340,2.0,0.0
3316,0.0,2.0
3257,0.0,1.0
2014,0.0,2.0
3058,0.0,1.0
2310,0.0,1.0
3667,1.0,0.0
2653,0.0,2.0
2964,0.0,2.0
3352,0.0,2.0
2446,0.0,1.0
3857,2.0,1.0
3211,1.0,0.0
2286,0.0,2.0
2856,0.0,1.0
3839,0.0,1.0
2362,2.0,0.0
3595,0.0,1.0
3323,0.0,3.0
2364,0.0,1.0
3992,0.0,1.0
3874,0.0,3.0
2525,1.0,0.0
2144,0.0,1.0
3997,1.0,0.0
3898,2.0,1.0
2316,0.0,3.0
3761,1.0,0.0
2805,3.0,0.0
3105,2.0,0.0
2871,0.0,3.0
3279,0.0,3.0
2065,0.0,2.0
3809,1.0,0.0
3708,1.0,0.0
2006,0.0,1.0
3645,2.0,0.0
3811,0.0,3.0
3656,3.0,0.0
2500,0.0,2.0
3186,1.0,0.0
2120,0.0,1.0
2149,2.0,0.0
3688,0.0,1.0
3018,0.0,3.0
3320,0.0,1.0
3484,1.0,1.0
2282,0.0,1.0
2578,0.0,1.0
2516,0.0,2.0
3551,0.0,2.0
3849,0.0,1.0
2291,0.0,1.0
2185,0.0,2.0
3996,2.0,0.0
2761,3.0,0.0
2636,1.0,0.0
2166,0.0,1.0
2507,0.0,2.0
2712,1.0,1.0
3801,0.0,1.0
3114,0.0,2.0
2126,0.0,2.0
2702,0.0,3.0
3909,1.0,2.0
3669,0.0,2.0
2514,1.0,1.0
3075,0.0,2.0
2366,0.0,2.0
3972,0.0,1.0
2974,0.0,1.0
2009,1.0,1.0
2697,0.0,3.0
2665,0.0,2.0
2304,0.0,2.0
2456,0.0,3.0
3786,0.0,2.0
2041,1.0,0.0
3431,0.0,2.0
2279,0.0,1.0
3561,3.0,0.0
2486,0.0,1.0
2716,0.0,1.0
2130,0.0,3.0
2648,2.0,0.0
2049,2.0,0.0
3943,0.0,3.0
3084,0.0,3.0
2244,2.0,1.0
2814,0.0,1.0
3344,0.0,3.0
2153,0.0,1.0
3440,1.0,0.0
2655,0.0,3.0
2898,0.0,3.0
2022,0.0,2.0
3129,1.0,1.0
3921,0.0,1.0
2901,0.0,1.0
2746,1.0,0.0
3154,0.0,2.0
3933,0.0,1.0
3741,0.0,2.0
3930,2.0,0.0
3883,2.0,0.0
2119,0.0,1.0
3125,1.0,1.0
2160,2.0,0.0
2391,0.0,2.0
3450,3.0,0.0
2622,1.0,0.0
2741,0.0,3.0
3048,0.0,1.0
2897,0.0,2.0
2017,0.0,1.0
3693,0.0,2.0
2079,0.0,3.0
2375,0.0,1.0
2499,1.0,0.0
2508,0.0,1.0
3557,2.0,0.0
2799,1.0,0.0
2633,0.0,3.0
3332,2.0,0.0
3390,2.0,0.0
2423,1.0,0.0
3586,1.0,0.0
2257,2.0,0.0
3659,1.0,2.0
3821,0.0,3.0
3423,0.0,1.0
2729,3.0,0.0
2373,0.0,1.0
3103,2.0,1.0
3205,0.0,3.0
3788,0.0,2.0
3193,3.0,0.0
3875,0.0,1.0
3527,1.0,0.0
2749,0.0,3.0
3111,0.0,3.0
3298,0.0,3.0
2931,0.0,1.0
2401,1.0,2.0
3512,0.0,3.0
3061,0.0,1.0
2117,0.0,1.0
3548,0.0,3.0
2546,0.0,1.0
3126,0.0,3.0
2781,0.0,2.0
2334,0.0,3.0
2263,0.0,1.0
2215,1.0,0.0
2313,1.0,0.0
3285,0.0,3.0
2828,1.0,0.0
3745,1.0,1.0
3492,2.0,0.0
3198,0.0,3.0
2464,1.0,1.0
3617,1.0,0.0
2797,1.0,1.0
2778,0.0,2.0
2428,1.0,0.0
3951,1.0,0.0
3371,1.0,1.0
2171,2.0,1.0
2880,0.0,2.0
3233,1.0,0.0
3917,0.0,1.0
3513,1.0,1.0
3442,2.0,0.0
3322,0.0,3.0
2907,0.0,3.0
2367,3.0,0.0
2154,0.0,2.0
2940,0.0,3.0
2650,0.0,3.0
3468,1.0,1.0
3681,0.0,3.0
3197,2.0,1.0
2181,0.0,3.0
3922,0.0,1.0
2902,0.0,1.0
2380,2.0,0.0
2764,1.0,0.0
2700,0.0,2.0
2788,1.0,1.0
2213,0.0,3.0
2048,0.0,1.0
3178,0.0,3.0
2054,0.0,2.0
2111,2.0,0.0
2453,1.0,1.0
2558,2.0,0.0
3092,0.0,1.0
