,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.9,0.9,0.8500000238418579,0.07500000298023224,0.985,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[0.2232879096711346, 0.3147289987195211, 1.7823233835223287], [0.09321271045608721]]",0.9779999852180481,3.923
1,1.0,0.9,0.9,0.3149999976158142,0.15000000596046448,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[0.2232879096711346, 0.3147289987195211, 1.7823233835223287], [0.09321271045608721]]",0.9819999933242798,1.9709999999999999
2,1.0,0.9,0.9,0.20999999344348907,0.09000000357627869,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[0.2232879096711346, 0.3147289987195211, 1.7823233835223287], [0.09321271045608721]]",1.0,2.4375
3,1.0,0.9,0.9,0.949999988079071,0.10000000149011612,0.99,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[0.2232879096711346, 0.3147289987195211, 1.7823233835223287], [0.09321271045608721]]",0.984000027179718,4.132
4,1.0,0.9,0.9,0.33000001311302185,0.10000000149011612,0.96,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[0.2232879096711346, 0.3147289987195211, 1.7823233835223287], [0.09321271045608721]]",0.984000027179718,2.2760000000000002
5,1.0,0.9,0.9,0.9549999833106995,0.11500000208616257,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.9277487088973846, 0.9959665878864611, 1.1261453047100862], [-0.04841337411786234]]",0.9810000658035278,3.6345000000000005
6,1.0,0.9,0.9,0.5849999785423279,0.10999999940395355,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.9277487088973846, 0.9959665878864611, 1.1261453047100862], [-0.04841337411786234]]",0.5879999995231628,2.905
7,1.0,0.9,0.9,0.5149999856948853,0.09000000357627869,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.9277487088973846, 0.9959665878864611, 1.1261453047100862], [-0.04841337411786234]]",0.3149999976158142,3.3879999999999995
8,1.0,0.9,0.9,0.8999999761581421,0.11999999731779099,0.985,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.9277487088973846, 0.9959665878864611, 1.1261453047100862], [-0.04841337411786234]]",0.972000002861023,3.9015
9,1.0,0.9,0.9,0.49000000953674316,0.10000000149011612,0.97,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.9277487088973846, 0.9959665878864611, 1.1261453047100862], [-0.04841337411786234]]",0.5379999876022339,2.8825
10,1.0,0.9,0.9,0.875,0.08500000089406967,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[1.1759372682813587, 1.4970590855929264, 0.6704600992654839], [-0.030676325572287014]]",0.9239999651908875,4.095
11,1.0,0.9,0.9,0.44999998807907104,0.0949999988079071,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[1.1759372682813587, 1.4970590855929264, 0.6704600992654839], [-0.030676325572287014]]",0.7490000128746033,1.795
12,1.0,0.9,0.9,0.4300000071525574,0.07999999821186066,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[1.1759372682813587, 1.4970590855929264, 0.6704600992654839], [-0.030676325572287014]]",0.9470000267028809,2.9414999999999996
13,1.0,0.9,0.9,0.8550000190734863,0.125,0.98,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[1.1759372682813587, 1.4970590855929264, 0.6704600992654839], [-0.030676325572287014]]",0.9280000925064087,3.8485
14,1.0,0.9,0.9,0.4699999988079071,0.08500000089406967,0.96,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[1.1759372682813587, 1.4970590855929264, 0.6704600992654839], [-0.030676325572287014]]",0.8370000123977661,2.4114999999999998
