,age,gender,experience,loan_amount,loan_duration,income,saving
7706,-0.0,0.0,0.0,-0.3,0.0,-0.3,-0.1
9237,0.0,0.0,0.0,-0.5,0.0,4.0,1.9
7250,-0.1,0.0,-0.0,-0.1,-0.3,-0.1,0.5
6760,-0.1,0.0,0.0,0.0,-0.1,0.1,-0.1
7007,0.0,0.0,0.0,0.1,0.3,2.1,0.5
5240,0.0,0.0,0.0,0.1,0.4,0.1,-0.3
7733,0.0,0.0,-0.0,0.1,-0.0,0.1,-0.5
5612,0.0,0.0,-0.0,0.1,0.3,0.1,1.0
8922,-0.0,0.0,0.0,-0.4,-0.2,1.7,6.2
6093,0.0,0.0,0.0,-0.2,0.3,2.3,8.1
7584,0.0,0.0,-0.0,0.1,0.1,0.1,0.2
6924,0.0,0.0,0.0,0.3,-0.1,0.3,0.6
9670,-0.2,0.0,0.0,0.0,-0.4,-0.1,0.5
5150,-0.0,0.0,-0.0,-0.1,-0.1,0.1,-0.1
5540,-0.0,0.0,0.0,-0.0,0.1,0.1,-0.2
5681,-0.0,0.0,0.0,0.1,0.2,2.0,0.2
7769,0.0,0.0,0.0,-0.4,-0.2,0.1,0.2
6427,-0.1,0.0,-0.0,0.1,0.0,-0.4,0.2
5691,0.2,0.0,-0.0,-0.1,0.5,-0.1,-0.2
9028,0.1,0.0,0.0,0.1,0.3,0.1,-0.1
7531,-0.0,0.0,0.0,0.4,0.0,3.3,5.5
5947,0.2,0.0,0.0,0.3,0.3,-0.2,-0.4
8891,-0.0,0.0,0.0,-0.5,0.2,1.9,6.5
6348,-0.1,0.0,0.0,-0.1,0.1,-0.1,0.3
7738,-0.0,0.0,0.0,0.0,0.1,0.0,0.2
7425,-0.0,0.0,-0.0,-0.2,0.4,-0.2,-0.3
9280,-0.2,0.0,0.0,0.3,-0.1,0.3,1.0
7062,0.2,0.0,0.0,0.4,0.5,1.0,0.0
5855,-0.0,0.0,-0.0,0.1,-0.1,0.1,0.4
6900,0.1,0.0,0.0,0.0,0.0,0.6,-0.4
5586,0.0,0.0,-0.0,0.1,0.3,0.1,-0.4
9461,0.0,0.0,-0.0,0.1,0.1,1.8,-0.1
8001,-0.0,0.0,-0.0,-0.1,0.5,-0.2,0.1
5315,0.2,0.0,-0.0,-0.2,0.2,-0.2,0.4
8782,0.0,0.0,0.0,0.3,0.3,1.3,6.4
5558,-0.0,0.0,0.0,0.0,0.1,2.1,0.2
6338,-0.0,0.0,-0.0,0.0,0.1,0.1,-0.1
9824,-0.1,0.0,0.0,-0.1,-0.2,-0.1,-0.1
8969,-0.1,0.0,0.0,-0.1,-0.2,0.9,3.7
6949,-0.1,0.0,-0.0,-0.0,-0.1,-0.1,0.1
5679,0.0,0.0,0.0,-0.3,0.1,0.4,0.2
5716,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1
8811,0.1,0.0,-0.0,-0.2,0.2,-0.2,0.5
6931,0.0,0.0,0.0,0.0,-0.5,0.2,-0.3
7154,-0.0,0.0,0.0,-0.4,-0.2,0.5,-0.5
7224,-0.0,0.0,0.0,0.3,0.2,1.3,5.5
7576,-0.0,0.0,0.0,0.4,-0.3,2.5,4.7
5795,-0.1,0.0,0.0,0.2,-0.2,0.2,-0.3
5717,-0.1,0.0,0.0,0.4,0.0,1.6,-0.5
6557,0.0,0.0,0.0,-0.1,-0.5,0.4,0.2
8046,-0.0,0.0,-0.0,0.3,-0.1,-5.2,-5.8
6564,0.0,0.0,-0.0,-0.3,-0.1,2.7,1.5
8460,-0.1,0.0,0.0,-0.1,-0.3,-0.1,-0.4
9541,-0.1,0.0,0.0,-0.5,-0.1,2.5,5.1
5946,-0.0,0.0,0.0,-0.1,-0.2,-0.1,-0.4
6174,-0.1,0.0,0.0,-0.0,0.1,-0.1,0.1
5658,0.2,0.0,-0.0,0.1,0.0,1.1,6.6
9849,-0.0,0.0,-0.0,0.1,0.1,0.1,-0.2
5226,-0.1,0.0,-0.0,-0.1,-0.3,-0.1,-0.2
9767,0.0,0.0,0.0,-0.2,0.0,0.9,3.2
7499,0.0,0.0,0.0,-0.0,-0.0,0.2,0.1
9516,-0.0,0.0,0.0,-0.1,0.5,-0.1,0.2
8501,0.1,0.0,0.0,-0.2,0.3,-0.2,0.3
7113,-0.0,0.0,0.0,-0.0,-0.1,-0.1,0.1
8354,0.2,0.0,-0.0,-0.2,0.5,-0.2,-0.4
5856,0.1,0.0,-0.0,0.2,-0.5,0.2,-0.1
8226,0.2,0.0,0.0,0.2,0.0,1.2,0.0
5392,-0.0,0.0,-0.0,-0.1,-0.3,-0.1,0.4
9243,0.0,0.0,0.0,-0.2,0.4,-0.1,-0.1
