,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.85,0.85,0.8650000095367432,0.16500000655651093,0.975,0.88,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[-0.11524027446425163, 0.03202147192683518, 0.9961877858821108], [-0.680262570066305]]",0.9770000576972961,2.5325
1,1.0,0.85,0.85,0.2199999988079071,0.13500000536441803,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[-0.11524027446425163, 0.03202147192683518, 0.9961877858821108], [-0.680262570066305]]",0.44200000166893005,2.2430000000000003
2,1.0,0.85,0.85,0.18000000715255737,0.18000000715255737,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[-0.11524027446425163, 0.03202147192683518, 0.9961877858821108], [-0.680262570066305]]",0.36399999260902405,2.502
3,1.0,0.85,0.85,0.8050000071525574,0.20999999344348907,0.91,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[-0.11524027446425163, 0.03202147192683518, 0.9961877858821108], [-0.680262570066305]]",0.9010000228881836,2.2255000000000003
4,1.0,0.85,0.85,0.17499999701976776,0.14499999582767487,0.965,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[-0.11524027446425163, 0.03202147192683518, 0.9961877858821108], [-0.680262570066305]]",0.375,2.386
5,1.0,0.85,0.85,0.8899999856948853,0.12999999523162842,0.965,0.935,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.04113839905721644, -0.1260334763720577, 1.0409829777012112], [-0.5266228076209027]]",0.9620000123977661,2.512
6,1.0,0.85,0.85,0.26499998569488525,0.16500000655651093,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.04113839905721644, -0.1260334763720577, 1.0409829777012112], [-0.5266228076209027]]",0.8079999685287476,1.9069999999999998
7,1.0,0.85,0.85,0.16500000655651093,0.1599999964237213,0.975,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.04113839905721644, -0.1260334763720577, 1.0409829777012112], [-0.5266228076209027]]",0.7490000128746033,2.262
8,1.0,0.85,0.85,0.9049999713897705,0.18000000715255737,0.97,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.04113839905721644, -0.1260334763720577, 1.0409829777012112], [-0.5266228076209027]]",0.9690000414848328,2.4225
9,1.0,0.85,0.85,0.1850000023841858,0.1550000011920929,0.975,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.04113839905721644, -0.1260334763720577, 1.0409829777012112], [-0.5266228076209027]]",0.7890000343322754,2.2635
10,1.0,0.85,0.85,0.8550000190734863,0.14499999582767487,0.98,0.9,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[-0.11724233902686954, -0.04325862550181318, 1.1538324120875498], [-0.6216193864571954]]",0.9810000658035278,2.7035
11,1.0,0.85,0.85,0.28999999165534973,0.2199999988079071,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[-0.11724233902686954, -0.04325862550181318, 1.1538324120875498], [-0.6216193864571954]]",0.6720000505447388,1.9665000000000001
12,1.0,0.85,0.85,0.19499999284744263,0.20000000298023224,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[-0.11724233902686954, -0.04325862550181318, 1.1538324120875498], [-0.6216193864571954]]",0.6599999666213989,2.1845
13,1.0,0.85,0.85,0.7749999761581421,0.18000000715255737,0.9,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[-0.11724233902686954, -0.04325862550181318, 1.1538324120875498], [-0.6216193864571954]]",0.9020000696182251,2.2119999999999997
14,1.0,0.85,0.85,0.20499999821186066,0.1899999976158142,0.97,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[-0.11724233902686954, -0.04325862550181318, 1.1538324120875498], [-0.6216193864571954]]",0.6729999780654907,2.0815
