,y_hat
880,False
613,False
715,False
632,False
997,False
885,False
837,False
666,False
529,False
751,False
690,False
568,False
933,False
572,False
543,False
737,False
901,False
878,False
663,False
717,False
919,False
598,False
932,False
839,False
636,False
714,False
993,False
744,False
754,False
651,False
618,False
975,False
548,False
677,False
581,False
687,False
990,False
992,False
776,False
606,False
724,False
908,False
796,False
943,False
794,False
685,False
846,False
961,False
621,False
734,False
596,False
551,False
534,False
658,False
812,False
537,False
956,False
591,False
789,False
503,False
925,False
526,False
541,False
523,False
694,False
500,False
695,False
899,False
879,False
860,False
554,False
817,False
718,False
669,False
540,False
667,False
574,False
897,False
800,False
758,False
991,False
854,False
597,False
808,False
807,False
614,False
556,False
566,False
700,False
731,False
951,False
582,False
573,False
769,False
527,False
954,False
620,False
586,False
838,False
547,False
