,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,1.0,0.0,0.9,1.0,"[1.0, 1.0]",150.0,0.5,individualized,improvement,2,,0.8960000276565552,4.4879999999999995
1,1.0,0.75,0.75,0.1899999976158142,0.0,1.0,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,acceptance,2,,0.7879999876022339,4.655
2,1.0,0.75,0.75,0.05999999865889549,0.0,1.0,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,counterfactual,2,,0.7760000228881836,2.8239999999999994
3,1.0,0.75,0.75,1.0,0.0,0.67,,"[1.0, 1.0]",150.0,0.5,subpopulation,improvement,2,,0.6660000085830688,4.342
4,1.0,0.75,0.75,0.25,0.0,0.97,,"[1.0, 1.0, 1.0]",150.0,0.5,subpopulation,acceptance,2,,0.7739999890327454,3.0570000000000004
5,1.0,0.75,0.75,1.0,0.0,0.95,1.0,"[1.0, 1.0]",150.0,0.5,individualized,improvement,1,,0.949999988079071,3.6180000000000003
6,1.0,0.75,0.75,0.15000000596046448,0.0,1.0,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,acceptance,1,,0.9300000071525574,3.7259999999999995
7,1.0,0.75,0.75,0.05000000074505806,0.0,0.98,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,counterfactual,1,,0.9180000424385071,2.442
8,1.0,0.75,0.75,1.0,0.0,0.79,,"[1.0, 1.0]",150.0,0.5,subpopulation,improvement,1,,0.7900000214576721,3.5209999999999995
9,1.0,0.75,0.75,0.20000000298023224,0.0,0.94,,"[1.0, 1.0, 1.0]",150.0,0.5,subpopulation,acceptance,1,,0.8799999952316284,3.0379999999999994
10,1.0,0.75,0.75,1.0,0.0,0.94,1.0,"[1.0, 1.0]",150.0,0.5,individualized,improvement,0,,0.9399999380111694,3.9060000000000006
11,1.0,0.75,0.75,0.14000000059604645,0.0,1.0,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,acceptance,0,,0.949999988079071,3.9440000000000004
12,1.0,0.75,0.75,0.07000000029802322,0.0,1.0,,"[1.0, 1.0, 1.0]",150.0,0.5,individualized,counterfactual,0,,0.949999988079071,2.5220000000000002
13,1.0,0.75,0.75,1.0,0.0,0.79,,"[1.0, 1.0]",150.0,0.5,subpopulation,improvement,0,,0.7879999876022339,3.8010000000000006
14,1.0,0.75,0.75,0.18000000715255737,0.0,0.95,,"[1.0, 1.0, 1.0]",150.0,0.5,subpopulation,acceptance,0,,0.9120000004768372,
