,senior-level_skill
2377,0.0
2332,0.0
2863,0.0
3435,0.0
3339,0.0
3009,0.0
3071,0.0
3775,0.0
3369,0.0
2150,0.0
3874,0.0
2651,0.0
3222,0.0
2434,0.0
2738,0.0
2802,0.0
2291,0.0
2423,0.0
3233,0.0
2757,0.0
3314,0.0
2065,0.0
2275,0.0
3110,0.0
3006,0.0
2491,0.0
3000,0.0
3144,0.0
2861,0.0
3474,0.0
3574,0.0
2271,1.0
2033,0.0
3901,0.0
3035,0.0
3639,0.0
3030,0.0
2742,0.0
2539,0.0
2940,0.0
2625,0.0
2461,0.0
3226,0.0
2345,0.0
3966,0.0
3665,0.0
3074,0.0
3362,0.0
2380,0.0
2180,0.0
2524,0.0
3789,0.0
2048,0.0
3643,0.0
3396,0.0
3109,0.0
3877,0.0
3778,0.0
2923,0.0
2514,0.0
2064,0.0
3677,0.0
3463,0.0
2604,0.0
2955,0.0
2521,0.0
3584,0.0
2149,0.0
3555,0.0
2445,0.0
3460,0.0
3547,0.0
3434,0.0
2990,0.0
3017,0.0
2529,0.0
2874,0.0
3898,0.0
2640,0.0
2548,0.0
3225,0.0
3376,0.0
2936,0.0
3688,0.0
2403,0.0
3988,0.0
2457,0.0
2471,0.0
3120,0.0
3283,0.0
3984,0.0
3946,0.0
3411,0.0
3929,0.0
2672,0.0
3413,0.0
3635,0.0
2609,0.0
2815,0.0
2895,0.0
3515,0.0
2639,0.0
2853,0.0
3578,0.0
3185,0.0
2267,0.0
2987,0.0
2933,0.0
2503,0.0
3443,0.0
2493,0.0
2449,0.0
2148,0.0
3594,0.0
2362,0.0
2272,0.0
3810,0.0
2473,0.0
3572,0.0
2728,0.0
3921,0.0
2785,0.0
2060,0.0
3511,0.0
3735,0.0
2338,0.0
2476,0.0
3024,0.0
2766,0.0
2201,0.0
3252,0.0
3391,0.0
3554,0.0
3733,0.0
3122,0.0
3279,0.0
3472,0.0
2334,0.0
2349,1.0
2931,0.0
2331,0.0
3642,0.0
3487,0.0
3917,0.0
2538,0.0
3203,0.0
3759,0.0
2599,0.0
3208,0.0
2269,0.0
2084,0.0
2552,0.0
3838,0.0
3809,0.0
3315,0.0
2839,0.0
2317,0.0
2467,0.0
3864,0.0
2553,0.0
2911,0.0
3814,0.0
2977,0.0
3680,0.0
3062,0.0
2364,0.0
2701,0.0
2607,0.0
2820,0.0
2420,0.0
2865,0.0
2245,0.0
2654,0.0
2224,0.0
3969,0.0
3690,0.0
2007,0.0
2869,0.0
3803,0.0
2162,0.0
2076,0.0
2880,0.0
2819,0.0
3721,0.0
3998,0.0
3521,0.0
2429,0.0
2384,0.0
3284,0.0
2155,0.0
3974,0.0
3895,0.0
2515,0.0
2908,0.0
2460,0.0
3373,0.0
3403,0.0
3280,0.0
3118,0.0
2389,0.0
