,y
3233,0.0
3710,1.0
2135,0.0
2659,0.0
3426,0.0
2169,0.0
2033,0.0
3837,1.0
3980,0.0
2743,0.0
3180,0.0
3482,1.0
3117,0.0
2849,0.0
2568,0.0
3751,0.0
2087,0.0
2847,0.0
2590,0.0
3368,0.0
2413,0.0
2867,0.0
3897,0.0
2368,0.0
3394,1.0
2427,0.0
3385,0.0
2803,0.0
3943,0.0
2718,0.0
3038,0.0
2300,0.0
3536,0.0
2232,0.0
2850,0.0
3854,0.0
2496,0.0
2259,0.0
2676,0.0
2224,0.0
2855,0.0
3563,0.0
2520,0.0
3030,0.0
2651,0.0
3190,1.0
2487,0.0
3821,0.0
2574,0.0
2344,0.0
2624,0.0
3115,0.0
3850,0.0
3243,0.0
2422,0.0
2873,0.0
2255,0.0
2440,0.0
2323,0.0
3093,0.0
3291,0.0
3560,0.0
2594,0.0
3479,0.0
2161,0.0
3281,0.0
3609,0.0
3229,0.0
2111,0.0
3396,0.0
3161,0.0
3460,0.0
2636,0.0
3276,0.0
3845,0.0
2467,0.0
3297,1.0
3036,0.0
3794,0.0
3203,0.0
2539,0.0
2973,0.0
2101,0.0
3078,0.0
2081,0.0
2060,0.0
2380,1.0
3796,0.0
3101,0.0
3420,0.0
3418,0.0
3754,0.0
2322,0.0
3053,0.0
2794,1.0
2296,0.0
2147,1.0
2697,0.0
2246,0.0
2777,0.0
3407,0.0
3942,1.0
3193,1.0
3631,0.0
2642,1.0
3820,0.0
2754,1.0
3441,1.0
2263,0.0
2384,0.0
2589,1.0
2187,0.0
3400,0.0
3936,0.0
2490,0.0
3554,0.0
3485,0.0
2995,0.0
2969,0.0
3067,0.0
2037,0.0
3530,0.0
3496,0.0
3308,0.0
2127,1.0
3661,0.0
3318,0.0
3219,0.0
3905,1.0
3702,0.0
3953,0.0
2254,0.0
2567,0.0
3478,0.0
2022,0.0
2067,1.0
2540,0.0
3553,1.0
3641,0.0
2529,0.0
2680,0.0
2152,1.0
2168,0.0
2670,0.0
3154,0.0
3452,0.0
2063,0.0
2203,0.0
2796,0.0
3137,0.0
2350,1.0
2562,0.0
3017,1.0
3292,0.0
3333,1.0
2019,0.0
2007,0.0
3262,0.0
3282,0.0
2180,1.0
3129,0.0
2166,1.0
3210,0.0
2923,1.0
3209,0.0
3586,0.0
3749,0.0
3504,1.0
3357,0.0
2164,0.0
3091,0.0
3442,0.0
3653,0.0
3319,0.0
3519,0.0
2510,0.0
3457,0.0
3891,0.0
3666,0.0
2385,0.0
3535,0.0
3882,0.0
2698,0.0
2606,0.0
3818,0.0
2400,0.0
3289,0.0
2343,0.0
2880,0.0
2869,0.0
2002,0.0
2647,0.0
2214,0.0
3215,0.0
3745,0.0
2304,0.0
2618,0.0
2463,1.0
3968,0.0
3100,0.0
