,years_experience,degree,nr_commits,nr_languages,nr_stars
3884,0.0,2.0,844.0,4.0,10.0
2523,1.0,0.0,847.0,5.0,3.0
3690,1.0,0.0,843.0,1.0,6.0
2896,1.0,2.0,850.0,10.0,3.0
3511,1.0,1.0,846.0,3.0,1.0
2317,1.0,0.0,842.0,3.0,1.0
3932,2.0,0.0,851.0,4.0,2.0
2534,1.0,2.0,848.0,5.0,6.0
3736,1.0,1.0,850.0,4.0,5.0
2936,3.0,0.0,1858.0,3.0,1.0
3585,2.0,0.0,855.0,4.0,12.0
2291,1.0,0.0,846.0,3.0,9.0
2332,2.0,0.0,851.0,2.0,4.0
2865,2.0,0.0,844.0,2.0,0.0
2148,1.0,1.0,847.0,4.0,2.0
3693,3.0,0.0,842.0,9.0,4.0
3239,0.0,1.0,845.0,4.0,3.0
3081,0.0,0.0,846.0,2.0,2.0
3110,2.0,0.0,847.0,3.0,8.0
3665,1.0,1.0,846.0,11.0,3.0
2813,3.0,0.0,845.0,3.0,4.0
3809,0.0,0.0,849.0,5.0,6.0
3584,0.0,2.0,849.0,2.0,10.0
3364,0.0,2.0,849.0,8.0,10.0
2125,0.0,1.0,854.0,0.0,9.0
3395,3.0,0.0,856.0,8.0,1.0
2791,1.0,0.0,849.0,8.0,2.0
3938,2.0,1.0,852.0,4.0,7.0
3912,3.0,0.0,1860.0,5.0,4.0
3821,1.0,1.0,850.0,2.0,8.0
2491,0.0,1.0,851.0,3.0,3.0
3691,2.0,1.0,1858.0,6.0,5.0
3078,1.0,1.0,853.0,8.0,2.0
3994,2.0,1.0,850.0,9.0,1.0
3705,2.0,0.0,851.0,11.0,6.0
2053,1.0,0.0,846.0,1.0,2.0
2959,0.0,2.0,850.0,7.0,10.0
3643,0.0,2.0,3.0,1.0,11.0
2815,1.0,1.0,851.0,1.0,3.0
3547,2.0,0.0,848.0,4.0,7.0
3062,2.0,0.0,852.0,4.0,4.0
3120,1.0,0.0,850.0,4.0,8.0
2429,1.0,0.0,848.0,6.0,5.0
2987,2.0,0.0,850.0,0.0,5.0
3339,3.0,0.0,1858.0,4.0,2.0
2347,2.0,0.0,847.0,2.0,4.0
3813,3.0,0.0,1862.0,7.0,4.0
3125,2.0,0.0,850.0,0.0,5.0
2978,2.0,0.0,853.0,3.0,11.0
2995,1.0,0.0,847.0,4.0,4.0
2370,2.0,0.0,853.0,1.0,3.0
3144,1.0,0.0,849.0,0.0,6.0
2635,2.0,0.0,846.0,4.0,5.0
2923,2.0,0.0,849.0,2.0,4.0
2931,0.0,1.0,851.0,0.0,3.0
2222,1.0,0.0,845.0,4.0,0.0
2942,3.0,0.0,849.0,4.0,2.0
2870,1.0,0.0,846.0,4.0,4.0
3362,1.0,0.0,845.0,1.0,2.0
3197,1.0,2.0,844.0,6.0,4.0
3641,1.0,0.0,848.0,1.0,3.0
3986,2.0,0.0,852.0,4.0,2.0
3018,1.0,1.0,846.0,4.0,5.0
2933,1.0,0.0,848.0,6.0,6.0
2859,2.0,0.0,846.0,9.0,1.0
