,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,1.0,0.0,0.98,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.9800000190734863,4.785000000000001
1,1.0,0.75,0.75,1.0,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.5479999780654907,5.038
2,1.0,0.75,0.75,1.0,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.5700000524520874,5.854000000000001
3,1.0,0.75,0.75,1.0,0.0,0.77,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.7639999985694885,4.794999999999999
4,1.0,0.75,0.75,1.0,0.0,0.91,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.5419999957084656,4.85
5,1.0,0.75,0.75,1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",1.0,3.4799999999999995
6,1.0,0.75,0.75,0.9900000095367432,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.8339999914169312,3.853
7,1.0,0.75,0.75,0.9900000095367432,0.0,0.99,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.7960000038146973,4.059
8,1.0,0.75,0.75,1.0,0.0,0.81,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.8060000538825989,3.6720000000000006
9,1.0,0.75,0.75,1.0,0.0,0.95,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.7480000257492065,5.1160000000000005
10,1.0,0.75,0.75,1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",1.0,3.582
11,1.0,0.75,0.75,0.9900000095367432,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.765999972820282,4.077
12,1.0,0.75,0.75,1.0,0.0,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.6780000329017639,4.6819999999999995
13,1.0,0.75,0.75,1.0,0.0,0.82,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.8220000267028809,3.625
14,1.0,0.75,0.75,1.0,0.0,0.92,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[1.4645614208619577, 2.9291228417239155, 4.540140409101968], [0.033898254175579144]]",0.7080000042915344,
