r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.99444446961085,0.819444457689921,5.797013893393387,0.0,0.0,0.0,0.0,,0.00962246089700067,0.06014066451150526,0.8865188536684794
individualized,acceptance,0.75,0.75,1.0,1.0,,0.99444446961085,0.819444457689921,5.77479167229703,0.0,0.0,0.0,0.0,,0.00962246089700067,0.06014066451150526,0.9115863915644192
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.9958333373069763,0.8263888955116272,3.478020841012864,0.0,0.0,0.0,0.0,,0.007216871482318781,0.06696980107181665,0.30420322605718597
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.9958333373069763,0.8263888955116272,5.735277783424697,0.0,0.0,0.0,0.0,,0.007216871482318781,0.06696980107181665,0.9042163282388563
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.99444446961085,0.819444457689921,3.162361113844025,0.0,0.0,0.0,0.0,,0.00962246089700067,0.06014066451150526,0.4542331853027401
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.99444446961085,0.819444457689921,5.797013893393387,0.0,0.0,0.0,0.0,,0.00962246089700067,0.06014066451150526,0.8865188536684794
individualized,improvement,0.75,0.75,1.0,0.9513888888888888,1.0,0.9430555701255798,1.0,5.77479167229703,0.0,0.0,0.0,0.048112522432468774,0.0,0.03342005620951647,0.0,0.9115863915644192
individualized,improvement,0.75,0.75,1.0,0.9513888888888888,1.0,0.9402777751286825,1.0,3.3327777831913488,0.0,0.0,0.0,0.048112522432468774,0.0,0.03342005373241875,0.0,0.33099311006096727
subpopulation,improvement,0.75,0.75,1.0,0.9652777777777778,,0.9444444179534912,1.0,5.735277783424697,0.0,0.0,0.0,0.012028130608117162,,0.016839371708219843,0.0,0.9042163282388563
subpopulation,improvement,0.75,0.75,1.0,0.9652777777777778,,0.9430555502573649,1.0,3.162361113844025,0.0,0.0,0.0,0.012028130608117162,,0.017347200118622782,0.0,0.4542331853027401
