,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
200,6.0,2.0,0.2031126,3.0,4.0,4.0
201,2.0,0.0,0.4272071,3.0,16.0,1.0
202,1.0,0.0,0.8003193,3.0,5.0,9.0
203,0.0,0.0,0.3462565,4.0,4.0,7.0
204,4.0,2.0,0.9582828,3.0,3.0,3.0
205,7.0,0.0,0.19407654,3.0,6.0,0.0
206,3.0,2.0,0.30191875,4.0,11.0,1.0
207,1.0,1.0,0.96474314,3.0,14.0,4.0
208,4.0,1.0,0.32917225,4.0,6.0,3.0
209,4.0,1.0,0.74463534,6.0,3.0,4.0
210,2.0,1.0,0.60199225,0.0,4.0,1.0
211,4.0,0.0,0.95051956,4.0,2.0,1.0
212,6.0,3.0,0.7305136,4.0,6.0,5.0
213,2.0,3.0,0.988456,3.0,2.0,8.0
214,3.0,2.0,0.9127284,7.0,0.0,4.0
215,6.0,2.0,0.048288226,4.0,1.0,2.0
216,0.0,3.0,0.3660215,5.0,4.0,2.0
217,3.0,0.0,0.4615667,3.0,8.0,14.0
218,2.0,0.0,0.49987447,4.0,0.0,1.0
219,1.0,3.0,0.6180893,7.0,1.0,7.0
220,4.0,1.0,0.14057696,4.0,2.0,5.0
221,1.0,0.0,0.5168841,5.0,1.0,4.0
222,3.0,3.0,0.36088037,7.0,6.0,3.0
223,6.0,2.0,0.43492723,3.0,5.0,2.0
224,2.0,0.0,0.465729,3.0,9.0,3.0
225,3.0,0.0,0.83918583,3.0,12.0,4.0
226,1.0,0.0,0.7423248,5.0,2.0,10.0
227,6.0,3.0,0.39398932,6.0,6.0,4.0
228,5.0,0.0,0.47176135,5.0,12.0,6.0
229,2.0,0.0,0.99805367,2.0,0.0,9.0
230,2.0,2.0,0.41430545,2.0,2.0,2.0
231,4.0,0.0,0.92938507,6.0,5.0,3.0
232,1.0,3.0,0.8941165,5.0,4.0,3.0
233,2.0,3.0,0.36754143,8.0,4.0,1.0
234,6.0,0.0,0.35874605,6.0,3.0,1.0
235,4.0,0.0,0.06702554,3.0,3.0,8.0
236,2.0,2.0,0.065400004,2.0,4.0,2.0
237,6.0,3.0,0.51704144,1.0,4.0,1.0
238,0.0,0.0,0.61384237,1.0,7.0,4.0
239,1.0,0.0,0.54324305,3.0,3.0,2.0
240,3.0,0.0,0.96858776,6.0,1.0,2.0
241,0.0,0.0,0.89162314,5.0,1.0,0.0
242,3.0,1.0,0.7284751,1.0,8.0,3.0
243,2.0,0.0,0.7576759,5.0,11.0,4.0
244,4.0,1.0,0.77810705,4.0,7.0,4.0
245,0.0,2.0,0.35463834,2.0,4.0,4.0
246,1.0,1.0,0.07932615,4.0,5.0,8.0
247,2.0,0.0,0.4686967,0.0,2.0,1.0
248,3.0,3.0,0.097090125,2.0,2.0,3.0
249,2.0,0.0,0.75297904,5.0,10.0,1.0
250,5.0,1.0,0.8209934,4.0,3.0,2.0
251,3.0,3.0,0.1697222,5.0,3.0,8.0
252,2.0,0.0,0.4040197,1.0,1.0,3.0
253,4.0,2.0,0.46167505,6.0,0.0,4.0
254,12.0,1.0,0.65262747,4.0,1.0,5.0
255,3.0,0.0,0.11697173,4.0,0.0,10.0
256,5.0,1.0,0.6362181,5.0,2.0,2.0
257,1.0,0.0,0.8978157,2.0,4.0,3.0
258,0.0,1.0,0.28293216,3.0,0.0,3.0
259,3.0,2.0,0.36720467,2.0,5.0,7.0
260,8.0,0.0,0.8077253,3.0,2.0,3.0
261,2.0,3.0,0.86703706,3.0,1.0,7.0
262,7.0,2.0,0.8751714,5.0,1.0,7.0
263,3.0,0.0,0.031363487,5.0,1.0,0.0
264,9.0,1.0,0.55483854,4.0,5.0,2.0
265,2.0,0.0,0.22135901,0.0,6.0,3.0
266,3.0,2.0,0.39636266,4.0,5.0,2.0
267,4.0,0.0,0.093456745,5.0,4.0,4.0
268,2.0,0.0,0.18561208,7.0,1.0,5.0
269,5.0,1.0,0.8986064,0.0,0.0,1.0
270,1.0,0.0,0.59744227,7.0,2.0,0.0
271,2.0,2.0,0.4638785,5.0,4.0,4.0
272,4.0,0.0,0.3770069,7.0,1.0,9.0
273,1.0,3.0,0.9442494,1.0,4.0,1.0
274,2.0,1.0,0.7243291,4.0,0.0,1.0
275,2.0,3.0,0.28478253,3.0,0.0,4.0
276,4.0,2.0,0.5770947,3.0,2.0,3.0
277,2.0,0.0,0.8559636,3.0,2.0,13.0
278,1.0,0.0,0.8960649,6.0,8.0,2.0
279,0.0,1.0,0.052730083,7.0,5.0,6.0
280,5.0,2.0,0.5810356,7.0,5.0,1.0
281,1.0,1.0,0.68266785,0.0,1.0,7.0
282,6.0,2.0,0.64295983,2.0,7.0,5.0
283,3.0,3.0,0.18823767,5.0,5.0,1.0
284,2.0,0.0,0.5935925,5.0,2.0,5.0
285,5.0,1.0,0.17109418,4.0,4.0,3.0
286,3.0,3.0,0.9821601,4.0,5.0,5.0
287,4.0,2.0,0.304291,2.0,6.0,3.0
288,2.0,1.0,0.8687072,2.0,1.0,2.0
289,0.0,1.0,0.57073534,1.0,1.0,5.0
