r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fever_mean,fatigue_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fever_std,fatigue_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.00075,0.0,0.0,0.0005,0.5509999999999999,0.0,0.0,0.00125,0.5509999999999999,0.001767766952966369,0.0,0.0,0.0,0.028991378028648394,0.0,0.0,0.001767766952966369,0.028991378028648394,0.75
individualized,acceptance,0.0016750841750841755,0.0,0.0,-0.00016835016835016836,0.5570067340067341,0.0,0.0,0.0015067340067340073,0.5570067340067341,0.0028468561023910184,0.0,0.0,0.0015280789696709364,0.0052582436173621416,0.0,0.0,0.004273199860835097,0.0052582436173621416,0.85
individualized,acceptance,0.001666666666666667,0.0,0.0,-0.0005,0.5488333333333334,0.0,0.0,0.0011666666666666668,0.5488333333333334,0.0016072751268321594,0.0,0.0,0.0005,0.028906458332582628,0.0,0.0,0.0016072751268321596,0.028906458332582628,0.9
individualized,acceptance,-0.0001675126474121449,0.0,0.0,-0.00016582068592118845,0.5462435070977785,0.0,0.0,-0.0003333333333333333,0.5462435070977785,0.0005802643480813975,0.0,0.0,0.0005809928522794472,0.02205902321638961,0.0,0.0,0.0005773502691896258,0.02205902321638961,0.9499999999999998
subpopulation,acceptance,0.0016189692660280898,0.0,0.005421049538696598,0.00107686431215843,0.5485911147675853,0.0,0.0,0.008116883116883116,0.5485911147675853,0.0007354874553095075,0.0,0.00010388240894202137,0.0007458756962037099,0.019764667125308853,0.0,0.0,0.0013774807425711957,0.019764667125308853,0.75
subpopulation,acceptance,0.001206161547763173,0.0034565513288917545,0.0,0.0005212681359372261,0.5440183221429881,0.0,0.0,0.005183981012592154,0.5440183221429881,0.001551022765893094,0.002996473377367774,0.0,0.0008893042008704466,0.0040512812156841445,0.0,0.0,0.0040796119362260805,0.0040512812156841445,0.85
subpopulation,acceptance,0.0024103901001759306,0.0,0.0034372480754068443,0.0005191081668269403,0.5404696502674208,0.0,0.0,0.0063667463424097155,0.5404696502674208,0.0013304326227334452,0.0,0.0029778117164802618,0.0005236169926024659,0.01774342359610959,0.0,0.0,0.003451458707900913,0.01774342359610959,0.9
subpopulation,acceptance,0.0008443145498983062,0.0,0.0033755490608282485,0.0001709138764976329,0.5423567314430259,0.0,0.0,0.004390777487224187,0.5423567314430259,0.0016251105778516749,0.0,0.0029233393425208932,0.001170804652948249,0.0170899574039659,0.0,0.0,0.005173530222288396,0.0170899574039659,0.9499999999999998
individualized,counterfactual,-5.075884472869295e-06,0.0,0.0,1.2689711182173238e-06,0.546035734226689,0.0,0.0,-3.8069133546519713e-06,0.546035734226689,0.0028498187110406513,0.0,0.0,0.0007124546777601628,0.03367739164445145,0.0,0.0,0.0021373640332804887,0.03367739164445145,0.75
individualized,counterfactual,0.0020000000000000005,0.0,0.0,0.0006666666666666666,0.5646666666666667,0.0,0.0,0.0026666666666666666,0.5646666666666667,0.0008660254037844388,0.0,0.0,0.0002886751345948129,0.007251436639269065,0.0,0.0,0.0011547005383792516,0.007251436639269065,0.85
individualized,counterfactual,0.00016750418760469018,0.0,0.0,0.00016666666666666666,0.5560510887772193,0.0,0.0,0.0003341708542713569,0.5560510887772193,0.0002901257634118722,0.0,0.0,0.0002886751345948129,0.04369038268008404,0.0,0.0,0.00028940317573639357,0.04369038268008404,0.9
individualized,counterfactual,0.00033082077051926304,0.0,0.0,0.0006675041876046902,0.540031825795645,0.0,0.0,0.000998324958123953,0.540031825795645,0.001611574189333648,0.0,0.0,0.00028795256065589444,0.02699533318035129,0.0,0.0,0.001734952065202996,0.02699533318035129,0.9499999999999998
individualized,improvement,-0.0888919313618109,0.047051843738590726,1.157447973713034,0.0003673786053304126,,,,1.1159752646951444,0.0,0.012033631962681313,0.010383918185153208,0.02413835586134108,0.0011965515994454726,,,,0.020340105472684385,0.0,0.75
individualized,improvement,-0.1427820352878275,0.0519663755717935,1.2531188736410623,0.0,,,,1.1623032139250282,0.0,0.0285690798957388,0.020268462063952303,0.029804090848443793,0.0,,,,0.03810470868023028,0.0,0.85
individualized,improvement,-0.1941549993419076,0.0728654949608209,1.3781569093168802,0.0007087453946092691,,,,1.2575761503304026,0.0,0.02727295676118736,0.019076286878310672,0.03385144816928517,0.0007964670452061439,,,,0.04881088917710337,0.0,0.9
individualized,improvement,-0.13201085764422021,0.0916045185347664,1.8041511296336914,0.0007814213643342839,,,,1.764526211888572,0.0,0.0066344576804682085,0.0016673388676804954,0.043777339107239084,0.0003528554347881982,,,,0.035122687124302145,0.0,0.9499999999999998
subpopulation,improvement,-0.071875,0.028724747474747476,1.1480429292929295,0.006439393939393941,,,,1.1113320707070709,0.0,0.016204530402191705,0.008481710127868943,0.01651701445953425,0.0026784347772217717,,,,0.04388168976681655,0.0,0.75
subpopulation,improvement,-0.09179264815031837,0.043790773077073325,1.2280753154420094,-0.0012500488300324231,,,,1.178823391538732,0.0,0.018634096433003042,0.009225894172284343,0.01124233212011898,1.104897505662803e-05,,,,0.01660660951011165,0.0,0.85
subpopulation,improvement,-0.1151993131353067,0.03866516365986862,1.3272322710307207,0.002833434527423599,,,,1.253531556082706,0.0,0.022187057831318097,0.008313706932519788,0.02817006065812604,0.003998690590978289,,,,0.04442601094270864,0.0,0.9
subpopulation,improvement,-0.13144957061540183,0.054480841594205374,1.5669477396576277,0.0008837399279640563,,,,1.4908627505643957,0.0,0.018255444426393257,0.018083432501128073,0.011123890859722627,0.0011086166553151177,,,,0.008549489061365273,0.0,0.9499999999999998
