,y_hat
10755,False
16954,False
14002,False
13346,False
11893,False
15982,False
14982,False
13512,False
15453,False
18743,False
18389,False
18478,False
12152,False
10876,False
10195,False
16043,False
14389,False
16040,False
12945,False
18770,False
16884,False
18044,False
19524,False
18321,False
13225,False
16501,False
19448,False
12606,False
17208,False
10892,False
10482,False
17687,False
19238,False
11777,False
11931,False
14146,False
17786,False
14748,False
16092,False
13025,False
17945,False
11580,False
11878,False
17201,False
10328,False
10890,False
14209,False
11263,False
11432,False
17421,False
19939,False
12128,False
14112,False
18134,False
11115,False
16595,False
13269,False
14317,False
15131,False
17666,False
15223,False
10776,False
12675,False
14241,False
16725,False
16577,False
13188,False
15306,False
10381,False
14160,False
18423,False
12514,False
13921,False
15485,False
18242,False
12466,False
13680,False
15374,False
12850,False
19093,False
12477,False
10009,False
13085,False
11618,False
14855,False
19168,False
10980,False
16931,False
15078,False
17924,False
16426,False
10197,False
16364,False
10775,False
16679,False
15909,False
12323,False
14508,False
12286,False
14371,False
16776,False
16688,False
10222,False
13846,False
12428,False
19430,False
17413,False
15826,False
12919,False
13194,False
12987,False
16280,False
14269,False
17126,False
15093,False
11838,False
15886,False
16045,False
17969,False
14092,False
13777,False
18563,False
11811,False
14829,False
19290,False
10455,False
16541,False
15047,False
16807,False
12370,False
13603,False
15960,False
18982,False
14963,False
18989,False
14171,False
14195,False
12666,False
17345,False
11446,False
15491,False
14305,False
12045,False
12520,False
12949,False
10185,False
19270,False
19729,False
11008,False
10353,False
12453,False
13246,False
19842,False
14924,False
13476,False
11118,False
18735,False
17878,False
14973,False
14354,False
12480,False
12124,False
17727,False
10560,False
12354,False
15714,False
14189,False
16361,False
14152,False
11084,False
11088,False
12149,False
15856,False
17988,False
12034,False
19059,False
10093,False
13324,False
14576,False
12281,False
11714,False
12556,False
16469,False
12521,False
11800,False
19895,False
16885,False
13454,False
10465,False
16757,False
15529,False
14860,False
14834,False
12798,False
11857,False
11617,False
12399,False
16182,False
12759,False
12387,False
