,y_hat
700,False
637,False
523,False
642,False
798,False
807,False
618,False
540,False
816,False
657,False
565,False
786,False
906,False
672,False
856,False
705,False
889,False
608,False
731,False
691,False
864,False
990,False
858,False
824,False
907,False
946,False
544,False
843,False
562,False
950,False
892,False
812,False
713,False
663,False
602,False
865,False
887,False
870,False
763,False
791,False
676,False
961,False
823,False
756,False
897,False
697,False
600,False
804,False
986,False
683,False
660,False
859,False
693,False
553,False
826,False
794,False
682,False
895,False
646,False
774,False
625,False
960,False
526,False
577,False
606,False
502,False
747,False
724,False
614,False
688,False
738,False
585,False
616,False
745,False
972,False
623,False
942,False
825,False
835,False
771,False
727,False
882,False
810,False
813,False
844,False
594,False
951,False
580,False
609,False
841,False
964,False
939,False
541,False
529,False
719,False
877,False
994,False
722,False
567,False
504,False
