,years_experience,degree,nr_commits,nr_languages,nr_stars
343,2.0,1.0,24.0,3.0,4.0
299,2.0,0.0,24.0,1.0,1.0
255,3.0,0.0,37.0,5.0,3.0
280,1.0,1.0,20.0,3.0,5.0
377,4.0,0.0,48.0,0.0,2.0
200,1.0,0.0,12.0,4.0,8.0
309,2.0,0.0,26.0,3.0,3.0
201,0.0,0.0,5.0,8.0,3.0
203,0.0,3.0,2.0,6.0,10.0
241,2.0,0.0,22.0,4.0,1.0
338,2.0,0.0,25.0,5.0,1.0
233,1.0,0.0,13.0,1.0,2.0
294,1.0,0.0,17.0,1.0,3.0
234,1.0,1.0,16.0,0.0,7.0
356,2.0,0.0,24.0,2.0,3.0
352,3.0,0.0,33.0,1.0,5.0
230,1.0,1.0,15.0,4.0,2.0
229,1.0,2.0,17.0,1.0,5.0
219,0.0,0.0,3.0,8.0,1.0
212,1.0,1.0,12.0,1.0,6.0
224,1.0,0.0,13.0,1.0,2.0
345,2.0,1.0,26.0,4.0,1.0
331,2.0,0.0,27.0,3.0,3.0
246,1.0,0.0,14.0,2.0,1.0
375,4.0,0.0,43.0,2.0,1.0
327,2.0,0.0,25.0,1.0,2.0
317,1.0,0.0,15.0,1.0,5.0
386,2.0,1.0,24.0,2.0,6.0
245,1.0,1.0,12.0,0.0,1.0
286,3.0,0.0,34.0,3.0,3.0
297,1.0,0.0,18.0,8.0,4.0
298,1.0,0.0,13.0,1.0,6.0
384,3.0,0.0,32.0,2.0,4.0
390,2.0,1.0,21.0,4.0,6.0
258,3.0,0.0,34.0,0.0,0.0
308,2.0,0.0,21.0,0.0,2.0
291,1.0,1.0,11.0,1.0,4.0
381,2.0,0.0,23.0,0.0,8.0
277,1.0,0.0,16.0,4.0,2.0
378,1.0,1.0,11.0,6.0,5.0
293,1.0,0.0,12.0,0.0,2.0
222,1.0,1.0,14.0,11.0,4.0
318,3.0,0.0,35.0,2.0,9.0
237,3.0,0.0,35.0,4.0,7.0
361,0.0,0.0,3.0,2.0,4.0
374,0.0,0.0,5.0,7.0,6.0
238,0.0,2.0,3.0,2.0,0.0
232,1.0,1.0,11.0,4.0,1.0
303,0.0,1.0,8.0,7.0,3.0
395,1.0,0.0,11.0,7.0,8.0
