,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
200,2.0,0.0,0.858534,5.0,2.0,2.0
201,1.0,1.0,0.7728337,8.0,1.0,0.0
202,5.0,2.0,0.95781183,4.0,5.0,2.0
203,1.0,2.0,0.77134085,1.0,5.0,6.0
204,7.0,1.0,0.6298393,5.0,5.0,4.0
205,1.0,0.0,0.6552391,2.0,0.0,9.0
206,3.0,3.0,0.2003181,3.0,3.0,9.0
207,5.0,2.0,0.20112216,9.0,1.0,2.0
208,2.0,3.0,0.37826085,8.0,1.0,0.0
209,4.0,0.0,0.28045368,7.0,3.0,1.0
210,9.0,0.0,0.052464247,3.0,0.0,1.0
211,5.0,0.0,0.055998445,4.0,1.0,2.0
212,5.0,0.0,0.70201933,7.0,1.0,4.0
213,0.0,1.0,0.027505994,5.0,6.0,4.0
214,3.0,1.0,0.53327215,3.0,0.0,2.0
215,3.0,2.0,0.27184212,4.0,6.0,2.0
216,1.0,0.0,0.4724127,5.0,10.0,8.0
217,6.0,3.0,0.92768466,5.0,5.0,4.0
218,6.0,0.0,0.62496805,4.0,10.0,7.0
219,1.0,2.0,0.96414185,4.0,5.0,1.0
220,2.0,2.0,0.17809963,1.0,1.0,6.0
221,2.0,1.0,0.33750772,6.0,4.0,3.0
222,0.0,2.0,0.6188283,5.0,6.0,4.0
223,2.0,1.0,0.38200676,4.0,3.0,0.0
224,1.0,3.0,0.86415124,8.0,5.0,2.0
225,2.0,0.0,0.23987305,3.0,3.0,4.0
226,6.0,2.0,0.59360194,3.0,0.0,11.0
227,2.0,1.0,0.70998514,1.0,3.0,2.0
228,6.0,0.0,0.8755803,4.0,8.0,5.0
229,4.0,0.0,0.5122665,3.0,6.0,3.0
230,5.0,3.0,0.09771216,5.0,3.0,2.0
231,6.0,2.0,0.13125622,1.0,2.0,2.0
232,4.0,2.0,0.1623007,4.0,2.0,8.0
233,2.0,2.0,0.8590437,3.0,2.0,5.0
234,1.0,0.0,0.45386386,4.0,4.0,3.0
235,8.0,0.0,0.8692194,1.0,9.0,4.0
236,2.0,3.0,0.39071918,5.0,4.0,2.0
237,5.0,1.0,0.46985972,7.0,6.0,1.0
238,4.0,0.0,0.08662796,3.0,7.0,2.0
239,1.0,2.0,0.8969512,2.0,8.0,5.0
240,3.0,1.0,0.77401173,3.0,4.0,2.0
241,5.0,2.0,0.17179477,3.0,1.0,0.0
242,2.0,2.0,0.75618577,4.0,5.0,1.0
243,5.0,0.0,0.16857898,0.0,1.0,3.0
244,4.0,1.0,0.036901236,3.0,1.0,4.0
245,2.0,0.0,0.80373025,6.0,7.0,8.0
246,2.0,1.0,0.72618055,5.0,0.0,0.0
247,4.0,3.0,0.42885244,6.0,7.0,2.0
248,2.0,0.0,0.942299,5.0,3.0,3.0
249,4.0,0.0,0.6382879,10.0,6.0,2.0
250,5.0,1.0,0.30276644,3.0,10.0,2.0
251,8.0,2.0,0.58469784,3.0,14.0,6.0
252,3.0,3.0,0.93266416,6.0,14.0,3.0
253,2.0,2.0,0.339329,4.0,3.0,7.0
254,4.0,0.0,0.95505416,3.0,0.0,2.0
255,2.0,0.0,0.5860679,5.0,4.0,4.0
256,2.0,0.0,0.72441685,3.0,11.0,3.0
257,6.0,0.0,0.4816985,6.0,5.0,2.0
258,3.0,2.0,0.06501675,6.0,0.0,2.0
259,1.0,2.0,0.48102236,2.0,3.0,8.0
260,1.0,0.0,0.13362181,2.0,5.0,6.0
261,6.0,1.0,0.8591044,4.0,2.0,4.0
262,2.0,2.0,0.9678298,5.0,2.0,5.0
263,3.0,0.0,0.7265898,5.0,3.0,3.0
264,2.0,0.0,0.093046665,0.0,1.0,7.0
265,6.0,0.0,0.60124457,6.0,11.0,1.0
266,3.0,3.0,0.54951835,1.0,1.0,4.0
