,years_experience,degree,nr_commits,nr_languages,nr_stars
260,3.0,1.0,3032.0,6.0,16.0
234,3.0,1.0,3034.0,5.0,13.0
333,3.0,1.0,3036.0,3.0,12.0
348,2.0,2.0,2025.0,5.0,16.0
205,1.0,3.0,1012.0,1.0,19.0
256,3.0,1.0,3033.0,12.0,13.0
306,3.0,1.0,3033.0,1.0,17.0
380,3.0,1.0,3036.0,6.0,13.0
246,2.0,2.0,2025.0,1.0,10.0
342,2.0,2.0,2027.0,6.0,10.0
336,2.0,2.0,2025.0,3.0,12.0
332,3.0,1.0,3031.0,3.0,11.0
239,1.0,3.0,1012.0,9.0,15.0
353,2.0,2.0,2029.0,3.0,11.0
308,3.0,1.0,3033.0,6.0,13.0
245,2.0,2.0,2026.0,8.0,18.0
357,3.0,1.0,3034.0,1.0,14.0
393,2.0,2.0,2024.0,1.0,13.0
354,1.0,3.0,1014.0,1.0,16.0
392,3.0,1.0,3033.0,10.0,13.0
386,1.0,3.0,1013.0,3.0,14.0
341,3.0,1.0,3032.0,9.0,13.0
317,3.0,1.0,3033.0,7.0,14.0
350,3.0,1.0,3032.0,2.0,13.0
216,2.0,2.0,2025.0,11.0,18.0
293,1.0,3.0,1011.0,5.0,13.0
219,1.0,3.0,1014.0,6.0,11.0
294,4.0,1.0,4046.0,7.0,12.0
385,3.0,1.0,3036.0,11.0,16.0
367,3.0,1.0,3031.0,3.0,13.0
283,3.0,1.0,3036.0,5.0,14.0
222,2.0,2.0,2025.0,7.0,14.0
338,3.0,1.0,3041.0,2.0,17.0
387,3.0,1.0,3035.0,3.0,16.0
362,3.0,1.0,3035.0,4.0,11.0
255,3.0,1.0,3035.0,5.0,14.0
290,2.0,2.0,2025.0,6.0,18.0
396,2.0,2.0,2021.0,2.0,11.0
369,1.0,3.0,1014.0,2.0,12.0
292,2.0,2.0,2024.0,1.0,12.0
213,2.0,2.0,2025.0,7.0,14.0
327,2.0,2.0,2027.0,5.0,14.0
299,2.0,2.0,2023.0,2.0,14.0
271,3.0,1.0,3032.0,8.0,17.0
272,3.0,1.0,3032.0,3.0,15.0
225,2.0,2.0,2023.0,4.0,14.0
263,3.0,1.0,3035.0,4.0,13.0
304,4.0,0.0,4044.0,2.0,11.0
331,2.0,2.0,2023.0,8.0,11.0
203,2.0,2.0,2021.0,6.0,16.0
