r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6874999940395355,0.44499999582767485,2.2506999999999997,0.0,0.0,0.0,0.0,,0.07776496981087415,0.08959786567065417,0.29008573445333935
individualized,acceptance,0.85,0.85,1.0,1.0,,0.6874999940395355,0.44499999582767485,2.2506999999999997,0.0,0.0,0.0,0.0,,0.07776496981087415,0.08959786567065417,0.29008573445333935
individualized,acceptance,0.9,0.9,1.0,1.0,,0.6874999940395355,0.44499999582767485,2.2506999999999997,0.0,0.0,0.0,0.0,,0.07776496981087415,0.08959786567065417,0.29008573445333935
individualized,acceptance,0.95,0.95,1.0,1.0,,0.6874999940395355,0.44499999582767485,2.97795,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.07776496981087415,0.08959786567065417,0.5610401277983599
subpopulation,acceptance,0.75,0.75,1.0,0.8615,,0.5877999991178513,0.4464999958872795,2.41335,0.0,0.0,0.0,0.04842233185444731,,0.07072451175876389,0.10548959724791983,0.3404698591652424
subpopulation,acceptance,0.85,0.85,1.0,0.9225,,0.5936000138521195,0.44099999964237213,2.5585999999999998,0.0,0.0,0.0,0.033019354593598234,,0.07628777373761611,0.09717681170311974,0.3872207093864916
subpopulation,acceptance,0.9,0.9,1.0,0.9570000000000001,,0.6119999945163727,0.43999999314546584,2.6099,0.0,0.0,0.0,0.022261077142751988,,0.08006524009096157,0.09669539365251142,0.38849759044011806
subpopulation,acceptance,0.95,0.95,1.0,0.984,,0.6000000238418579,0.4269999980926514,3.437,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.015238839267549962,,0.08181958440045639,0.10376790346840699,0.6764015079817608
individualized,counterfactual,0.75,0.75,1.0,0.998,,0.491300006210804,0.3860000014305115,2.97795,0.0,0.0,0.0,0.004830458915396484,,0.13234136149106268,0.10556198659360104,0.5610401277983599
individualized,counterfactual,0.85,0.85,1.0,0.998,,0.491300006210804,0.3860000014305115,2.97795,0.0,0.0,0.0,0.004830458915396484,,0.13234136149106268,0.10556198659360104,0.5610401277983599
individualized,counterfactual,0.9,0.9,1.0,0.998,,0.491300006210804,0.3860000014305115,2.97795,0.0,0.0,0.0,0.004830458915396484,,0.13234136149106268,0.10556198659360104,0.5610401277983599
individualized,counterfactual,0.95,0.95,1.0,0.998,,0.491300006210804,0.3860000014305115,4.27485,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.004830458915396484,,0.13234136149106268,0.10556198659360104,0.27091440325108
subpopulation,counterfactual,0.75,0.75,1.0,0.999,,0.406400004029274,0.3939999997615814,3.0046,0.0,0.0,0.0,0.0022360679774997916,,0.13398247014445172,0.11137773566734184,0.5618413254647614
subpopulation,counterfactual,0.85,0.85,1.0,0.999,,0.406400004029274,0.3939999997615814,3.0046,0.0,0.0,0.0,0.0022360679774997916,,0.13398247014445172,0.11137773566734184,0.5618413254647614
subpopulation,counterfactual,0.9,0.9,1.0,0.999,,0.406400004029274,0.3939999997615814,3.0046,0.0,0.0,0.0,0.0022360679774997916,,0.13398247014445172,0.11137773566734184,0.5618413254647614
subpopulation,counterfactual,0.95,0.95,1.0,0.999,,0.406400004029274,0.3939999997615814,4.1027000000000005,0.0,0.0,0.0,0.0022360679774997916,,0.13398247014445172,0.11137773566734184,0.2557944975952374
individualized,improvement,0.75,0.75,1.0,0.9855,1.0,0.9846999764442443,0.7654999971389771,3.4104,0.0,0.0,0.0,0.0336196040693191,0.0,0.02895994395875471,0.038038719589549366,0.2258658402188735
individualized,improvement,0.85,0.85,1.0,0.9949999999999999,1.0,0.9913999855518341,0.8559999942779541,3.84495,0.0,0.0,0.0,0.014142135623730963,0.0,0.017315385848373353,0.029888682441717555,0.2554553070282332
individualized,improvement,0.9,0.9,1.0,0.998,1.0,0.9965999901294709,0.9075000047683716,3.8000999999999996,0.0,0.0,0.0,0.004216370213557844,0.0,0.006040610443419803,0.024972208152021797,0.2893877444997744
individualized,improvement,0.95,0.95,1.0,0.9974999999999999,1.0,0.9970999956130981,0.9529999971389771,2.2506999999999997,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.005400617248673222,0.0,0.006723925551117083,0.019465064834648667,0.29008573445333935
subpopulation,improvement,0.75,0.75,1.0,0.9410000000000001,,0.9400999844074249,0.7379999935626984,3.5099000000000005,0.0,0.0,0.0,0.026749870196985152,,0.02725373650637762,0.03190262495406943,0.23858131620989192
subpopulation,improvement,0.85,0.85,1.0,0.9795,,0.9763000071048736,0.8399999976158142,3.9608000000000003,0.0,0.0,0.0,0.018476712069220767,,0.018885925535568907,0.024832778363356157,0.31862327110380523
subpopulation,improvement,0.9,0.9,1.0,0.9869999999999999,,0.9871000170707702,0.8855000138282776,3.96165,0.0,0.0,0.0,0.012952906151816978,,0.011512784939751816,0.02813163597092766,0.2612047993858883
subpopulation,improvement,0.95,0.95,1.0,0.9959999999999999,,0.9953999757766724,0.9479999959468841,2.6833,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.006146362971528597,,0.006535399742479398,0.020027748342752595,0.41108718999474764
