,age,gender,experience,loan_amount,loan_duration,income,saving
6542,-30.55349,1.0,-0.39350536,1.9668623,2.5560672,-0.41794118,3.3682063
6116,-33.612587,1.0,-0.34634522,7.5096183,20.999598,4.8929462,41.35344
7711,-32.60421,1.0,-0.38030618,3.3144135,7.0680957,0.38776293,14.328064
6571,-31.055637,1.0,-0.38890043,2.3286777,4.1126585,-0.36577734,7.0042915
5712,-32.138336,1.0,-0.36486644,5.700473,14.89103,3.001029,28.223309
8924,-31.996431,1.0,-0.3913863,1.7722254,2.1147451,-0.9500681,2.0060081
7595,-33.90473,1.0,-0.36751372,4.6515064,11.296872,1.4874264,23.33178
5402,-29.46761,1.0,-0.373164,5.604925,13.806352,2.7787466,26.844965
7027,-30.14148,1.0,-0.3932957,1.9711555,2.595686,-0.7013645,4.4629955
5187,-31.716467,1.0,-0.3744412,4.4002056,10.562244,1.8022171,21.026905
5537,-32.14815,1.0,-0.35770434,6.6489053,17.980831,3.954023,34.302067
7344,-30.731993,1.0,-0.39425677,1.7687095,1.4228513,-0.9219712,1.5092808
7498,-30.791693,1.0,-0.32062784,11.260659,34.062626,8.536853,64.92538
7875,-33.15919,1.0,-0.3700888,4.426727,10.872221,1.6968426,22.792816
7331,-31.475422,1.0,-0.34381765,9.051635,24.5388,6.390732,46.663074
9512,-33.034588,1.0,-0.35864645,5.9300146,16.674004,3.2145393,32.854027
5662,-33.275337,1.0,-0.32268816,10.55454,29.92822,7.9672093,59.22004
7104,-32.06872,1.0,-0.372844,4.5046625,11.107561,1.7990366,21.942205
7763,-30.223125,1.0,-0.3602136,7.047701,18.461012,4.4004855,35.96562
5396,-32.339676,1.0,-0.38750815,2.1822395,3.4953766,-0.3449847,5.7530684
7846,-32.803783,1.0,-0.34642008,7.763545,21.666676,5.065873,42.3542
8772,-31.556805,1.0,-0.36959472,4.9538865,13.601351,2.265011,25.76429
6286,-31.26113,1.0,-0.38999048,2.1726007,3.3932967,-0.5286329,5.296692
9265,-32.124317,1.0,-0.38647938,2.3220448,3.8601975,-0.4986512,7.751624
8364,-29.60411,1.0,-0.39719117,1.2501314,1.165712,-1.4042572,1.2110882
8782,-30.714409,1.0,-0.39367786,1.873407,2.1620498,-0.91619277,2.2557876
7475,-31.998055,1.0,-0.3732401,4.472681,10.916334,1.7684915,21.709608
5257,-33.167126,1.0,-0.31693798,10.620229,31.876673,7.9433074,63.480988
7329,-32.680325,1.0,-0.3789729,3.4900503,7.6441965,0.76285183,14.561609
6799,-32.7258,1.0,-0.35122555,6.9905725,19.69906,4.290003,38.5363
5089,-33.44111,1.0,-0.37093264,4.5235634,10.425062,1.7883894,21.010027
7647,-33.00286,1.0,-0.38608462,2.0918608,3.2656724,-0.44804433,6.37805
5886,-31.906652,1.0,-0.36196896,5.9762897,16.622004,3.2857566,31.589941
7927,-32.45304,1.0,-0.39144796,1.6016873,1.6913229,-1.1323345,1.2526103
6982,-32.420815,1.0,-0.38342476,2.6983855,5.2033854,-0.02680335,11.341893
8327,-31.879587,1.0,-0.38902318,2.0084324,2.918107,-0.7059896,5.532315
7634,-31.806395,1.0,-0.37728697,3.9486334,9.200519,1.2454178,18.1459
6098,-33.148582,1.0,-0.381199,2.7967567,5.574058,0.056013726,12.300445
8328,-33.77497,1.0,-0.34372634,7.6786838,21.886097,5.060959,42.91364
8452,-32.505318,1.0,-0.36568683,5.167483,14.251892,2.7602258,27.291504
7144,-32.505634,1.0,-0.37357855,4.2458334,10.013409,1.5283642,19.928164
9411,-30.30547,1.0,-0.39653867,1.2724372,1.5419855,-1.3998672,0.76137674
7244,-32.79461,1.0,-0.3730457,4.317199,10.54744,1.5908738,20.732506
6962,-31.593027,1.0,-0.3850468,3.0480282,5.403207,0.34523052,10.823558
9342,-33.368507,1.0,-0.33277458,9.692425,26.55814,6.9928374,51.801567
9685,-33.21319,1.0,-0.3576029,5.9086924,16.74249,3.2900188,33.430878
6993,-31.211058,1.0,-0.38981485,2.305807,3.810739,0.20102651,7.0723267
7563,-32.54075,1.0,-0.3509984,7.182172,19.883924,4.486407,39.121746
7564,-32.316643,1.0,-0.37690508,3.7237706,8.728786,1.0077332,17.50189
9988,-33.925537,1.0,-0.3712827,4.521732,10.204775,0.87515545,19.982212
5641,-29.61405,1.0,-0.3865587,3.3973548,7.3588634,0.7475236,13.221796
6466,-32.31329,1.0,-0.3690868,4.853485,12.200131,2.145351,24.661041
8013,-32.810528,1.0,-0.38194442,2.9944181,6.042488,0.061057232,12.32534
5473,-33.031734,1.0,-0.36984438,4.60311,11.411363,1.8765049,22.609518
7263,-30.44886,1.0,-0.31214008,12.618535,36.867752,10.11813,71.49473
8357,-32.61861,1.0,-0.37440103,3.9877162,9.507326,1.2666136,19.092974
6005,-32.698677,1.0,-0.38190463,2.738205,6.3769765,0.307623,11.746221
9455,-31.314331,1.0,-0.37082905,5.0697975,12.912552,2.3862658,24.828299
7433,-31.45648,1.0,-0.38982916,2.125351,3.2521615,-0.5810511,5.090163
5415,-32.294758,1.0,-0.37362295,4.312424,10.415426,1.6002247,20.54577
7504,-32.45893,1.0,-0.3732022,4.316358,10.321904,1.6004342,20.647058
8168,-31.042263,1.0,-0.3856048,2.7609937,5.741854,-0.029792596,11.525241
7852,-32.488472,1.0,-0.37206197,4.5703306,11.141845,1.554807,21.923227
5468,-32.472248,1.0,-0.38315445,3.02259,5.285573,0.29637998,11.717245
8479,-32.527336,1.0,-0.37731415,3.7902093,8.509125,1.0684627,16.86569
7839,-31.979067,1.0,-0.3909411,1.6518873,1.9724928,-1.0695093,2.8958664
7444,-33.180813,1.0,-0.3779717,3.3737931,7.4267387,0.4355145,15.097296
9275,-32.32844,1.0,-0.36217993,6.298503,15.972468,3.0968914,30.87447
6989,-30.804258,1.0,-0.39188427,2.2304502,2.7090476,-0.7625505,3.9472878
9951,-30.978485,1.0,-0.3904235,2.1246798,3.4325857,-0.56388235,5.704873
9521,-32.6832,1.0,-0.3778881,3.6516068,8.169456,0.6254223,16.172691
6400,-32.565876,1.0,-0.39056605,1.715757,2.0629296,-1.0178679,2.1715562
5960,-31.420307,1.0,-0.34855497,7.9898515,22.309473,5.3257046,43.426815
8314,-31.753178,1.0,-0.36612403,5.465939,14.553276,2.7752934,28.229595
8753,-30.937778,1.0,-0.38071567,3.7597773,8.531427,1.0768077,16.570633
5392,-32.319492,1.0,-0.3772285,3.774783,8.86977,1.0583496,17.597046
8043,-31.620426,1.0,-0.36758444,5.3121676,13.744877,2.8235958,27.007643
7552,-32.803257,1.0,-0.38657314,2.173149,3.5978532,-0.5646632,6.0139723
9459,-31.440298,1.0,-0.3679659,5.8331575,14.295121,3.1515622,26.711092
6333,-33.48954,1.0,-0.37793607,3.179662,7.243198,0.63421667,14.556918
5362,-32.118053,1.0,-0.36465132,5.7370787,14.808638,2.9383721,28.74268
9431,-32.743877,1.0,-0.38431573,2.6492128,4.915905,-0.08489027,8.436334
8449,-32.682896,1.0,-0.3842961,2.6728942,5.288618,-0.059690736,8.555594
8904,-32.87208,1.0,-0.3915205,1.4475306,0.7194289,-1.4969033,0.48640832
6880,-32.653793,1.0,-0.38032416,3.094818,6.707848,0.7669228,13.528914
7667,-32.633236,1.0,-0.3923532,1.289759,0.61497915,-1.4496573,0.31262198
9778,-32.711094,1.0,-0.36290973,5.668741,14.952085,2.9568489,28.917925
6704,-34.44861,1.0,-0.36990893,4.2744284,10.200413,1.5218033,20.569014
6500,-32.745956,1.0,-0.38706782,1.9135616,3.7001839,-0.8233444,6.814494
6134,-30.691349,1.0,-0.38544995,2.9231946,6.8474617,0.24248247,12.581671
7203,-32.904068,1.0,-0.28807557,13.617323,41.805588,10.973417,81.4352
7956,-32.421455,1.0,-0.34038663,8.524752,24.839119,5.742585,47.45698
5013,-32.14072,1.0,-0.39066517,1.6397537,1.6438524,-1.0855503,3.1949189
5832,-32.63897,1.0,-0.37822795,3.5158274,7.8500996,0.79039454,15.828247
8692,-32.014305,1.0,-0.36846983,5.1455812,13.104341,2.4457395,25.522747
6183,-29.63511,1.0,-0.3892164,2.9609497,5.958655,0.20781317,10.803379
6459,-33.60939,1.0,-0.35818213,6.1057615,16.111828,3.3773253,31.952791
6194,-32.624752,1.0,-0.3868555,2.2884862,3.8352551,-0.44522253,7.0256767
7767,-32.712654,1.0,-0.38706425,2.1253724,3.3362443,-0.6107131,5.5726037
6759,-32.396587,1.0,-0.38315383,2.7562907,5.383115,0.034337424,11.745789
