,years_experience,degree,nr_commits,nr_languages,nr_stars
0,1.0,0.0,12.0,1.0,3.0
1,1.0,2.0,1018.0,6.0,14.0
2,6.0,0.0,6062.0,8.0,14.0
3,3.0,1.0,3033.0,3.0,12.0
4,0.0,0.0,5.0,3.0,3.0
5,6.0,1.0,6065.0,4.0,12.0
6,4.0,0.0,4043.0,3.0,16.0
7,5.0,0.0,5055.0,2.0,10.0
8,1.0,0.0,12.0,10.0,1.0
9,3.0,0.0,3033.0,1.0,18.0
10,1.0,2.0,1018.0,10.0,13.0
11,2.0,1.0,26.0,2.0,5.0
12,6.0,2.0,6065.0,11.0,12.0
13,1.0,0.0,14.0,5.0,4.0
14,4.0,3.0,4042.0,3.0,16.0
15,3.0,1.0,3039.0,4.0,15.0
16,2.0,1.0,24.0,7.0,4.0
17,3.0,2.0,3032.0,9.0,18.0
18,5.0,0.0,5054.0,1.0,12.0
19,3.0,2.0,3035.0,5.0,11.0
20,3.0,2.0,3034.0,8.0,17.0
21,3.0,1.0,3031.0,8.0,19.0
22,6.0,0.0,6065.0,2.0,14.0
23,1.0,0.0,13.0,4.0,1.0
24,1.0,2.0,17.0,6.0,6.0
25,2.0,0.0,22.0,1.0,6.0
26,3.0,0.0,3036.0,6.0,10.0
27,6.0,0.0,6064.0,11.0,13.0
28,1.0,1.0,11.0,2.0,4.0
29,3.0,1.0,3033.0,6.0,13.0
30,2.0,0.0,24.0,4.0,5.0
31,0.0,2.0,8.0,4.0,5.0
32,3.0,1.0,3034.0,13.0,15.0
33,2.0,0.0,23.0,2.0,3.0
34,4.0,0.0,4043.0,4.0,14.0
35,10.0,0.0,10103.0,2.0,14.0
36,4.0,2.0,4047.0,4.0,12.0
37,2.0,0.0,24.0,3.0,5.0
38,0.0,0.0,1.0,7.0,3.0
39,3.0,2.0,3036.0,6.0,12.0
40,4.0,3.0,4045.0,7.0,18.0
41,8.0,2.0,8087.0,6.0,14.0
42,2.0,3.0,2026.0,2.0,14.0
43,8.0,1.0,8084.0,1.0,12.0
44,2.0,1.0,28.0,0.0,3.0
45,4.0,2.0,4046.0,4.0,10.0
46,3.0,2.0,3032.0,1.0,14.0
47,2.0,1.0,23.0,1.0,2.0
48,1.0,3.0,1012.0,5.0,11.0
49,2.0,2.0,2024.0,7.0,15.0
50,3.0,0.0,32.0,4.0,1.0
51,3.0,0.0,34.0,5.0,2.0
52,4.0,2.0,4045.0,15.0,12.0
53,4.0,3.0,4044.0,10.0,14.0
54,2.0,1.0,26.0,8.0,4.0
55,0.0,2.0,4.0,1.0,2.0
56,4.0,2.0,4043.0,7.0,16.0
57,4.0,1.0,4042.0,3.0,18.0
58,2.0,0.0,27.0,5.0,2.0
59,4.0,3.0,4042.0,2.0,13.0
60,1.0,1.0,16.0,5.0,5.0
61,0.0,2.0,3.0,7.0,3.0
62,2.0,0.0,23.0,9.0,5.0
63,3.0,0.0,35.0,15.0,12.0
64,4.0,0.0,4045.0,10.0,17.0
65,7.0,2.0,7077.0,1.0,15.0
66,2.0,2.0,2024.0,6.0,12.0
67,3.0,0.0,3032.0,5.0,13.0
68,4.0,1.0,4043.0,2.0,16.0
69,7.0,0.0,7073.0,8.0,14.0
70,3.0,0.0,34.0,4.0,2.0
71,3.0,2.0,3035.0,2.0,13.0
72,5.0,3.0,5050.0,2.0,13.0
73,2.0,1.0,2028.0,4.0,17.0
74,4.0,3.0,4049.0,5.0,14.0
75,6.0,0.0,6063.0,8.0,14.0
76,2.0,1.0,21.0,0.0,3.0
77,4.0,3.0,4042.0,4.0,15.0
78,3.0,0.0,3036.0,9.0,15.0
79,2.0,1.0,2021.0,5.0,12.0
80,3.0,0.0,3034.0,4.0,16.0
81,3.0,1.0,3032.0,12.0,14.0
82,6.0,1.0,6063.0,4.0,16.0
83,5.0,0.0,5055.0,2.0,14.0
84,9.0,0.0,9092.0,5.0,11.0
85,3.0,0.0,3039.0,2.0,13.0
86,4.0,2.0,4042.0,4.0,15.0
87,1.0,1.0,15.0,4.0,1.0
88,1.0,0.0,13.0,28.0,3.0
89,2.0,0.0,27.0,0.0,3.0
90,1.0,1.0,12.0,1.0,3.0
91,4.0,0.0,4045.0,10.0,15.0
92,3.0,0.0,33.0,5.0,3.0
93,6.0,0.0,6063.0,6.0,14.0
94,2.0,3.0,2025.0,6.0,12.0
95,1.0,2.0,1014.0,4.0,10.0
96,1.0,0.0,13.0,6.0,3.0
97,1.0,0.0,10.0,13.0,4.0
98,1.0,2.0,11.0,1.0,8.0
99,4.0,1.0,4042.0,2.0,12.0
100,1.0,0.0,14.0,1.0,3.0
101,5.0,0.0,5052.0,1.0,12.0
102,3.0,0.0,3034.0,9.0,14.0
103,4.0,2.0,4042.0,11.0,14.0
104,5.0,1.0,5055.0,4.0,12.0
105,2.0,2.0,2026.0,6.0,16.0
106,4.0,1.0,4043.0,5.0,12.0
107,0.0,1.0,2.0,0.0,3.0
108,3.0,2.0,3031.0,6.0,10.0
109,0.0,0.0,3.0,2.0,0.0
110,5.0,0.0,5051.0,9.0,11.0
111,3.0,0.0,31.0,12.0,3.0
112,6.0,0.0,6063.0,1.0,12.0
113,6.0,1.0,6065.0,1.0,12.0
114,1.0,0.0,15.0,15.0,2.0
115,7.0,1.0,7074.0,5.0,10.0
116,6.0,1.0,6063.0,4.0,11.0
117,3.0,3.0,3036.0,9.0,18.0
118,3.0,2.0,3033.0,2.0,19.0
119,4.0,2.0,4046.0,2.0,11.0
120,1.0,2.0,12.0,5.0,1.0
121,4.0,2.0,4043.0,1.0,16.0
122,2.0,0.0,22.0,7.0,6.0
123,0.0,1.0,3.0,5.0,2.0
124,4.0,2.0,4047.0,1.0,16.0
125,3.0,1.0,3032.0,6.0,12.0
126,2.0,3.0,2023.0,9.0,17.0
127,1.0,2.0,18.0,2.0,8.0
128,6.0,1.0,6065.0,1.0,14.0
129,2.0,1.0,2023.0,1.0,10.0
130,3.0,2.0,3033.0,2.0,19.0
131,5.0,3.0,5055.0,4.0,11.0
132,3.0,0.0,36.0,2.0,2.0
133,4.0,1.0,4043.0,5.0,13.0
134,1.0,0.0,13.0,11.0,2.0
135,5.0,2.0,5054.0,3.0,14.0
136,1.0,0.0,12.0,4.0,9.0
137,1.0,3.0,1015.0,11.0,10.0
138,1.0,0.0,15.0,8.0,3.0
139,1.0,3.0,1011.0,4.0,13.0
140,2.0,3.0,2023.0,2.0,13.0
141,2.0,0.0,21.0,2.0,6.0
142,3.0,0.0,33.0,17.0,5.0
143,4.0,0.0,4044.0,6.0,10.0
144,7.0,2.0,7076.0,6.0,19.0
145,6.0,2.0,6065.0,4.0,14.0
146,4.0,0.0,4043.0,6.0,15.0
147,5.0,0.0,5052.0,5.0,17.0
148,3.0,2.0,3031.0,5.0,11.0
149,3.0,0.0,33.0,6.0,1.0
150,6.0,0.0,6063.0,3.0,12.0
151,0.0,2.0,2.0,1.0,4.0
152,4.0,0.0,4044.0,2.0,13.0
153,2.0,0.0,25.0,0.0,5.0
154,2.0,0.0,23.0,1.0,2.0
155,8.0,2.0,8083.0,4.0,10.0
156,3.0,0.0,33.0,17.0,2.0
157,3.0,0.0,35.0,2.0,2.0
158,5.0,1.0,5053.0,2.0,17.0
159,2.0,2.0,2027.0,6.0,13.0
160,2.0,0.0,22.0,8.0,4.0
161,7.0,2.0,7075.0,6.0,16.0
162,2.0,0.0,26.0,1.0,1.0
163,5.0,2.0,5053.0,4.0,14.0
164,8.0,3.0,8089.0,9.0,15.0
165,2.0,0.0,20.0,6.0,5.0
166,4.0,3.0,4049.0,4.0,15.0
167,3.0,3.0,3035.0,5.0,11.0
168,4.0,0.0,4043.0,4.0,11.0
169,2.0,1.0,2023.0,3.0,15.0
170,0.0,1.0,3.0,4.0,9.0
171,7.0,2.0,7079.0,3.0,19.0
172,5.0,1.0,5054.0,3.0,22.0
173,3.0,0.0,3035.0,8.0,13.0
174,1.0,0.0,14.0,8.0,5.0
175,7.0,2.0,7075.0,5.0,12.0
176,7.0,0.0,7075.0,2.0,17.0
177,3.0,3.0,3033.0,1.0,16.0
178,5.0,0.0,5051.0,6.0,15.0
179,4.0,0.0,4049.0,14.0,14.0
180,3.0,3.0,3034.0,8.0,17.0
181,5.0,2.0,5052.0,2.0,12.0
182,2.0,0.0,23.0,1.0,7.0
183,5.0,1.0,5052.0,4.0,14.0
184,1.0,1.0,13.0,5.0,4.0
185,1.0,2.0,1011.0,7.0,10.0
186,1.0,1.0,14.0,11.0,6.0
187,4.0,0.0,4046.0,19.0,17.0
188,5.0,0.0,5057.0,5.0,14.0
189,6.0,2.0,6065.0,2.0,11.0
190,5.0,0.0,5053.0,2.0,13.0
191,7.0,2.0,7072.0,1.0,18.0
192,1.0,2.0,14.0,5.0,2.0
193,1.0,3.0,1011.0,1.0,12.0
194,2.0,1.0,27.0,8.0,6.0
195,1.0,0.0,18.0,3.0,3.0
196,4.0,3.0,4044.0,8.0,12.0
197,1.0,2.0,1014.0,9.0,17.0
198,5.0,0.0,5051.0,1.0,14.0
199,1.0,1.0,11.0,6.0,3.0
200,3.0,2.0,3033.0,2.0,15.0
201,8.0,2.0,8083.0,10.0,15.0
202,4.0,0.0,4041.0,6.0,15.0
203,7.0,1.0,7076.0,4.0,12.0
204,1.0,2.0,12.0,4.0,2.0
205,8.0,2.0,8083.0,1.0,13.0
206,2.0,2.0,2021.0,17.0,13.0
207,1.0,2.0,1012.0,1.0,16.0
208,4.0,1.0,4049.0,7.0,12.0
209,3.0,3.0,3034.0,9.0,15.0
210,2.0,0.0,30.0,6.0,5.0
211,1.0,1.0,13.0,2.0,4.0
212,5.0,1.0,5051.0,8.0,10.0
213,6.0,2.0,6063.0,8.0,17.0
214,3.0,0.0,33.0,4.0,4.0
215,3.0,2.0,3040.0,7.0,14.0
216,0.0,2.0,5.0,1.0,6.0
217,5.0,1.0,5051.0,7.0,12.0
218,2.0,2.0,2022.0,8.0,12.0
219,1.0,2.0,1015.0,7.0,15.0
220,5.0,1.0,5053.0,14.0,14.0
221,1.0,0.0,11.0,2.0,4.0
222,1.0,3.0,1015.0,1.0,12.0
223,8.0,0.0,8085.0,1.0,16.0
224,4.0,3.0,4042.0,7.0,13.0
225,3.0,1.0,3034.0,9.0,13.0
226,8.0,1.0,8084.0,5.0,15.0
227,4.0,0.0,4045.0,5.0,12.0
228,2.0,2.0,20.0,4.0,2.0
229,8.0,0.0,8084.0,2.0,12.0
230,0.0,0.0,2.0,10.0,2.0
231,3.0,2.0,3033.0,3.0,10.0
232,3.0,0.0,3032.0,8.0,14.0
233,0.0,2.0,4.0,15.0,0.0
234,2.0,1.0,2023.0,6.0,13.0
235,3.0,1.0,3034.0,11.0,18.0
236,4.0,2.0,4044.0,5.0,11.0
237,3.0,0.0,31.0,2.0,7.0
238,1.0,1.0,12.0,2.0,3.0
239,4.0,1.0,4045.0,2.0,15.0
240,0.0,2.0,0.0,3.0,2.0
241,3.0,2.0,3031.0,7.0,15.0
242,1.0,1.0,14.0,0.0,1.0
243,1.0,1.0,15.0,9.0,3.0
244,3.0,3.0,3032.0,8.0,17.0
245,4.0,0.0,4045.0,5.0,16.0
246,1.0,2.0,16.0,5.0,2.0
247,3.0,1.0,3032.0,6.0,12.0
248,2.0,2.0,2024.0,9.0,12.0
249,3.0,0.0,31.0,4.0,2.0
250,3.0,2.0,3037.0,2.0,19.0
251,6.0,0.0,6060.0,9.0,11.0
252,1.0,2.0,1019.0,3.0,17.0
253,4.0,1.0,4046.0,7.0,15.0
254,0.0,2.0,8.0,1.0,9.0
255,2.0,2.0,2022.0,1.0,14.0
256,2.0,0.0,25.0,0.0,2.0
257,5.0,3.0,5052.0,2.0,12.0
258,1.0,0.0,15.0,0.0,4.0
259,6.0,1.0,6066.0,2.0,16.0
260,3.0,2.0,3037.0,4.0,19.0
261,1.0,0.0,11.0,6.0,1.0
262,1.0,1.0,14.0,8.0,14.0
263,7.0,0.0,7077.0,12.0,16.0
264,2.0,0.0,28.0,1.0,6.0
265,5.0,2.0,5052.0,5.0,15.0
266,8.0,0.0,8083.0,2.0,14.0
267,4.0,0.0,4045.0,8.0,12.0
268,3.0,1.0,3035.0,1.0,18.0
269,2.0,2.0,2022.0,1.0,11.0
270,2.0,0.0,25.0,2.0,4.0
