,y_hat
1418,False
1981,False
1038,False
1335,False
1031,False
1235,False
1802,False
1925,False
1996,False
1041,False
1257,False
1941,False
1273,False
1188,False
1978,False
1287,False
1528,False
1682,False
1286,False
1975,False
1127,False
1103,False
1333,False
1736,False
1779,False
1009,False
1931,False
1243,False
1958,False
1882,False
1563,False
1290,False
1325,False
1830,False
1521,False
1498,False
1084,False
1399,False
1382,False
1356,False
1233,False
1185,False
1278,False
1646,False
1927,False
1215,False
1813,False
1570,False
1029,False
1110,False
1036,False
1202,False
1168,False
1171,False
1221,False
1921,False
1455,False
1555,False
1620,False
1696,False
1135,False
1011,False
1073,False
1594,False
1909,False
1091,False
1070,False
1008,False
1412,False
1271,False
1676,False
1675,False
1311,False
1502,False
1222,False
1353,False
1536,False
1270,False
1000,False
1995,False
1737,False
1446,False
1061,False
1449,False
1159,False
1170,False
1396,False
1149,False
1880,False
1680,False
1649,False
1219,False
1567,False
1917,False
1218,False
1476,False
1360,False
1276,False
1217,False
1776,False
