,y
472,1.0
461,0.0
299,1.0
317,1.0
406,1.0
484,1.0
254,1.0
436,0.0
300,0.0
304,1.0
316,1.0
272,0.0
329,1.0
326,1.0
277,1.0
333,1.0
415,1.0
429,1.0
372,1.0
347,1.0
279,1.0
467,0.0
428,1.0
396,1.0
336,1.0
307,1.0
295,0.0
366,1.0
441,1.0
262,1.0
392,0.0
462,1.0
345,1.0
446,0.0
439,1.0
425,0.0
473,1.0
393,1.0
482,0.0
290,1.0
289,0.0
499,1.0
433,0.0
493,1.0
469,1.0
405,1.0
288,1.0
331,0.0
498,1.0
263,1.0
253,1.0
424,1.0
430,1.0
352,0.0
397,1.0
364,1.0
335,1.0
294,1.0
357,1.0
301,1.0
270,0.0
457,1.0
314,0.0
390,0.0
382,0.0
282,1.0
420,1.0
318,1.0
389,1.0
466,0.0
400,1.0
287,1.0
394,0.0
487,1.0
408,0.0
409,0.0
450,1.0
453,1.0
269,1.0
327,1.0
348,1.0
445,1.0
338,1.0
407,1.0
403,1.0
250,0.0
256,1.0
444,1.0
271,1.0
291,1.0
404,0.0
423,1.0
268,0.0
497,1.0
376,1.0
306,1.0
435,0.0
449,1.0
371,1.0
486,1.0
