,x1,x2
1253,2.2,0.0
1523,2.1,3.1
1696,1.8,2.1
1983,1.2,1.8
1470,2.3,3.5
1977,2.4,3.6
1026,2.3,0.0
1572,1.6,0.0
1807,1.7,2.6
1934,2.3,-0.0
1707,2.8,-0.0
1081,2.3,0.0
1177,2.5,-0.0
1457,3.2,4.7
1223,2.5,0.0
1346,1.5,-0.0
1563,-0.0,4.8
1133,1.8,2.7
1805,1.3,1.9
1650,2.8,-0.0
1900,1.8,2.7
1519,2.2,3.4
1313,3.0,4.6
1677,1.8,2.7
1254,2.2,2.7
1360,2.2,0.0
1594,1.9,2.8
1651,4.1,6.1
1443,1.6,2.5
1281,2.0,3.6
1941,3.0,0.0
1922,0.1,3.6
1645,2.8,4.1
1111,2.2,-0.0
1915,1.6,-0.0
1633,1.9,2.8
1331,2.0,3.1
1060,2.6,3.7
1504,2.0,2.9
1879,2.2,-0.0
1607,3.3,2.6
1352,1.6,0.0
1016,1.3,1.8
1386,2.4,0.0
1665,1.5,0.0
1991,1.9,3.6
1841,1.6,0.0
1310,1.4,2.3
1870,1.9,0.0
1723,2.9,4.4
1168,2.7,0.0
1077,3.2,0.0
1674,2.9,2.8
1711,2.0,3.0
1293,0.2,3.5
1557,2.6,-0.0
1118,1.6,2.3
1362,3.3,5.6
1320,2.5,4.2
1625,1.6,3.0
1376,1.4,2.0
1588,2.9,4.4
1030,2.7,4.0
1364,2.5,0.0
1295,3.3,0.0
1344,1.3,6.1
1606,2.1,3.1
1533,2.7,-0.0
1598,1.8,0.0
1683,2.0,-0.0
1961,0.3,4.7
1440,2.0,3.0
1940,2.0,3.0
1769,0.4,5.2
1797,2.3,-0.0
1840,2.3,4.1
1989,2.4,3.7
1291,2.6,3.7
1995,1.6,0.0
1561,2.6,-0.0
1435,2.2,3.4
1075,2.3,3.5
1569,1.1,5.8
1697,2.8,4.2
1567,2.2,-0.0
1370,1.9,2.9
1503,2.2,3.2
1464,1.9,2.8
1257,2.3,0.0
1189,2.1,3.2
1369,2.2,3.4
1898,1.8,2.8
1231,2.2,3.4
1084,2.5,3.3
1632,1.8,0.0
1398,1.8,2.7
1289,4.6,0.0
1529,2.7,0.0
1431,2.4,-0.0
1258,2.3,3.4
