,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,2.0,2.0,0.18079734,7.0,3.0,1.0
2001,2.0,0.0,0.96457374,6.0,10.0,0.0
2002,3.0,1.0,0.15607285,2.0,2.0,1.0
2003,2.0,0.0,0.46227384,7.0,3.0,2.0
2004,5.0,0.0,0.7345375,5.0,4.0,4.0
2005,5.0,1.0,0.06538963,1.0,1.0,10.0
2006,3.0,0.0,0.69838977,2.0,2.0,3.0
2007,2.0,1.0,0.7501137,3.0,7.0,4.0
2008,0.0,2.0,0.6977557,5.0,0.0,5.0
2009,4.0,0.0,0.3271531,2.0,2.0,5.0
2010,3.0,2.0,0.1378969,5.0,0.0,10.0
2011,6.0,2.0,0.8516083,0.0,3.0,12.0
2012,1.0,0.0,0.5252558,4.0,2.0,3.0
2013,2.0,0.0,0.442258,5.0,0.0,2.0
2014,1.0,0.0,0.73496234,9.0,0.0,5.0
2015,2.0,2.0,0.68560493,7.0,0.0,3.0
2016,2.0,3.0,0.9150307,5.0,5.0,5.0
2017,3.0,0.0,0.7964122,4.0,7.0,2.0
2018,2.0,1.0,0.81098413,4.0,9.0,3.0
2019,1.0,0.0,0.8948506,2.0,4.0,2.0
2020,2.0,2.0,0.6161858,4.0,3.0,1.0
2021,2.0,3.0,0.2795385,4.0,5.0,5.0
2022,1.0,1.0,0.013100624,2.0,5.0,2.0
2023,1.0,3.0,0.9080236,2.0,3.0,4.0
2024,1.0,0.0,0.47140634,5.0,4.0,5.0
2025,3.0,2.0,0.25198388,2.0,4.0,2.0
2026,2.0,3.0,0.3436879,9.0,10.0,2.0
2027,1.0,1.0,0.16131067,6.0,5.0,6.0
2028,5.0,2.0,0.03728628,7.0,2.0,1.0
2029,5.0,2.0,0.16525984,4.0,5.0,0.0
2030,3.0,2.0,0.92420065,3.0,1.0,7.0
2031,4.0,0.0,0.80202794,3.0,1.0,4.0
2032,4.0,1.0,0.7639196,4.0,1.0,5.0
2033,0.0,1.0,0.9576764,3.0,3.0,5.0
2034,3.0,1.0,0.6275946,2.0,5.0,1.0
2035,1.0,2.0,0.6143558,3.0,5.0,11.0
2036,4.0,2.0,0.34585118,0.0,2.0,2.0
2037,6.0,0.0,0.008555412,2.0,2.0,2.0
2038,3.0,0.0,0.10212433,1.0,2.0,4.0
2039,1.0,0.0,0.434824,5.0,4.0,4.0
2040,3.0,0.0,0.16314948,4.0,7.0,6.0
2041,4.0,0.0,0.7778697,3.0,2.0,7.0
2042,1.0,2.0,0.14341474,6.0,3.0,1.0
2043,1.0,1.0,0.5500488,5.0,3.0,5.0
2044,2.0,2.0,0.52848244,5.0,4.0,1.0
2045,1.0,3.0,0.6749641,4.0,1.0,7.0
2046,1.0,2.0,0.8578552,6.0,7.0,3.0
2047,3.0,0.0,0.5061203,4.0,8.0,0.0
2048,3.0,2.0,0.1921897,6.0,3.0,4.0
2049,2.0,2.0,0.41879916,8.0,1.0,3.0
2050,1.0,2.0,0.33579993,3.0,9.0,1.0
2051,7.0,0.0,0.21351099,3.0,2.0,4.0
2052,4.0,2.0,0.5906532,3.0,11.0,1.0
2053,0.0,0.0,0.55738175,4.0,5.0,9.0
2054,1.0,2.0,0.63305354,5.0,5.0,8.0
2055,7.0,1.0,0.8520038,8.0,3.0,2.0
2056,3.0,1.0,0.08627033,3.0,4.0,4.0
2057,3.0,0.0,0.33017826,5.0,1.0,11.0
2058,2.0,2.0,0.18494916,2.0,5.0,2.0
2059,6.0,3.0,0.5595598,4.0,1.0,3.0
2060,4.0,2.0,0.13507998,5.0,3.0,3.0
2061,1.0,2.0,0.09769988,6.0,5.0,8.0
2062,0.0,1.0,0.59994173,1.0,5.0,8.0
2063,5.0,0.0,0.89790106,2.0,7.0,2.0
2064,4.0,3.0,0.95106995,5.0,1.0,4.0
2065,6.0,2.0,0.12833893,4.0,0.0,5.0
2066,1.0,0.0,0.2233187,7.0,2.0,2.0
2067,4.0,2.0,0.98699677,7.0,10.0,5.0
2068,6.0,0.0,0.80008364,0.0,0.0,4.0
2069,3.0,0.0,0.016852856,4.0,11.0,5.0
2070,0.0,2.0,0.049096346,5.0,0.0,2.0
2071,6.0,3.0,0.77113295,8.0,5.0,2.0
2072,8.0,2.0,0.60328555,9.0,2.0,3.0
2073,3.0,3.0,0.3977666,2.0,2.0,7.0
2074,1.0,2.0,0.0028122663,5.0,1.0,5.0
2075,4.0,3.0,0.022937655,5.0,4.0,10.0
2076,3.0,2.0,0.6412213,4.0,6.0,6.0
2077,1.0,2.0,0.046948314,4.0,5.0,11.0
2078,3.0,0.0,0.9694921,5.0,2.0,4.0
2079,1.0,3.0,0.7677525,3.0,1.0,9.0
2080,1.0,2.0,0.05615318,3.0,3.0,3.0
2081,5.0,0.0,0.6719322,3.0,1.0,2.0
2082,3.0,1.0,0.7042763,1.0,4.0,3.0
2083,0.0,0.0,0.27145028,3.0,11.0,5.0
2084,2.0,0.0,0.88602126,4.0,2.0,6.0
2085,2.0,1.0,0.062018037,4.0,5.0,8.0
2086,2.0,0.0,0.890676,5.0,0.0,4.0
2087,4.0,1.0,0.03914416,5.0,9.0,3.0
2088,3.0,2.0,0.09522891,4.0,5.0,2.0
2089,4.0,2.0,0.8163607,6.0,4.0,2.0
2090,0.0,2.0,0.22834218,3.0,6.0,4.0
2091,8.0,3.0,0.8461387,5.0,3.0,2.0
2092,3.0,1.0,0.6902722,2.0,3.0,5.0
2093,8.0,1.0,0.5544758,3.0,5.0,3.0
2094,4.0,0.0,0.74398637,2.0,4.0,4.0
2095,2.0,1.0,0.059422016,1.0,12.0,7.0
2096,2.0,0.0,0.9148358,5.0,5.0,3.0
2097,2.0,0.0,0.67811596,3.0,2.0,2.0
2098,3.0,0.0,0.45406675,3.0,4.0,7.0
2099,3.0,1.0,0.5568296,4.0,3.0,8.0
2100,4.0,0.0,0.86633885,5.0,7.0,7.0
2101,1.0,1.0,0.3129928,3.0,3.0,1.0
2102,3.0,2.0,0.17949736,2.0,2.0,4.0
2103,2.0,0.0,0.1986109,6.0,8.0,2.0
2104,5.0,1.0,0.75201976,12.0,4.0,3.0
2105,4.0,0.0,0.15327406,4.0,4.0,6.0
2106,4.0,2.0,0.28720284,5.0,3.0,1.0
2107,2.0,2.0,0.68874466,3.0,10.0,5.0
2108,4.0,2.0,0.122154474,2.0,7.0,4.0
2109,1.0,0.0,0.6334479,8.0,3.0,0.0
2110,3.0,2.0,0.56671,3.0,0.0,14.0
2111,1.0,0.0,0.924639,3.0,5.0,5.0
2112,4.0,2.0,0.9213755,5.0,0.0,6.0
2113,0.0,1.0,0.30035067,7.0,1.0,2.0
2114,4.0,1.0,0.8548453,4.0,11.0,2.0
2115,0.0,2.0,0.24920869,4.0,7.0,2.0
2116,2.0,0.0,0.5099094,3.0,5.0,1.0
2117,0.0,0.0,0.5094842,2.0,1.0,1.0
2118,2.0,2.0,0.5095928,4.0,7.0,5.0
2119,1.0,0.0,0.2834518,3.0,15.0,3.0
2120,1.0,3.0,0.4443711,1.0,1.0,9.0
2121,0.0,1.0,0.5007452,4.0,2.0,0.0
2122,5.0,0.0,0.53442097,4.0,2.0,4.0
2123,2.0,0.0,0.1627909,4.0,6.0,1.0
2124,2.0,2.0,0.074539185,1.0,3.0,3.0
2125,4.0,1.0,0.5616647,4.0,1.0,3.0
2126,3.0,2.0,0.0102669,3.0,17.0,2.0
2127,1.0,2.0,0.40094507,2.0,2.0,1.0
2128,1.0,0.0,0.850559,11.0,3.0,1.0
2129,1.0,1.0,0.9305123,4.0,3.0,6.0
2130,3.0,0.0,0.81141436,8.0,4.0,8.0
2131,2.0,0.0,0.28757083,8.0,1.0,3.0
2132,3.0,0.0,0.8441483,4.0,9.0,1.0
2133,2.0,0.0,0.16315258,3.0,9.0,11.0
2134,0.0,2.0,0.38726008,7.0,2.0,5.0
2135,4.0,0.0,0.5424653,8.0,6.0,1.0
2136,3.0,0.0,0.9554677,0.0,0.0,10.0
2137,4.0,0.0,0.18163443,6.0,1.0,1.0
2138,1.0,2.0,0.4463626,6.0,2.0,3.0
2139,2.0,1.0,0.2789358,3.0,1.0,4.0
2140,2.0,2.0,0.15963578,2.0,6.0,3.0
2141,4.0,2.0,0.9596602,3.0,0.0,1.0
2142,7.0,2.0,0.5469831,5.0,0.0,8.0
2143,5.0,0.0,0.2911625,5.0,1.0,3.0
2144,5.0,1.0,0.103903055,1.0,12.0,3.0
2145,3.0,1.0,0.0037839413,4.0,4.0,11.0
2146,4.0,2.0,0.8402046,3.0,4.0,5.0
2147,6.0,1.0,0.36926997,4.0,6.0,17.0
2148,4.0,2.0,0.79671276,6.0,0.0,8.0
2149,2.0,2.0,0.71763265,3.0,2.0,0.0
2150,8.0,2.0,0.13570786,1.0,7.0,4.0
2151,2.0,2.0,0.033553004,5.0,2.0,1.0
2152,2.0,0.0,0.61578,2.0,3.0,2.0
2153,4.0,1.0,0.31465006,4.0,1.0,3.0
2154,3.0,2.0,0.4034438,6.0,1.0,4.0
2155,3.0,0.0,0.07553935,6.0,2.0,3.0
2156,2.0,0.0,0.969779,4.0,2.0,3.0
2157,7.0,2.0,0.7274699,7.0,8.0,3.0
