r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fatigue_mean,fever_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fatigue_std,fever_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,0.00800502512562814,0.0,0.5366032663316582,0.0,0.0,0.00800502512562814,0.5366032663316582,0.00023570226039551585,0.0,0.004832796265506104,0.0,0.02082907364345844,0.0,0.0,0.004895613429898326,0.02082907364345844,0.75
individualized,acceptance,0.0001,0.0,0.0,0.0,0.5444856783919598,0.0,0.0,0.0001,0.5444856783919598,0.00021081851067789197,0.0,0.0,0.0,0.019668883466642906,0.0,0.0,0.00021081851067789197,0.019668883466642906,0.85
individualized,acceptance,-5e-05,0.0,0.0,0.0,0.5444856783919598,0.0,0.0,-5e-05,0.5444856783919598,0.00028382310609877337,0.0,0.0,0.0,0.019668883466642906,0.0,0.0,0.00028382310609877337,0.019668883466642906,0.9
individualized,acceptance,0.0,0.0,0.0,0.0,0.54425,0.0,0.0,0.0,0.54425,0.00023570226039551585,0.0,0.0,0.0,0.019322195067388744,0.0,0.0,0.00023570226039551585,0.019322195067388744,0.95
subpopulation,acceptance,0.0026031990254060436,0.0011236309692895245,0.012144340118264516,0.002428712752859887,0.49292789124485337,0.0,0.0,0.018299882865819968,0.49292789124485337,0.0017202147401976593,0.0023688688020009883,0.006237159822135564,0.0013131430016487607,0.024780138604499936,0.0,0.0,0.007587826525730662,0.024780138604499936,0.75
subpopulation,acceptance,0.0012367092818140438,0.0020752652992183465,0.008750534976614646,0.0009289822363743363,0.5218197359105263,0.0,0.0,0.012991491794021374,0.5218197359105263,0.0007761274747409688,0.0026791971210176537,0.005422295684237995,0.0006368578289629656,0.011261203732109272,0.0,0.0,0.006287913481424792,0.011261203732109272,0.85
subpopulation,acceptance,0.0005550608508525359,0.0010231852200764118,0.009627354059174429,0.0005079336602414566,0.5263753057407157,0.0,0.0,0.011713533790344833,0.5263753057407157,0.0003719816909561782,0.0021572842910280257,0.005020293001209545,0.0004187578752153208,0.01802691397638654,0.0,0.0,0.004435155519147892,0.01802691397638654,0.9
subpopulation,acceptance,0.00030150753768844223,0.0,0.0035100502512562816,0.00020075630678645755,0.5370058144256638,0.0,0.0,0.004012314095731181,0.5370058144256638,0.00048489641563146437,0.0,0.004127237410829242,0.0003503274565463881,0.017333400876622027,0.0,0.0,0.004356532648028113,0.017333400876622027,0.95
individualized,counterfactual,0.0001,0.0,0.0,-5e-05,0.54425,0.0,0.0,5e-05,0.54425,0.00021081851067789197,0.0,0.0,0.00015811388300841897,0.019322195067388744,0.0,0.0,0.00028382310609877337,0.019322195067388744,0.75
individualized,counterfactual,0.0001,0.0,0.0,-5e-05,0.54425,0.0,0.0,5e-05,0.54425,0.00021081851067789197,0.0,0.0,0.00015811388300841897,0.019322195067388744,0.0,0.0,0.00028382310609877337,0.019322195067388744,0.85
individualized,counterfactual,0.0001,0.0,0.0,-5e-05,0.54425,0.0,0.0,5e-05,0.54425,0.00021081851067789197,0.0,0.0,0.00015811388300841897,0.019322195067388744,0.0,0.0,0.00028382310609877337,0.019322195067388744,0.9
individualized,counterfactual,0.0001,0.0,0.0,-5e-05,0.54425,0.0,0.0,5e-05,0.54425,0.00021081851067789197,0.0,0.0,0.00015811388300841897,0.019322195067388744,0.0,0.0,0.00028382310609877337,0.019322195067388744,0.95
individualized,improvement,-0.09320412031470693,0.01732718379737001,1.1656646236101502,-6.113809027454086e-05,,,,1.089726549002539,0.0,0.012049071458944087,0.01091889964042263,0.029541563537592682,0.0004261245859834998,,,,0.02119666472020355,0.0,0.75
individualized,improvement,-0.1494731943820223,0.020787539251895658,1.2895331226943,-0.00021681296035976305,,,,1.1606306546038136,0.0,0.027393682352500264,0.010717401868507585,0.03509205563371285,0.00046037136413957857,,,,0.05634526952168333,0.0,0.85
individualized,improvement,-0.20680076158739663,0.036373574087884865,1.4062420548281325,0.00010611057334040858,,,,1.235920977901961,0.0,0.021843287659692623,0.01102441378766142,0.039936695619384156,0.00042252333362006745,,,,0.051415784425227616,0.0,0.9
individualized,improvement,-0.16801361872728854,0.06795828598078067,1.7507940154727524,-5.319148936170212e-05,,,,1.650685491236883,0.0,0.02752794587608849,0.01642564880001715,0.048017549628539824,0.0005142701960399355,,,,0.07084139498283346,0.0,0.95
subpopulation,improvement,-0.09314102797426256,0.020290738113133665,1.1203875929281744,0.004393081673855355,,,,1.0519303847409007,0.0,0.017607881453375763,0.011464256576786708,0.03414167514700782,0.002667127055191247,,,,0.028628753951046262,0.0,0.75
subpopulation,improvement,-0.11706859377479686,0.025729325990446656,1.2435564026850952,0.003514419397902445,,,,1.1557315542986475,0.0,0.0216203336345034,0.013931228014996024,0.04150379358307792,0.0027784804613746436,,,,0.05648752204856643,0.0,0.85
subpopulation,improvement,-0.1266594765304782,0.027021742638996475,1.359137806129779,-0.0001463597496116145,,,,1.2593537124886853,0.0,0.016516083585018142,0.008996425963111268,0.049201209353138285,0.0032401319303137803,,,,0.056319430279316504,0.0,0.9
subpopulation,improvement,-0.15134657162628568,0.042274338718550825,1.5470134140924,0.0014387787924354432,,,,1.4393799599771007,0.0,0.019976772823467756,0.014035923022901178,0.049904405857417476,0.0025013464063491976,,,,0.06401698268700887,0.0,0.95
