,years_experience,degree
3481,0.0,1.0
2243,0.0,3.0
2312,0.0,1.0
2237,0.0,2.0
3167,1.0,0.0
3870,1.0,0.0
3378,0.0,2.0
3861,1.0,1.0
3880,0.0,1.0
3662,0.0,2.0
2125,2.0,1.0
3176,2.0,1.0
2944,0.0,1.0
3456,1.0,1.0
2702,2.0,1.0
2972,1.0,0.0
3146,1.0,2.0
2214,2.0,0.0
2836,1.0,0.0
3771,2.0,1.0
3594,1.0,1.0
2750,0.0,2.0
3111,2.0,0.0
2581,1.0,0.0
2519,0.0,3.0
3338,0.0,3.0
2086,0.0,3.0
2774,1.0,1.0
2197,2.0,1.0
2545,0.0,1.0
2881,1.0,0.0
2295,0.0,3.0
2161,0.0,1.0
2248,0.0,2.0
2057,0.0,1.0
2555,0.0,2.0
2427,0.0,3.0
2663,0.0,3.0
2609,0.0,2.0
2044,0.0,3.0
2744,0.0,1.0
3269,0.0,3.0
3865,0.0,3.0
3480,0.0,3.0
3486,0.0,3.0
3444,0.0,1.0
3858,0.0,2.0
2137,1.0,0.0
2699,0.0,1.0
2959,2.0,0.0
2069,2.0,0.0
3885,0.0,2.0
2661,0.0,2.0
2556,0.0,3.0
2798,0.0,3.0
3223,2.0,1.0
3985,0.0,3.0
2982,0.0,1.0
3629,1.0,1.0
2851,1.0,0.0
2103,0.0,2.0
2899,0.0,1.0
2225,0.0,3.0
2239,1.0,0.0
2253,1.0,1.0
3180,0.0,2.0
2216,0.0,0.0
2112,1.0,0.0
2135,0.0,1.0
2361,1.0,0.0
3864,0.0,3.0
3065,0.0,3.0
2628,0.0,3.0
3830,1.0,0.0
2362,1.0,0.0
2571,1.0,0.0
2261,0.0,2.0
3518,2.0,0.0
3358,1.0,1.0
3695,2.0,1.0
3129,2.0,1.0
2530,0.0,1.0
3428,1.0,1.0
2198,1.0,1.0
3793,1.0,1.0
3945,2.0,1.0
3261,0.0,1.0
3175,0.0,1.0
3194,0.0,2.0
3905,0.0,2.0
2548,0.0,3.0
2153,2.0,0.0
2850,2.0,0.0
3217,0.0,2.0
2081,0.0,1.0
3038,0.0,1.0
3282,0.0,3.0
3507,2.0,0.0
2831,0.0,1.0
2624,0.0,1.0
3928,0.0,1.0
3191,0.0,1.0
3887,0.0,1.0
3613,0.0,1.0
2384,1.0,0.0
3728,1.0,1.0
2623,0.0,1.0
2160,0.0,2.0
2150,1.0,1.0
3470,1.0,0.0
2527,1.0,0.0
3611,1.0,1.0
3326,0.0,3.0
3130,0.0,2.0
2988,1.0,0.0
3796,1.0,2.0
3602,0.0,3.0
3973,0.0,3.0
2933,0.0,2.0
3772,2.0,1.0
3635,0.0,1.0
3967,0.0,3.0
3948,3.0,0.0
2830,2.0,0.0
3169,0.0,3.0
2492,0.0,3.0
3479,0.0,1.0
3304,2.0,1.0
3807,2.0,1.0
2938,2.0,0.0
3064,0.0,1.0
2919,2.0,0.0
3714,1.0,2.0
2913,0.0,1.0
3868,0.0,3.0
2782,0.0,1.0
3387,0.0,3.0
2400,1.0,1.0
2010,0.0,3.0
3502,0.0,1.0
3743,0.0,2.0
2495,0.0,2.0
3747,2.0,0.0
2167,1.0,1.0
2952,0.0,1.0
2268,0.0,1.0
2450,1.0,0.0
3402,0.0,1.0
3745,0.0,2.0
3963,0.0,3.0
3768,0.0,2.0
3281,1.0,1.0
2310,2.0,1.0
3305,1.0,2.0
2895,0.0,1.0
3816,0.0,1.0
2030,0.0,1.0
3095,0.0,1.0
2284,0.0,2.0
3735,0.0,3.0
2716,1.0,1.0
3094,2.0,0.0
3447,0.0,3.0
2119,1.0,0.0
3834,1.0,1.0
3591,0.0,3.0
2703,1.0,2.0
2350,0.0,2.0
2073,0.0,3.0
2273,1.0,1.0
2235,0.0,3.0
3513,0.0,2.0
2987,0.0,3.0
3713,0.0,1.0
2769,0.0,3.0
3510,2.0,0.0
3890,0.0,3.0
3818,1.0,0.0
3124,0.0,3.0
3245,0.0,3.0
2067,1.0,1.0
2230,2.0,0.0
2399,2.0,1.0
2246,1.0,1.0
3804,0.0,2.0
2626,1.0,0.0
2890,0.0,2.0
2056,0.0,3.0
3322,1.0,0.0
2966,0.0,1.0
3344,0.0,2.0
3136,0.0,1.0
3214,1.0,0.0
2985,1.0,0.0
3350,0.0,1.0
3438,0.0,1.0
3311,0.0,1.0
3312,0.0,2.0
3776,0.0,1.0
3253,0.0,2.0
