,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
200,4.0,0.0,0.92873096,8.0,3.0,0.0
201,5.0,0.0,0.76062953,4.0,2.0,1.0
202,3.0,0.0,0.6592196,3.0,6.0,2.0
203,2.0,2.0,0.7676724,7.0,6.0,8.0
204,3.0,2.0,0.8264699,3.0,4.0,2.0
205,2.0,0.0,0.25115573,6.0,0.0,4.0
206,13.0,1.0,0.9697077,4.0,0.0,3.0
207,1.0,2.0,0.23696983,5.0,13.0,1.0
208,0.0,2.0,0.23018515,3.0,4.0,4.0
209,0.0,0.0,0.3840655,3.0,2.0,9.0
210,5.0,1.0,0.86984134,2.0,2.0,5.0
211,6.0,2.0,0.28962326,1.0,3.0,3.0
212,3.0,1.0,0.76231277,1.0,1.0,1.0
213,0.0,2.0,0.39264703,4.0,4.0,2.0
214,5.0,2.0,0.76919794,6.0,0.0,4.0
215,6.0,1.0,0.44179952,3.0,1.0,4.0
216,3.0,0.0,0.7119602,1.0,0.0,2.0
217,2.0,0.0,0.188761,5.0,0.0,3.0
218,6.0,0.0,0.6412997,4.0,2.0,7.0
219,0.0,2.0,0.9441328,3.0,6.0,5.0
220,2.0,3.0,0.07844162,4.0,0.0,6.0
221,2.0,3.0,0.75151825,6.0,11.0,8.0
222,2.0,2.0,0.51355314,3.0,4.0,5.0
223,2.0,2.0,0.630321,3.0,1.0,1.0
224,2.0,0.0,0.23361683,2.0,4.0,4.0
225,1.0,0.0,0.48298335,4.0,2.0,8.0
226,4.0,2.0,0.18491685,8.0,2.0,3.0
227,1.0,0.0,0.32691813,3.0,2.0,2.0
228,0.0,0.0,0.08518958,2.0,1.0,2.0
229,5.0,0.0,0.2194159,3.0,15.0,5.0
230,4.0,2.0,0.51861966,1.0,11.0,4.0
231,3.0,2.0,0.48215377,5.0,13.0,4.0
232,8.0,2.0,0.29012752,2.0,1.0,2.0
233,1.0,2.0,0.5033728,5.0,1.0,3.0
234,5.0,2.0,0.0071992874,0.0,3.0,5.0
235,3.0,0.0,0.7356769,3.0,0.0,4.0
236,2.0,0.0,0.60924375,5.0,1.0,3.0
237,4.0,2.0,0.31489742,2.0,2.0,2.0
238,3.0,0.0,0.7430005,3.0,4.0,9.0
239,6.0,0.0,0.8957647,2.0,2.0,7.0
240,2.0,2.0,0.69160724,5.0,0.0,7.0
241,5.0,0.0,0.08796346,3.0,4.0,3.0
242,0.0,0.0,0.82904863,6.0,4.0,7.0
243,4.0,2.0,0.6150638,3.0,0.0,2.0
244,1.0,0.0,0.45551825,10.0,3.0,7.0
245,1.0,3.0,0.2496736,4.0,9.0,5.0
246,5.0,3.0,0.48519266,3.0,7.0,6.0
247,2.0,2.0,0.97306764,6.0,2.0,5.0
248,0.0,0.0,0.97484815,4.0,1.0,4.0
249,2.0,2.0,0.19892824,5.0,0.0,6.0
250,5.0,3.0,0.17456877,1.0,5.0,3.0
251,3.0,0.0,0.3698877,9.0,8.0,5.0
252,3.0,2.0,0.53851736,3.0,0.0,2.0
253,3.0,0.0,0.40106,4.0,2.0,6.0
254,4.0,1.0,0.88291216,5.0,1.0,4.0
255,4.0,1.0,0.15339804,2.0,10.0,1.0
256,9.0,1.0,0.7814833,6.0,8.0,6.0
257,4.0,2.0,0.68029773,3.0,6.0,2.0
258,6.0,2.0,0.05774188,2.0,1.0,4.0
259,2.0,2.0,0.08136737,2.0,3.0,3.0
260,1.0,2.0,0.3674562,6.0,1.0,5.0
261,7.0,3.0,0.022474647,6.0,1.0,1.0
262,1.0,0.0,0.70839953,6.0,3.0,5.0
263,2.0,1.0,0.9484478,5.0,2.0,5.0
264,1.0,2.0,0.97823656,5.0,3.0,2.0
265,1.0,3.0,0.7693677,5.0,7.0,8.0
