,years_experience,degree
338,0.0,1.0
263,1.0,1.0
335,1.0,1.0
289,1.0,0.0
252,0.0,2.0
325,1.0,3.0
315,2.0,1.0
329,2.0,2.0
248,1.0,2.0
274,2.0,0.0
368,1.0,2.0
319,0.0,1.0
362,0.0,2.0
276,0.0,1.0
297,2.0,2.0
399,2.0,0.0
273,0.0,2.0
355,1.0,3.0
247,0.0,1.0
301,3.0,0.0
209,0.0,3.0
304,3.0,0.0
272,0.0,2.0
262,3.0,1.0
217,2.0,1.0
267,2.0,2.0
232,2.0,1.0
291,0.0,1.0
397,2.0,0.0
342,1.0,1.0
351,0.0,1.0
279,0.0,3.0
365,0.0,1.0
261,0.0,2.0
221,0.0,2.0
245,1.0,3.0
298,0.0,1.0
390,0.0,1.0
260,0.0,2.0
302,2.0,0.0
328,0.0,2.0
385,0.0,1.0
380,1.0,2.0
249,3.0,1.0
326,0.0,1.0
246,2.0,0.0
357,1.0,1.0
346,0.0,3.0
321,1.0,1.0
398,1.0,0.0
