,u_age,u_gender,u_experience,u_loan_amount,u_loan_duration,u_income,u_saving,u_credit
5000,2.9338706,0.0,0.38483942,6.1574306,13.854219,6.1574306,38.48394,0.93814147
5001,1.8242729,0.0,0.15981887,2.557102,5.7534795,2.557102,15.981887,0.7386781
5002,1.3518118,0.0,0.24747358,3.9595773,8.909049,3.9595773,24.747358,0.8388871
5003,3.0317855,0.0,0.3013651,4.8218417,10.849144,4.8218417,30.13651,0.88598716
5004,3.938803,0.0,0.30830035,4.9328055,11.098812,4.9328055,30.830034,0.89124966
5005,2.3132517,1.0,-0.10643145,-1.7029032,-3.831532,-1.7029032,-10.643145,0.33515382
5006,2.352657,1.0,-0.28261963,-4.521914,-10.174307,-4.521914,-28.261963,0.12913728
5007,2.7279346,1.0,-0.01654075,-0.264652,-0.59546703,-0.264652,-1.6540751,0.473624
5008,3.2884147,1.0,-0.2715893,-4.345429,-9.777215,-4.345429,-27.158932,0.13866043
5009,3.3273427,0.0,0.55573785,8.891806,20.006563,8.891806,55.573784,0.98689044
5010,2.54473,1.0,-0.2817453,-4.507925,-10.142832,-4.507925,-28.174532,0.12987518
5011,2.5997512,1.0,-0.53207165,-8.513146,-19.15458,-8.513146,-53.207165,0.016656637
5012,2.9184134,0.0,0.3028358,4.8453727,10.902088,4.8453727,30.283579,0.887118
5013,2.859278,0.0,0.06994919,1.119187,2.5181708,1.119187,6.994919,0.61018324
5014,4.352759,1.0,-0.28140453,-4.5024724,-10.130563,-4.5024724,-28.140453,0.13016355
5015,2.4455953,0.0,0.30020523,4.8032837,10.807388,4.8032837,30.020523,0.88508964
5016,3.1463654,1.0,-0.26121286,-4.1794057,-9.403663,-4.1794057,-26.121286,0.14804578
5017,2.1526597,0.0,0.07629978,1.2207965,2.746792,1.2207965,7.6299777,0.6198927
5018,1.6335045,1.0,-0.013078356,-0.2092537,-0.4708208,-0.2092537,-1.3078356,0.47913945
5019,2.5087183,1.0,-0.15128654,-2.4205847,-5.446316,-2.4205847,-15.1286545,0.27254093
5020,3.8905392,0.0,0.22710493,3.633679,8.175777,3.633679,22.710493,0.81817174
5021,2.7200966,0.0,0.07393917,1.1830267,2.66181,1.1830267,7.3939166,0.616292
5022,2.5645988,1.0,-0.25953677,-4.1525884,-9.343324,-4.1525884,-25.953678,0.14960074
5023,3.1161969,0.0,0.2817165,4.507464,10.141794,4.507464,28.17165,0.8701004
5024,3.1341686,0.0,0.02904888,0.4647821,1.0457597,0.4647821,2.9048882,0.5462512
5025,2.866721,0.0,0.07272436,1.1635897,2.6180768,1.1635897,7.2724357,0.6144351
5026,2.0343146,1.0,-0.16172048,-2.5875278,-5.8219376,-2.5875278,-16.172049,0.25885415
5027,1.9849586,0.0,0.114096746,1.8255479,4.107483,1.8255479,11.409675,0.6759441
5028,4.978714,1.0,-0.002557644,-0.040922303,-0.092075184,-0.040922303,-0.2557644,0.49591863
5029,2.2992437,0.0,0.25799355,4.127897,9.287767,4.127897,25.799355,0.8489579
5030,4.4837956,0.0,0.24117857,3.8588572,8.682428,3.8588572,24.117857,0.832656
5031,1.0336581,0.0,0.07764948,1.2423917,2.7953813,1.2423917,7.7649484,0.6219468
5032,2.7857916,1.0,-0.30457106,-4.873137,-10.964559,-4.873137,-30.457106,0.11155796
5033,5.0425797,0.0,0.02721288,0.4354061,0.9796637,0.4354061,2.721288,0.54333985
5034,2.1616557,0.0,0.41159287,6.585486,14.817344,6.585486,41.159286,0.95015633
5035,2.5287414,0.0,0.13095689,2.0953102,4.714448,2.0953102,13.095689,0.6998007
5036,3.487417,1.0,-0.34807917,-5.569267,-12.53085,-5.569267,-34.80792,0.08191323
5037,3.088236,0.0,0.10226773,1.6362836,3.6816382,1.6362836,10.226772,0.65875614
5038,2.07501,1.0,-0.107896574,-1.7263452,-3.8842766,-1.7263452,-10.789658,0.33302104
5039,1.7046998,1.0,-0.12560353,-2.0096564,-4.521727,-2.0096564,-12.560352,0.30768812
5040,1.422511,1.0,-0.3943376,-6.3094015,-14.196154,-6.3094015,-39.433758,0.05735743
5041,1.758035,1.0,-0.31868505,-5.098961,-11.472662,-5.098961,-31.868505,0.10120058
5042,2.117146,1.0,-0.22195816,-3.5513306,-7.990494,-3.5513306,-22.195816,0.18731534
5043,2.4253273,0.0,0.46122265,7.3795624,16.604015,7.3795624,46.122265,0.96747327
5044,2.3040402,0.0,0.08264723,1.3223556,2.9753,1.3223556,8.264723,0.62952244
5045,2.9839473,1.0,-0.06800088,-1.0880141,-2.448032,-1.0880141,-6.8000884,0.39280963
5046,3.000502,0.0,0.21274,3.40384,7.65864,3.40384,21.274,0.8026042
5047,2.8039,0.0,0.07492675,1.198828,2.697363,1.198828,7.492675,0.61779964
5048,2.7854598,1.0,-0.048919246,-0.7827079,-1.7610929,-0.7827079,-4.8919244,0.42243147
5049,3.1778889,0.0,0.33866414,5.4186263,12.191909,5.4186263,33.866413,0.91223645
5050,3.4574401,0.0,0.014665221,0.23464353,0.52794796,0.23464353,1.4665221,0.52338886
5051,2.5386987,1.0,-0.3275273,-5.240437,-11.790983,-5.240437,-32.75273,0.09507942
5052,2.6837285,1.0,-0.16796932,-2.687509,-6.0468955,-2.687509,-16.796932,0.2508309
5053,3.1047108,1.0,-0.12684672,-2.0295475,-4.5664816,-2.0295475,-12.684671,0.3059417
5054,3.9481988,0.0,0.15079471,2.4127154,5.42861,2.4127154,15.079472,0.7268051
5055,2.4773471,0.0,0.17572844,2.811655,6.326224,2.811655,17.572844,0.7589452
5056,3.5643878,0.0,0.21541831,3.446693,7.7550592,3.446693,21.54183,0.8055663
5057,4.04869,0.0,0.18832038,3.0131261,6.779534,3.0131261,18.832039,0.7743596
5058,1.626614,1.0,-0.3002895,-4.804632,-10.810423,-4.804632,-30.028952,0.11484492
5059,2.5842927,0.0,0.1546469,2.4743505,5.5672884,2.4743505,15.46469,0.73190594
5060,2.9203815,0.0,0.11752156,1.880345,4.2307763,1.880345,11.752156,0.68085325
5061,2.9455698,0.0,0.032784972,0.52455956,1.180259,0.52455956,3.2784972,0.55216765
5062,4.1211085,1.0,-0.15673473,-2.5077558,-5.6424503,-2.5077558,-15.673473,0.26534963
5063,2.2407796,1.0,-0.30576053,-4.8921685,-11.00738,-4.8921685,-30.576054,0.11065686
5064,1.6419126,1.0,-0.27839294,-4.454287,-10.022146,-4.454287,-27.839294,0.13273144
5065,3.4181316,1.0,-0.09529081,-1.524653,-3.430469,-1.524653,-9.529081,0.35154104
5066,3.800235,0.0,0.5629587,9.0073395,20.266514,9.0073395,56.29587,0.9878336
5067,3.3917863,1.0,-0.33870593,-5.419295,-12.193414,-5.419295,-33.870594,0.087736845
5068,3.1622405,1.0,-0.39244187,-6.27907,-14.127907,-6.27907,-39.244186,0.058234572
5069,2.9077451,1.0,-0.2711929,-4.3390865,-9.762945,-4.3390865,-27.119291,0.13901138
5070,2.4973857,0.0,0.050819147,0.81310636,1.8294894,0.81310636,5.081915,0.58054054
5071,4.7094083,0.0,0.11758088,1.8812941,4.2329116,1.8812941,11.758088,0.680938
5072,1.9062945,0.0,0.1683818,2.6941087,6.0617447,2.6941087,16.838179,0.749694
5073,2.4807107,0.0,0.060223047,0.96356875,2.1680298,0.96356875,6.0223045,0.59518063
5074,2.4505475,0.0,0.018716332,0.2994613,0.67378795,0.2994613,1.8716332,0.52983904
5075,3.85528,1.0,-0.1255737,-2.009179,-4.520653,-2.009179,-12.557369,0.30773008
5076,3.415756,1.0,-0.4066663,-6.506661,-14.639987,-6.506661,-40.66663,0.051904082
5077,2.3447187,1.0,-0.11773932,-1.8838291,-4.2386155,-1.8838291,-11.7739315,0.31883562
5078,2.4536223,1.0,-0.12813342,-2.0501347,-4.612803,-2.0501347,-12.813341,0.30413878
5079,2.9481647,0.0,0.19279929,3.0847886,6.9407744,3.0847886,19.279928,0.7797049
5080,2.4519086,1.0,-0.3293941,-5.2703056,-11.858188,-5.2703056,-32.93941,0.09382272
5081,2.3205702,0.0,0.16316026,2.6105642,5.8737698,2.6105642,16.316027,0.7430061
5082,2.4987948,0.0,0.33016828,5.2826924,11.886058,5.2826924,33.016827,0.90669477
5083,2.2501013,1.0,-0.3194135,-5.110616,-11.498886,-5.110616,-31.94135,0.100685716
5084,2.5165193,1.0,-0.0016303932,-0.026086291,-0.058694154,-0.026086291,-0.16303933,0.49739826
5085,3.774966,1.0,-0.17395158,-2.7832253,-6.262257,-2.7832253,-17.395159,0.24327505
5086,1.8142564,1.0,-0.23476847,-3.7562954,-8.451665,-3.7562954,-23.476847,0.17384636
5087,3.7545586,0.0,0.002462206,0.039395295,0.088639416,0.039395295,0.24622059,0.503929
5088,3.347473,1.0,-0.42772588,-6.843614,-15.398131,-6.843614,-42.772587,0.04354942
5089,1.6588897,0.0,0.23710027,3.7936044,8.53561,3.7936044,23.710028,0.82853734
5090,2.1412058,0.0,0.23624068,3.779851,8.504664,3.779851,23.62407,0.82766104
5091,3.599516,0.0,0.32498586,5.199774,11.6994915,5.199774,32.498585,0.9031898
5092,1.410465,0.0,0.107675925,1.7228148,3.8763332,1.7228148,10.767592,0.66665804
5093,2.2553165,0.0,0.12972775,2.075644,4.670199,2.075644,12.972775,0.6980885
5094,3.7702882,0.0,0.2148202,3.4371233,7.733527,3.4371233,21.482021,0.8049072
5095,2.6989346,1.0,-0.15701997,-2.5123196,-5.652719,-2.5123196,-15.701998,0.2649758
5096,2.2068076,1.0,-0.076761015,-1.2281762,-2.7633965,-1.2281762,-7.6761017,0.3794049
5097,5.0471697,1.0,-0.13610323,-2.1776516,-4.8997164,-2.1776516,-13.610323,0.29307866
5098,1.6650474,1.0,-0.34679008,-5.548641,-12.484443,-5.548641,-34.67901,0.08269644
5099,1.8805007,0.0,0.0060836375,0.0973382,0.21901095,0.0973382,0.60836375,0.5097071
5100,2.9653866,0.0,0.32310346,5.1696553,11.631724,5.1696553,32.310345,0.901893
