,years_experience,degree,nr_commits,nr_languages,nr_stars
2377,1.0,3.0,1010.0,8.0,11.0
2332,2.0,2.0,2026.0,3.0,14.0
2863,3.0,1.0,3035.0,2.0,17.0
3435,1.0,3.0,1013.0,6.0,12.0
3339,4.0,1.0,4043.0,5.0,12.0
3009,2.0,2.0,2023.0,2.0,19.0
3071,2.0,2.0,2032.0,4.0,13.0
3775,1.0,3.0,1014.0,3.0,23.0
3369,1.0,3.0,1017.0,13.0,15.0
2150,4.0,1.0,4046.0,3.0,22.0
3874,3.0,1.0,3035.0,6.0,20.0
2651,3.0,1.0,3034.0,8.0,14.0
3222,2.0,2.0,2025.0,3.0,13.0
2434,4.0,1.0,4048.0,2.0,19.0
2738,3.0,1.0,3035.0,2.0,14.0
2802,2.0,2.0,2024.0,9.0,13.0
2291,3.0,1.0,3033.0,4.0,19.0
2423,3.0,2.0,3033.0,6.0,11.0
3233,2.0,2.0,2021.0,2.0,12.0
2757,1.0,3.0,1015.0,7.0,21.0
3314,1.0,3.0,1013.0,2.0,14.0
2065,3.0,1.0,3032.0,3.0,14.0
2275,2.0,2.0,2025.0,5.0,17.0
3110,2.0,2.0,2027.0,4.0,18.0
3006,1.0,3.0,1016.0,12.0,13.0
2491,2.0,2.0,2022.0,4.0,13.0
3000,2.0,2.0,2025.0,1.0,15.0
3144,1.0,3.0,1013.0,1.0,16.0
2861,1.0,3.0,1015.0,6.0,11.0
3474,1.0,3.0,1011.0,11.0,10.0
3574,2.0,2.0,2025.0,10.0,17.0
2271,1.0,3.0,1013.0,8.0,11.0
2033,3.0,1.0,3034.0,19.0,11.0
3901,2.0,2.0,2025.0,2.0,14.0
3035,1.0,3.0,1015.0,8.0,12.0
3639,5.0,0.0,5053.0,1.0,11.0
3030,1.0,3.0,1012.0,11.0,13.0
2742,4.0,1.0,4045.0,5.0,12.0
2539,1.0,3.0,1017.0,2.0,12.0
2940,2.0,2.0,2023.0,3.0,14.0
2625,1.0,3.0,1015.0,4.0,12.0
2461,2.0,2.0,2024.0,16.0,13.0
3226,1.0,3.0,1014.0,5.0,13.0
2345,3.0,1.0,3031.0,2.0,16.0
3966,2.0,2.0,2023.0,9.0,14.0
3665,3.0,1.0,3036.0,12.0,13.0
3074,2.0,2.0,2023.0,3.0,14.0
3362,1.0,3.0,1013.0,2.0,12.0
2380,2.0,2.0,2022.0,3.0,12.0
2180,1.0,3.0,1014.0,7.0,16.0
2524,3.0,1.0,3035.0,5.0,10.0
3789,1.0,3.0,1013.0,1.0,12.0
2048,1.0,3.0,1012.0,3.0,13.0
3643,1.0,3.0,1016.0,6.0,10.0
3396,1.0,3.0,1016.0,2.0,13.0
3109,3.0,1.0,3031.0,1.0,15.0
3877,3.0,1.0,3033.0,4.0,14.0
3778,3.0,1.0,3036.0,3.0,13.0
2923,3.0,1.0,3031.0,3.0,14.0
2514,2.0,2.0,2024.0,7.0,20.0
2064,1.0,3.0,1014.0,8.0,15.0
3677,3.0,1.0,32.0,1.0,11.0
3463,1.0,3.0,1010.0,6.0,13.0
2604,4.0,1.0,4045.0,3.0,20.0
2955,1.0,3.0,1012.0,8.0,15.0
2521,1.0,3.0,1013.0,5.0,15.0
3584,1.0,3.0,1014.0,3.0,15.0
2149,3.0,1.0,3038.0,2.0,13.0
3555,2.0,2.0,2027.0,1.0,17.0
2445,3.0,1.0,3033.0,1.0,11.0
3460,2.0,2.0,2022.0,7.0,18.0
3547,2.0,2.0,2024.0,5.0,17.0
3434,2.0,2.0,2023.0,7.0,11.0
2990,2.0,2.0,2025.0,3.0,11.0
