,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.75,0.75,0.6600000262260437,0.07999999821186066,0.98,0.78,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.05864341800356626, 0.4888691119353773, 0.6425110721738136], [-0.10469144681029367]]",0.9800000190734863,2.8339999932050706
1,1.0,0.75,0.75,0.18000000715255737,0.05999999865889549,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.05864341800356626, 0.4888691119353773, 0.6425110721738136], [-0.10469144681029367]]",0.628000020980835,3.428000003755092
2,1.0,0.75,0.75,0.18000000715255737,0.05999999865889549,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.05864341800356626, 0.4888691119353773, 0.6425110721738136], [-0.10469144681029367]]",0.6040000319480896,3.8079999995529654
3,1.0,0.75,0.75,0.699999988079071,0.03999999910593033,0.92,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.05864341800356626, 0.4888691119353773, 0.6425110721738136], [-0.10469144681029367]]",0.984000027179718,2.955999986678362
4,1.0,0.75,0.75,0.1599999964237213,0.019999999552965164,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.05864341800356626, 0.4888691119353773, 0.6425110721738136], [-0.10469144681029367]]",0.628000020980835,3.3380000043213363
5,1.0,0.75,0.75,0.8199999928474426,0.2199999988079071,0.98,0.8,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[0.46629446868718166, 0.22897983363025054, 0.960753952118381], [-0.26987378431839804]]",0.984000027179718,2.4059999943077566
6,1.0,0.75,0.75,0.4399999976158142,0.23999999463558197,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[0.46629446868718166, 0.22897983363025054, 0.960753952118381], [-0.26987378431839804]]",0.671999990940094,2.6720000045895578
7,1.0,0.75,0.75,0.41999998688697815,0.3199999928474426,0.98,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[0.46629446868718166, 0.22897983363025054, 0.960753952118381], [-0.26987378431839804]]",0.6240000128746033,3.075999997138977
8,1.0,0.75,0.75,0.6600000262260437,0.20000000298023224,0.96,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[0.46629446868718166, 0.22897983363025054, 0.960753952118381], [-0.26987378431839804]]",0.972000002861023,2.39399999627471
9,1.0,0.75,0.75,0.4000000059604645,0.18000000715255737,0.94,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[0.46629446868718166, 0.22897983363025054, 0.960753952118381], [-0.26987378431839804]]",0.6320000290870667,2.7740000035464765
10,0.98,0.75,0.75,0.8163265585899353,0.26530611515045166,0.8163265306122449,0.7959183673469388,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[-0.6543354723990018, -0.13954819112395847, 1.2199991356442148], [-0.671315137719018]]",0.7591837048530579,2.4571428438838647
11,1.0,0.75,0.75,0.23999999463558197,0.2199999988079071,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[-0.6543354723990018, -0.13954819112395847, 1.2199991356442148], [-0.671315137719018]]",0.8200000524520874,2.4560000044107437
12,1.0,0.75,0.75,0.25999999046325684,0.23999999463558197,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[-0.6543354723990018, -0.13954819112395847, 1.2199991356442148], [-0.671315137719018]]",0.7959999442100525,2.2760000007152557
13,1.0,0.75,0.75,0.7400000095367432,0.20000000298023224,0.72,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[-0.6543354723990018, -0.13954819112395847, 1.2199991356442148], [-0.671315137719018]]",0.7080000042915344,2.3099999848902226
14,1.0,0.75,0.75,0.2800000011920929,0.25999999046325684,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[-0.6543354723990018, -0.13954819112395847, 1.2199991356442148], [-0.671315137719018]]",0.8240000009536743,2.59200000295043
