,years_experience,degree
3158,0.0,1.0
2858,0.0,1.0
2072,1.0,0.0
3852,0.0,2.0
3970,1.0,1.0
3544,1.0,1.0
2882,0.0,2.0
2484,0.0,2.0
2978,2.0,1.0
3495,2.0,0.0
3309,0.0,3.0
3389,0.0,1.0
2217,0.0,1.0
3476,1.0,0.0
3304,0.0,1.0
3430,2.0,0.0
3314,2.0,1.0
2143,2.0,0.0
2127,0.0,2.0
2429,1.0,0.0
2000,0.0,2.0
2649,1.0,1.0
2320,1.0,0.0
2833,0.0,1.0
2494,0.0,3.0
2136,0.0,1.0
3672,2.0,0.0
2376,0.0,3.0
3569,0.0,1.0
3323,2.0,1.0
3449,1.0,0.0
3044,2.0,0.0
3586,0.0,2.0
2750,1.0,1.0
3447,1.0,0.0
2263,0.0,3.0
2495,0.0,1.0
3464,1.0,2.0
3524,0.0,1.0
3961,0.0,1.0
2059,0.0,2.0
3934,0.0,3.0
2423,0.0,3.0
3460,1.0,0.0
2161,0.0,3.0
2505,1.0,1.0
3113,0.0,2.0
3665,0.0,3.0
3650,0.0,3.0
3016,0.0,3.0
2936,0.0,3.0
2585,0.0,3.0
3724,0.0,1.0
2838,1.0,0.0
2064,2.0,1.0
2795,0.0,3.0
3659,0.0,2.0
3374,2.0,0.0
3357,0.0,1.0
3434,1.0,1.0
2607,0.0,1.0
3689,2.0,1.0
3377,0.0,1.0
2109,1.0,1.0
3316,1.0,0.0
3440,0.0,1.0
2683,1.0,0.0
3889,2.0,0.0
3228,2.0,1.0
2878,0.0,1.0
3368,0.0,3.0
2955,0.0,2.0
2546,0.0,3.0
3599,0.0,3.0
3234,0.0,2.0
3897,1.0,0.0
3695,1.0,1.0
2710,1.0,1.0
2379,2.0,1.0
3272,1.0,0.0
3260,2.0,0.0
2598,0.0,1.0
3027,0.0,3.0
2230,0.0,1.0
3085,0.0,1.0
2847,0.0,2.0
2827,0.0,3.0
2583,1.0,0.0
2074,0.0,3.0
2210,0.0,1.0
3160,0.0,3.0
2433,0.0,1.0
3255,0.0,2.0
3534,0.0,1.0
3274,0.0,2.0
2630,0.0,2.0
3559,0.0,2.0
2141,0.0,2.0
2894,1.0,0.0
2606,1.0,0.0
3011,1.0,0.0
2972,1.0,1.0
3355,1.0,0.0
2777,2.0,1.0
2593,0.0,1.0
2659,0.0,2.0
2904,1.0,1.0
3676,2.0,0.0
3856,0.0,2.0
2086,0.0,3.0
2257,1.0,1.0
2765,0.0,2.0
3465,0.0,1.0
2014,0.0,3.0
2449,0.0,1.0
2105,0.0,1.0
2278,1.0,1.0
3411,1.0,1.0
3625,1.0,1.0
3002,0.0,3.0
3830,1.0,0.0
3117,0.0,2.0
2035,1.0,0.0
2821,0.0,3.0
3573,1.0,1.0
2171,1.0,1.0
3319,2.0,0.0
3501,1.0,1.0
2671,0.0,1.0
3820,0.0,2.0
3709,0.0,2.0
2358,0.0,1.0
3916,3.0,0.0
3592,0.0,3.0
2121,1.0,1.0
2196,0.0,3.0
3715,0.0,3.0
2383,0.0,1.0
2945,0.0,3.0
3666,0.0,1.0
3918,0.0,2.0
2629,2.0,0.0
3589,0.0,2.0
3218,2.0,0.0
3907,0.0,2.0
2148,0.0,3.0
3494,0.0,1.0
3288,0.0,1.0
2841,0.0,2.0
2734,0.0,2.0
3151,1.0,0.0
2292,0.0,2.0
3945,0.0,3.0
2112,0.0,3.0
2231,2.0,0.0
3381,0.0,3.0
3775,0.0,1.0
3911,0.0,1.0
2352,0.0,2.0
2310,0.0,1.0
2947,0.0,1.0
3777,2.0,0.0
2145,0.0,1.0
3927,0.0,3.0
2099,0.0,2.0
2613,2.0,0.0
3119,0.0,2.0
2609,2.0,0.0
2327,2.0,0.0
2051,1.0,1.0
2759,0.0,3.0
2952,1.0,0.0
3982,0.0,2.0
3552,0.0,2.0
2163,0.0,1.0
2155,0.0,1.0
2899,2.0,0.0
3657,1.0,0.0
3618,0.0,3.0
3488,0.0,1.0
3584,2.0,1.0
3614,0.0,3.0
2363,0.0,1.0
3905,1.0,0.0
2690,2.0,1.0
3929,0.0,1.0
2926,0.0,3.0
3920,0.0,2.0
2190,1.0,1.0
2104,0.0,3.0
3058,2.0,0.0
3169,0.0,2.0
3239,0.0,1.0
2469,0.0,1.0
2647,0.0,3.0
2486,2.0,0.0
2768,0.0,1.0
3866,0.0,2.0
3568,0.0,2.0
3643,0.0,3.0
