,senior-level_skill
2258,1.0
2399,1.0
2431,1.0
3373,1.0
3343,1.0
2288,0.0
2471,1.0
3437,1.0
2162,1.0
3230,1.0
2707,1.0
3108,1.0
3786,1.0
3992,1.0
3433,1.0
3621,1.0
3503,0.0
2316,1.0
2074,1.0
3173,1.0
2066,1.0
3858,1.0
2787,1.0
2322,1.0
3172,1.0
3956,1.0
2923,1.0
2169,1.0
2892,1.0
2175,1.0
2132,1.0
2675,1.0
2858,1.0
2116,1.0
2293,1.0
2643,1.0
3480,1.0
2744,1.0
2299,1.0
3983,1.0
2160,1.0
2713,1.0
3912,1.0
3756,1.0
2516,1.0
2911,0.0
3660,1.0
2106,1.0
3478,1.0
3009,1.0
3254,1.0
2223,1.0
3595,1.0
3194,1.0
3600,1.0
3078,1.0
3741,1.0
3663,1.0
2195,1.0
2351,1.0
2187,1.0
2591,1.0
3021,1.0
2050,1.0
2996,1.0
3624,1.0
2438,1.0
3558,1.0
3473,1.0
3257,1.0
3569,1.0
3960,1.0
2473,1.0
3251,1.0
2945,1.0
3329,1.0
2932,1.0
3676,1.0
2912,1.0
3069,1.0
2313,1.0
3100,1.0
3841,1.0
2374,1.0
2232,1.0
3149,0.0
2879,1.0
3413,1.0
3250,1.0
2714,1.0
3737,1.0
2104,1.0
3681,1.0
3288,1.0
3256,1.0
3767,1.0
2956,1.0
3910,1.0
3868,1.0
3185,1.0
3073,1.0
3678,1.0
3639,1.0
2000,1.0
3500,1.0
3392,1.0
2060,1.0
3966,1.0
2644,1.0
2578,1.0
2226,1.0
3388,1.0
3014,1.0
3029,1.0
3722,1.0
2530,1.0
3977,1.0
2127,1.0
3827,1.0
3176,1.0
3691,1.0
3567,1.0
3266,1.0
2184,1.0
2284,0.0
2046,1.0
2357,1.0
3012,1.0
2243,0.0
3965,1.0
2994,0.0
3131,1.0
3700,1.0
3667,1.0
2753,1.0
2323,1.0
2144,1.0
3115,0.0
2988,1.0
3357,1.0
3895,1.0
3287,1.0
3829,1.0
3225,1.0
2311,1.0
3849,1.0
3027,1.0
3921,1.0
3389,1.0
3555,1.0
3857,1.0
2179,1.0
3338,1.0
2609,0.0
2360,1.0
3824,1.0
3665,1.0
3901,1.0
2682,1.0
2962,1.0
3238,1.0
2253,1.0
3182,1.0
2094,1.0
3109,1.0
2505,1.0
3151,1.0
3452,1.0
2851,1.0
3000,0.0
3532,1.0
3348,1.0
3816,1.0
2432,0.0
3228,1.0
2890,1.0
2287,1.0
2563,1.0
3430,1.0
2504,1.0
2450,1.0
3789,1.0
2222,1.0
2853,1.0
3188,1.0
2007,1.0
3670,1.0
2040,1.0
3223,1.0
3922,1.0
2811,1.0
2615,0.0
2502,1.0
3099,1.0
2913,1.0
2951,1.0
2983,1.0
2883,0.0
3003,1.0
2867,1.0
