r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.8413333333333334,1.311,0.41333333333333333,2.5656666666666665,0.0,0.14688884686501316,0.14387842089764552,0.05851780355868918,0.3348377716646278,0.0,0.75
individualized,acceptance,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.75
individualized,acceptance,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.9499999999999998
individualized,acceptance,0.8413333333333334,1.311,0.41333333333333333,2.5656666666666665,0.0,0.14688884686501316,0.14387842089764552,0.05851780355868918,0.3348377716646278,0.0,0.9499999999999998
subpopulation,acceptance,0.8416666666666667,1.3123333333333334,0.4176666666666667,2.5716666666666668,0.0,0.1474324704172501,0.12874134275101118,0.05795112883571236,0.31647169436354544,0.0,0.75
subpopulation,acceptance,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.75
subpopulation,acceptance,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.9499999999999998
subpopulation,acceptance,0.818,1.369,0.444,2.631,0.0,0.13221573280060123,0.17090640713560157,0.05381449618829483,0.349051572120797,0.0,0.9499999999999998
individualized,counterfactual,0.8003333333333332,1.3673333333333335,0.5016666666666666,2.669333333333333,0.0,0.1119389714680876,0.20525674978751207,0.0948384591467688,0.3721146776644713,0.0,0.75
individualized,counterfactual,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.75
individualized,counterfactual,0.8481111111111111,0.012388888888888887,0.029805555555555554,0.8903055555555556,0.0,0.09974786210927208,0.004920608118846619,0.01147955106232785,0.0993992487303005,0.0,0.9499999999999998
individualized,counterfactual,0.8003333333333332,1.3673333333333335,0.5016666666666666,2.669333333333333,0.0,0.1119389714680876,0.20525674978751207,0.0948384591467688,0.3721146776644713,0.0,0.9499999999999998
individualized,improvement,0.9696666666666668,1.8099999999999998,2.5340000000000003,5.313666666666667,0.0,0.1314394664221267,0.18533213428868694,0.4145793048380491,0.7267505303288976,0.0,0.75
individualized,improvement,0.9696666666666668,1.8099999999999998,2.5340000000000003,5.313666666666667,0.0,0.1314394664221267,0.18533213428868694,0.4145793048380491,0.7267505303288976,0.0,0.75
individualized,improvement,1.3579999999999999,2.0429999999999997,2.7246666666666663,6.1256666666666675,0.0,0.11001363551851191,0.3114048811435041,0.427663808771953,0.7280119046645691,0.0,0.9499999999999998
individualized,improvement,1.3579999999999999,2.0429999999999997,2.7246666666666663,6.1256666666666675,0.0,0.11001363551851191,0.3114048811435041,0.427663808771953,0.7280119046645691,0.0,0.9499999999999998
subpopulation,improvement,0.924,1.559333333333333,2.4376666666666664,4.920999999999999,0.0,0.11850316451470833,0.2438551482608749,0.45275858173350303,0.7615792801803366,0.0,0.75
subpopulation,improvement,0.924,1.559333333333333,2.4376666666666664,4.920999999999999,0.0,0.11850316451470833,0.2438551482608749,0.45275858173350303,0.7615792801803366,0.0,0.75
subpopulation,improvement,1.146,1.4193333333333336,2.2923333333333336,4.857666666666667,0.0,0.08337265738837872,0.11528370801346274,0.2720318608790766,0.37598182580190354,0.0,0.9499999999999998
subpopulation,improvement,1.146,1.4193333333333336,2.2923333333333336,4.857666666666667,0.0,0.08337265738837872,0.11528370801346274,0.2720318608790766,0.37598182580190354,0.0,0.9499999999999998
