,u_x1,u_x2,u_y,u_x3
500,-0.51811516,1.6965,0.78362095,-1.2497367
501,-0.117090836,-0.65836143,0.13092697,0.663668
502,-0.34006166,0.61111015,0.7348386,0.27247998
503,-0.57865095,0.14643349,0.94296145,0.42510933
504,-0.058949895,0.21830402,0.9930116,-0.53333074
505,0.3007563,0.5437392,0.44807112,-0.5576982
506,0.43794647,1.1333953,0.6068176,0.8274903
507,-0.06813003,0.4591816,0.7323425,-0.48984137
508,-0.22608389,0.4563054,0.6872606,1.28135
509,-0.26764113,-1.722004,0.88268256,-0.9995302
510,1.374943,-0.01084019,0.54903734,0.82092535
511,0.0010763638,0.54078937,0.60510814,-0.6665923
512,0.92397285,-0.21438053,0.20788407,0.9211019
513,0.0022475696,-0.57018036,0.8178209,0.13628164
514,-1.2449768,-0.7765731,0.34632242,-0.851922
515,0.03379974,1.7527183,0.7811377,1.4678566
516,-0.14075008,1.8914708,0.10669279,0.06125206
517,0.11842407,0.25101462,0.6699679,-0.0075378623
518,-0.62895393,-0.9085749,0.7010431,0.6678065
519,-0.2564638,0.6209959,0.85327816,-1.8762298
520,-0.26022372,1.0165784,0.15748668,0.15441224
521,0.17657368,-0.3034616,0.5501566,1.1286753
522,0.36225393,0.94952935,0.8642825,0.058976974
523,0.01873419,-0.96673524,0.34257674,1.8562453
524,0.5829636,0.77938396,0.51595926,-0.40566143
525,0.2915579,-1.4408898,0.018840551,-0.24652733
526,-0.39224905,-0.09747879,0.20106733,-1.2558073
527,-1.0731251,-1.3668338,0.98601186,2.3489738
528,-0.10840506,-0.6165257,0.3813032,0.6041401
529,-0.2517016,0.47568113,0.2671584,-1.1409556
530,0.4190448,1.204217,0.8721036,-1.4761937
531,-0.29339647,0.43756968,0.6726767,0.34084216
532,-0.4834191,-0.463422,0.7618389,0.44018078
533,0.50753134,-1.17581,0.7793306,-0.721566
534,-0.097294405,0.5458345,0.24297643,0.22616482
535,-0.430644,0.15869288,0.1835258,0.53491896
536,-0.5336681,-0.97975373,0.29354906,-0.7657248
537,-0.01470609,1.4123908,0.19111514,-0.56376207
538,0.18904376,-0.2386191,0.6434207,-1.1201053
539,-0.13421968,0.53943104,0.11683166,-0.1679862
540,-0.57701826,1.7282411,0.79356,1.0337465
541,0.62534016,0.4842072,0.5234443,-1.2438568
542,0.17189932,0.9323342,0.9396155,-0.23586719
543,-0.19414505,-0.09532541,0.44142127,0.7364742
544,-0.03610122,0.62831336,0.09942436,-0.829325
545,-0.60543585,-0.61952525,0.7891427,0.666325
546,-0.26653054,-0.33872572,0.25694346,-0.7886154
547,-0.0066907424,0.9715006,0.5171826,-1.5087386
548,0.2546226,1.5748295,0.018763185,-0.40380213
549,0.15427482,0.89392644,0.17648208,-0.10812189
550,-0.3318838,0.9036908,0.87734187,1.4324241
551,0.2930502,0.4965357,0.722545,0.93264157
552,-0.5410922,-0.17740984,0.553332,-1.1511134
553,0.7141107,0.76337147,0.18066084,-0.4083158
554,-0.71110195,-1.8784055,0.8224844,-0.8443236
555,-0.7645953,-0.6732864,0.4670955,-1.1516874
556,-0.4597905,-1.1204046,0.7461339,0.8384522
557,0.01700176,2.1359348,0.9417789,0.0027327263
558,-0.38912797,-0.62959,0.36651218,0.7002155
559,0.23735099,1.0689545,0.20572782,1.3306514
560,0.19882816,-0.5316938,0.17553079,0.84778315
561,0.0925251,-0.7692541,0.24952793,0.38424706
562,-0.4288805,-0.3633551,0.08750105,-0.33971038
563,-0.02543995,-1.5634931,0.9468589,0.9113141
564,0.985099,0.8772852,0.027798891,3.2816405
565,-0.49772152,1.4237924,0.8099216,-0.35947472
566,0.5547605,-0.27071288,0.3860829,-0.33669508
567,-0.259009,1.2024689,0.47224426,-0.8551173
568,0.66387606,-0.29935405,0.3261901,-2.2424848
569,0.40879935,-0.056575444,0.314646,-0.10976552
570,-0.44145325,-0.52294403,0.26096523,-1.4706815
571,-0.3540247,1.0699064,0.39667952,-0.254267
572,-0.18582153,2.5098155,0.35130262,-0.02916615
573,-1.0289005,-0.94112754,0.88503337,1.0361493
574,0.5117005,-0.030134134,0.37633133,-0.34142983
575,-0.6954655,-1.3114611,0.2488575,-0.3487991
576,-0.30135962,-0.507708,0.17287552,0.35825145
577,-0.53032345,0.23944452,0.8254845,-0.51970476
578,0.34610137,-0.6473889,0.09369242,-0.9598847
579,0.5183191,-0.86278886,0.17962193,-0.016627563
580,0.21450187,1.8394208,0.9639487,-0.32489598
581,0.091265574,1.2200645,0.5970725,1.5739398
582,0.11981097,0.07313824,0.97215533,0.5812931
583,-0.006995411,1.158498,0.8815303,-0.4069709
584,0.8146658,-2.497966,0.93019617,-0.56692165
585,0.0038706055,2.1242313,0.5026562,0.6812823
586,-0.96234876,-1.1009866,0.66815186,-0.86476845
587,-0.16938992,-0.15958698,0.93702924,0.25219956
588,-1.0050267,-0.48081946,0.050544977,0.25898927
589,0.3047678,1.5745796,0.7651715,-0.15239872
590,0.19764604,-0.40075558,0.20731866,0.732558
591,-0.25460196,-0.89161336,0.69257236,0.84476346
592,-0.23392197,-0.66565406,0.123140216,0.30654526
593,0.69982505,0.36668053,0.12922275,0.8883718
594,-0.40006104,-1.6048675,0.9862528,-0.34763837
595,0.031111931,0.40843582,0.034282327,-0.71238
596,0.2206041,-1.4934815,0.74997115,0.1614768
597,-0.99956954,0.10797957,0.6514815,-0.2676189
598,0.1648208,-1.1937295,0.83384454,0.16108145
599,0.30567953,-1.4120494,0.078855634,1.7580928
600,0.36829293,0.3552348,0.74110913,0.7431939
601,-0.57960117,-2.5382402,0.64005077,-1.0876515
602,0.9041159,-1.6159893,0.4703678,0.37260553
603,-0.21055296,-0.26525036,0.8929198,0.6848193
604,0.5694347,1.3560692,0.9949013,1.1814349
605,-0.06620436,2.0032544,0.45659554,-0.18717466
606,0.13008061,1.2846124,0.70258224,-0.18595782
607,0.3783641,0.45220336,0.904915,0.76741695
608,-0.9561073,1.4546534,0.5041877,-0.4125762
609,-0.2802207,0.7074374,0.45401132,0.61646914
610,-0.32029405,0.87006056,0.4785217,-1.1476109
611,-0.48227757,-0.80908227,0.35266757,-2.318063
612,-0.36441395,-2.1052938,0.18693733,-0.48437735
613,0.5629689,-1.0773867,0.9891772,1.4152509
614,0.6674028,0.20306456,0.35509026,0.8624557
615,-0.33680925,0.015975615,0.8243383,-0.172815
616,-0.24163982,-0.5082312,0.28059816,0.09680132
617,-0.5176428,-1.0231805,0.35619903,0.30611685
618,-0.22989641,0.3613731,0.8012674,-0.3127917
619,0.08244615,-0.24835499,0.4014814,-1.670491
620,-0.061178174,1.5130204,0.73321867,-0.55965734
621,0.20806125,-0.26878014,0.0923934,-1.7594628
622,-0.028973127,-0.85880744,0.6898091,-0.107642196
623,-0.7681772,-1.3774672,0.43682086,1.9643897
624,-0.73999304,-0.70190394,0.955984,-0.39791164
625,0.47753024,-0.69184875,0.23620677,-0.70019543
626,-0.120392345,0.4907143,0.28882897,-0.39895073
627,-0.06565457,-0.8678304,0.96474814,0.33166844
628,0.19317001,-2.4707341,0.8719933,-0.75963765
629,0.5720217,-0.097873,0.59791005,-1.8743623
630,0.026276179,0.29168773,0.40560126,0.5521669
631,0.17174432,-1.1035123,0.33407593,-0.5814999
632,1.4842987,0.5842372,0.17180896,-0.3126075
633,-0.4187463,-0.41854972,0.37818134,-0.17310223
634,0.33456624,1.0799682,0.8677573,-1.4532213
635,-0.19988813,0.95494777,0.21619403,-0.1541499
636,0.17660487,0.4360296,0.62331736,-0.019492457
637,-0.037860952,-0.18428107,0.5671333,0.15652089
638,2.0510287,0.08530707,0.4257084,1.2445492
639,0.04322098,0.83566755,0.7408768,0.49534452
640,0.002484083,-1.5361814,0.18477201,0.3275178
641,-0.6028923,-0.88202834,0.7236285,-1.0244427
642,-0.36771008,0.8054396,0.79793847,0.11251826
643,0.047794107,-1.1035271,0.29887235,-0.278091
644,0.46143284,-0.03295006,0.886989,0.4802981
645,0.0394856,-0.060405005,0.5585549,-0.2730747
646,-0.3881074,-0.51977795,0.47028542,0.29403606
647,0.40881628,-0.5838897,0.47197187,0.10715186
648,-0.21902436,-0.5230588,0.7102761,-0.9895351
