,senior-level_skill
3281,0.0
2646,0.0
3737,0.0
3211,0.0
3087,0.0
3856,0.0
2441,0.0
3806,0.0
2995,0.0
3820,0.0
3770,0.0
2973,0.0
3492,0.0
3881,0.0
2139,0.0
3653,0.0
3817,0.0
2503,0.0
3885,0.0
2117,0.0
3925,0.0
2436,0.0
2636,0.0
3005,0.0
2812,0.0
3266,0.0
2570,0.0
2219,0.0
3031,0.0
2329,0.0
2317,0.0
2087,0.0
2820,0.0
3818,0.0
3551,0.0
3860,0.0
3571,0.0
2925,0.0
3065,0.0
3394,0.0
2832,0.0
2474,0.0
2932,0.0
2421,0.0
3934,0.0
2260,0.0
3783,0.0
3236,0.0
2300,0.0
3401,0.0
3284,0.0
3990,0.0
2667,0.0
2463,0.0
2813,0.0
3283,0.0
2676,0.0
3947,0.0
2408,0.0
2425,0.0
2642,0.0
3748,0.0
2708,0.0
3400,0.0
3439,0.0
2073,0.0
3554,0.0
3054,0.0
2128,0.0
2547,0.0
2675,0.0
2228,0.0
3485,0.0
2576,0.0
2787,0.0
2091,0.0
3367,0.0
3796,0.0
3998,0.0
3710,0.0
2627,0.0
2000,0.0
2981,0.0
2978,0.0
2157,0.0
2191,0.0
3247,0.0
3628,0.0
3369,0.0
3430,0.0
2739,0.0
2295,0.0
3494,0.0
2323,0.0
3484,0.0
3520,0.0
3749,0.0
2120,0.0
3946,0.0
3936,0.0
2058,0.0
3662,0.0
2790,0.0
3220,0.0
3322,0.0
2831,0.0
3076,0.0
2419,0.0
3049,0.0
3444,0.0
3019,0.0
2424,0.0
2355,0.0
2980,0.0
3377,0.0
2050,0.0
2199,0.0
2264,0.0
2545,0.0
2635,0.0
2638,0.0
3704,0.0
2592,0.0
2878,0.0
3095,0.0
2818,0.0
2107,0.0
2396,0.0
3905,0.0
2145,0.0
3706,0.0
3557,0.0
3194,0.0
2218,0.0
3357,0.0
2052,0.0
3131,0.0
3221,0.0
2819,0.0
2585,0.0
2335,0.0
3979,0.0
2455,0.0
2751,0.0
2135,0.0
2001,0.0
3002,0.0
2912,0.0
2798,0.0
2742,0.0
3358,0.0
3187,0.0
3450,0.0
3339,0.0
3663,0.0
3395,0.0
3346,0.0
2716,0.0
3632,0.0
2731,0.0
3463,0.0
3757,0.0
2770,0.0
2115,0.0
3626,0.0
2879,0.0
3298,0.0
3292,0.0
3350,0.0
3625,0.0
2489,0.0
3275,0.0
2760,0.0
2248,0.0
3308,0.0
2843,0.0
2660,0.0
2261,0.0
2116,0.0
3061,0.0
3127,0.0
3189,0.0
2738,0.0
2083,0.0
3155,0.0
2420,0.0
3317,0.0
3779,0.0
2947,0.0
3337,0.0
2860,0.0
3701,0.0
2734,0.0
2178,0.0
2482,0.0
2212,0.0
3743,0.0
3409,0.0
2454,0.0
3093,0.0
