,senior-level_skill
2379,0.0
2950,0.0
2755,0.0
2368,0.0
2486,0.0
2594,0.0
2391,0.0
3491,0.0
2780,0.0
2109,0.0
3334,0.0
3765,0.0
2103,0.0
3801,0.0
2216,0.0
3994,0.0
3452,0.0
3711,0.0
2277,0.0
3948,0.0
3579,0.0
2573,0.0
2195,0.0
3136,0.0
2184,0.0
2787,0.0
2077,0.0
3527,0.0
3689,0.0
3239,0.0
2388,0.0
3098,0.0
3304,0.0
3235,0.0
3330,0.0
2474,0.0
2576,0.0
2990,0.0
2661,0.0
3925,0.0
2489,0.0
2380,0.0
2936,0.0
2030,0.0
2244,0.0
2582,0.0
2031,0.0
2179,0.0
2311,0.0
2644,0.0
3113,0.0
3490,0.0
3671,0.0
3808,0.0
2166,0.0
3319,0.0
2954,0.0
2862,0.0
2465,0.0
3419,0.0
2097,0.0
3944,0.0
2826,0.0
3962,0.0
2441,0.0
3958,0.0
2269,0.0
3935,0.0
3687,0.0
3034,0.0
3468,0.0
2585,0.0
3609,0.0
3930,0.0
2134,0.0
2330,0.0
2341,0.0
2200,0.0
2979,0.0
2385,0.0
3837,0.0
2043,0.0
2285,0.0
2042,0.0
3926,0.0
3147,0.0
3162,0.0
2577,0.0
2700,0.0
3648,0.0
2550,0.0
3608,0.0
3940,0.0
2201,0.0
2212,0.0
3976,0.0
3806,0.0
3645,0.0
3988,0.0
2057,0.0
3966,0.0
3882,0.0
3895,0.0
3378,0.0
3261,0.0
2770,0.0
2093,0.0
3091,0.0
3825,0.0
3289,0.0
2246,0.0
2590,0.0
2123,0.0
3027,0.0
3869,0.0
3618,0.0
3356,0.0
3338,0.0
3713,0.0
3539,0.0
3900,0.0
3268,0.0
3751,0.0
3167,0.0
3203,0.0
3073,0.0
2013,0.0
3210,0.0
3140,0.0
3731,0.0
3185,0.0
3953,0.0
2419,0.0
2803,0.0
3125,0.0
2912,0.0
3813,0.0
3744,0.0
2136,0.0
3979,0.0
3705,0.0
2404,0.0
3878,0.0
3340,0.0
2479,0.0
3192,0.0
2597,0.0
2072,0.0
3581,0.0
3906,0.0
3932,0.0
3068,0.0
2428,0.0
2930,0.0
3589,0.0
3980,0.0
2371,0.0
2389,0.0
3362,0.0
3214,0.0
3398,0.0
2372,0.0
2918,0.0
3208,0.0
3403,0.0
3665,0.0
3889,0.0
2603,0.0
2549,0.0
3727,0.0
2779,0.0
2294,0.0
2497,0.0
3461,0.0
3311,0.0
3123,0.0
2182,0.0
3791,0.0
3997,0.0
2736,0.0
3435,0.0
3874,0.0
2561,0.0
3572,0.0
2278,0.0
2846,0.0
2356,0.0
2203,0.0
3701,0.0
3262,0.0
2228,0.0
2397,0.0
2754,0.0
3373,0.0
2697,0.0
3929,0.0
2969,0.0
3951,0.0
2280,0.0
2493,0.0
