,years_experience,degree,nr_commits,nr_languages,nr_stars
3128,1.0,3.0,1014.0,1.0,12.0
2969,1.0,3.0,1015.0,1.0,14.0
3850,2.0,2.0,2024.0,5.0,15.0
3880,1.0,3.0,14.0,22.0,6.0
3364,2.0,2.0,2025.0,8.0,13.0
2966,2.0,2.0,2026.0,2.0,15.0
3137,3.0,1.0,3037.0,10.0,10.0
2940,1.0,3.0,1016.0,4.0,13.0
3626,2.0,2.0,2023.0,6.0,18.0
2330,3.0,1.0,3033.0,11.0,17.0
2326,2.0,2.0,2022.0,6.0,12.0
2420,1.0,3.0,1012.0,5.0,10.0
3507,2.0,2.0,23.0,9.0,2.0
3064,2.0,2.0,2024.0,3.0,13.0
2506,2.0,2.0,2026.0,7.0,14.0
2336,1.0,3.0,1016.0,6.0,14.0
2825,3.0,1.0,3035.0,5.0,15.0
3065,1.0,3.0,1011.0,1.0,12.0
3368,3.0,1.0,3035.0,15.0,18.0
2600,2.0,2.0,2022.0,15.0,15.0
2201,4.0,1.0,4048.0,3.0,16.0
3026,3.0,1.0,3033.0,3.0,11.0
3052,2.0,2.0,26.0,0.0,1.0
3016,5.0,0.0,5051.0,4.0,11.0
2170,4.0,1.0,4045.0,2.0,15.0
3746,2.0,2.0,2024.0,3.0,16.0
2801,3.0,2.0,3035.0,3.0,12.0
2683,4.0,1.0,4042.0,5.0,12.0
2874,2.0,2.0,2026.0,11.0,10.0
3361,3.0,2.0,3033.0,2.0,13.0
3284,2.0,2.0,2021.0,2.0,21.0
2931,1.0,3.0,1012.0,3.0,20.0
2255,4.0,1.0,4044.0,15.0,17.0
2985,2.0,2.0,2027.0,22.0,15.0
2176,3.0,1.0,3033.0,2.0,10.0
2367,1.0,3.0,1015.0,1.0,13.0
3996,3.0,2.0,3036.0,4.0,11.0
2800,1.0,3.0,1017.0,8.0,12.0
3150,2.0,2.0,2022.0,3.0,16.0
3703,2.0,2.0,26.0,1.0,4.0
3215,2.0,2.0,2029.0,9.0,17.0
2400,2.0,2.0,2025.0,3.0,12.0
2266,1.0,3.0,1013.0,1.0,11.0
3270,4.0,1.0,4044.0,1.0,14.0
2649,3.0,1.0,33.0,7.0,0.0
2841,2.0,2.0,2022.0,3.0,10.0
3429,2.0,2.0,2025.0,5.0,12.0
2119,2.0,2.0,2024.0,2.0,11.0
2652,1.0,3.0,1018.0,7.0,10.0
2047,3.0,1.0,3032.0,3.0,13.0
2281,1.0,3.0,1016.0,2.0,12.0
2702,1.0,3.0,1015.0,3.0,16.0
2321,1.0,3.0,1013.0,4.0,13.0
2654,1.0,3.0,1015.0,5.0,14.0
2868,1.0,3.0,1018.0,5.0,12.0
3040,2.0,2.0,2026.0,4.0,14.0
2259,2.0,2.0,2022.0,8.0,16.0
3336,2.0,2.0,2024.0,17.0,13.0
3456,5.0,0.0,5053.0,3.0,12.0
2619,2.0,2.0,2028.0,1.0,14.0
2066,2.0,2.0,2026.0,6.0,13.0
2315,4.0,1.0,4045.0,7.0,16.0
3340,2.0,2.0,2021.0,2.0,14.0
3283,3.0,1.0,3035.0,2.0,17.0
3830,2.0,2.0,2022.0,2.0,15.0
3469,2.0,2.0,2025.0,2.0,17.0
3527,4.0,1.0,4045.0,2.0,10.0
3521,5.0,0.0,5055.0,2.0,13.0
2291,2.0,2.0,2023.0,6.0,12.0
2528,1.0,3.0,1014.0,2.0,12.0
3083,3.0,2.0,3032.0,9.0,17.0
2961,3.0,1.0,32.0,9.0,4.0
3213,3.0,1.0,3030.0,4.0,14.0
3248,4.0,1.0,4041.0,3.0,11.0
2621,1.0,3.0,1011.0,2.0,24.0
2169,3.0,1.0,3034.0,2.0,12.0
2335,2.0,2.0,2024.0,4.0,15.0
3973,2.0,2.0,2023.0,2.0,17.0
3875,3.0,1.0,3031.0,2.0,15.0
2368,2.0,2.0,2022.0,6.0,14.0
2707,1.0,3.0,1014.0,13.0,11.0
3126,3.0,1.0,3032.0,4.0,12.0
2431,3.0,2.0,3036.0,14.0,12.0
2463,1.0,3.0,1013.0,7.0,13.0
3125,1.0,3.0,1015.0,15.0,10.0
3060,1.0,3.0,1014.0,7.0,12.0
2628,5.0,0.0,5057.0,6.0,15.0
3042,4.0,1.0,42.0,17.0,11.0
2312,3.0,1.0,3034.0,4.0,11.0
3538,1.0,3.0,1013.0,4.0,16.0
3624,2.0,2.0,2024.0,9.0,16.0
3287,3.0,1.0,3031.0,4.0,11.0
2845,1.0,3.0,1013.0,4.0,14.0
3974,4.0,1.0,4047.0,3.0,11.0
3199,1.0,3.0,1014.0,1.0,15.0
3143,2.0,2.0,2024.0,5.0,15.0
2756,4.0,1.0,4043.0,9.0,14.0
2313,1.0,3.0,1017.0,2.0,10.0
3099,2.0,2.0,2024.0,6.0,18.0
3804,1.0,3.0,1017.0,4.0,13.0
2134,3.0,2.0,3033.0,2.0,18.0
3297,1.0,3.0,1012.0,2.0,21.0
2746,2.0,2.0,2026.0,7.0,16.0
2418,1.0,3.0,1017.0,7.0,13.0
2376,1.0,3.0,1014.0,7.0,10.0
2288,1.0,3.0,1014.0,7.0,11.0
3702,1.0,3.0,1014.0,5.0,15.0
3307,2.0,2.0,2024.0,14.0,12.0
3896,1.0,3.0,1013.0,1.0,16.0
3661,3.0,1.0,3034.0,14.0,10.0
3853,1.0,3.0,1015.0,3.0,14.0
