,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.95,0.95,0.9800000190734863,0.11999999731779099,1.0,1.0,"[1.0, 1.0]",300.0,0.5,individualized,improvement,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",1.0,3.181
1,1.0,0.95,0.95,0.2199999988079071,0.11999999731779099,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",0.5320000052452087,3.284
2,1.0,0.95,0.95,0.15000000596046448,0.11999999731779099,0.95,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",0.46399998664855957,3.657
3,1.0,0.95,0.95,0.9700000286102295,0.11999999731779099,1.0,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",0.9940000772476196,3.295
4,1.0,0.95,0.95,0.1899999976158142,0.11999999731779099,0.99,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",0.5019999742507935,3.284
5,1.0,0.95,0.95,0.15000000596046448,0.11999999731779099,0.95,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,counterfactual,2,"[[-0.15516047170550962, 0.3887020845851001, 0.7972309199062461], [-0.34300633791006724]]",0.46399998664855957,3.6310000000000002
6,1.0,0.95,0.95,0.9800000190734863,0.18000000715255737,1.0,0.99,"[1.0, 1.0]",300.0,0.5,individualized,improvement,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",1.0,3.0239999999999996
7,1.0,0.95,0.95,0.25999999046325684,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",0.621999979019165,3.3470000000000004
8,1.0,0.95,0.95,0.23999999463558197,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",0.6239999532699585,3.695
9,1.0,0.95,0.95,0.9200000166893005,0.18000000715255737,1.0,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",1.0,3.346
10,1.0,0.95,0.95,0.23999999463558197,0.18000000715255737,0.97,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",0.6100000143051147,3.3470000000000004
11,1.0,0.95,0.95,0.23999999463558197,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,counterfactual,1,"[[0.17212440209313498, 0.30563951578550236, 0.8015383947950182], [-0.48917069650178224]]",0.6239999532699585,3.515
12,1.0,0.95,0.95,1.0,0.18000000715255737,1.0,1.0,"[1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.9959999918937683,2.64
13,1.0,0.95,0.95,0.25999999046325684,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.4360000193119049,2.7609999999999997
14,1.0,0.95,0.95,0.25999999046325684,0.18000000715255737,0.81,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.3399999737739563,3.533000000000001
15,1.0,0.95,0.95,0.949999988079071,0.18000000715255737,0.99,,"[1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.9940000772476196,2.8169999999999997
16,1.0,0.95,0.95,0.1899999976158142,0.18000000715255737,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.36799997091293335,2.7609999999999997
17,1.0,0.95,0.95,0.25999999046325684,0.18000000715255737,0.81,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,counterfactual,0,"[[0.4193815735163298, -0.17430836989550566, 0.8740051248645054], [-0.5287631658814632]]",0.3399999737739563,
