,credit
7090,0.0
8637,0.0
8484,0.0
6010,1.0
5135,0.0
8779,1.0
7250,0.0
6008,0.0
8001,0.0
8537,0.0
8313,0.0
5147,0.0
5277,0.0
5188,0.0
7837,1.0
9121,1.0
7815,1.0
8684,0.0
6340,0.0
8560,0.0
8522,0.0
5029,0.0
6356,0.0
6731,0.0
7148,0.0
8670,1.0
9768,0.0
9050,0.0
6739,0.0
7144,0.0
5244,0.0
5381,1.0
7490,0.0
8585,0.0
7400,1.0
7262,1.0
5159,0.0
8854,0.0
5046,0.0
7592,1.0
8131,0.0
5499,0.0
8794,0.0
6851,0.0
6467,0.0
7960,1.0
5679,0.0
9141,0.0
9901,0.0
6471,0.0
8853,0.0
6183,1.0
9606,0.0
9675,0.0
8852,0.0
7113,0.0
7725,0.0
7870,0.0
5979,0.0
7997,0.0
9884,0.0
6893,0.0
8843,0.0
7559,0.0
7781,1.0
6571,0.0
5715,0.0
7617,0.0
8183,0.0
8141,0.0
5359,0.0
6796,0.0
6439,0.0
8636,1.0
5818,0.0
8630,0.0
5977,0.0
6371,0.0
6620,0.0
7158,0.0
7822,0.0
8207,0.0
7524,0.0
7024,0.0
9527,0.0
6027,1.0
7695,0.0
5459,0.0
8869,0.0
8925,0.0
8758,0.0
9574,0.0
9683,0.0
6418,0.0
5666,0.0
9225,0.0
9485,0.0
7220,0.0
7230,0.0
8877,0.0
