,x1,x2
1858,0.5,0.7
1968,0.4,-0.0
1627,0.9,0.0
1495,0.8,0.9
1563,0.4,0.6
1007,0.3,-0.0
1562,0.4,0.0
1464,0.7,0.3
1994,0.5,0.0
1503,0.5,0.0
1934,0.4,0.5
1236,0.9,1.3
1014,0.4,0.0
1388,0.9,1.6
1645,0.9,1.3
1871,0.8,0.0
1819,0.3,0.0
1010,0.7,0.0
1484,0.7,1.0
1892,0.7,1.0
1896,1.1,1.7
1680,0.9,1.4
1801,0.3,-0.0
1128,0.3,0.5
1075,0.6,1.0
1537,0.9,0.4
1588,1.3,1.1
1131,0.7,0.7
1911,0.5,-0.0
1883,0.3,0.0
1320,0.8,1.3
1312,0.8,1.8
1504,0.5,0.7
1949,0.5,0.8
1060,0.8,0.0
1938,0.4,0.0
1560,0.7,1.3
1362,1.3,1.9
1539,1.1,0.0
1940,0.4,0.0
1302,1.2,2.1
1811,0.7,0.2
1369,0.6,0.0
1505,1.8,2.7
1289,1.3,0.0
1914,0.7,0.0
1798,0.2,0.7
1619,-0.0,0.9
1757,0.8,-0.0
1629,0.5,0.7
1895,0.4,-0.0
1675,0.6,0.0
1642,0.6,0.0
1452,0.1,0.9
1438,0.5,0.0
1898,0.7,0.2
1161,0.6,-0.0
1427,0.5,0.0
1177,0.4,0.0
1372,1.4,1.9
1529,0.5,-0.0
1955,0.7,0.4
1931,0.9,1.8
1855,0.9,1.3
1201,0.5,0.0
1219,0.4,-0.0
1610,0.7,0.0
1076,1.0,1.4
1034,0.5,-0.0
1816,0.6,-0.0
1842,0.3,0.0
1781,0.4,0.0
1708,1.4,1.3
1077,0.7,0.0
1040,0.5,0.5
1743,0.3,0.0
1469,0.9,1.0
1561,0.4,0.9
1057,0.4,-0.0
1231,0.8,0.7
1621,0.8,0.9
1687,0.7,0.0
1961,0.5,0.7
1659,0.7,-0.0
1065,0.7,-0.0
1221,0.7,0.0
1992,0.9,0.7
1370,0.4,0.0
1274,0.5,0.8
1100,0.3,0.7
1831,0.4,-0.0
1036,0.6,0.0
1935,0.2,0.8
1070,0.4,0.0
1317,0.5,0.7
1731,1.5,0.1
1435,0.6,0.0
1150,0.9,1.3
1836,0.8,0.0
1697,0.9,-0.0
