r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.5038085108682707,0.17941962190871577,2.257093379415871,0.6832281327769865,2.257093379415871,0.05588650438107276,0.07489413239343115,0.40060865526598927,0.06361665008271646,0.40060865526598927,0.75
individualized,acceptance,0.3315035485027107,0.5156737574385414,2.357716306357519,0.8471773059412521,2.357716306357519,0.08045228110963995,0.34791069451333045,0.21233651252805405,0.2921229490147161,0.21233651252805405,0.85
individualized,acceptance,0.17438888990009824,0.5847500002876752,2.3484999973186187,0.7591388901877734,2.3484999973186187,0.1763059476205757,0.3397428237909478,0.30954120172666205,0.46501403876527575,0.30954120172666205,0.9
individualized,acceptance,0.48218594183125735,0.4519682546201882,1.558675735036059,0.9341541964514456,1.558675735036059,0.35432731111137444,0.2211904773413803,1.0824024625669963,0.5411141126036376,1.0824024625669963,0.9499999999999998
subpopulation,acceptance,0.5338888889422847,0.2654444450955424,2.283916660693784,0.7993333340378271,2.283916660693784,0.08941392310781597,0.1691121714447966,0.39632511050568764,0.21616636345429663,0.39632511050568764,0.75
subpopulation,acceptance,0.2579047616407984,0.407346939237953,2.3376598711591594,0.6652517008787515,2.3376598711591594,0.13657033324251897,0.17941279984400982,0.2691879384063923,0.1237751654116095,0.2691879384063923,0.85
subpopulation,acceptance,0.21352380881341948,0.5669931987449021,2.690272110904966,0.7805170075583215,2.690272110904966,0.07529063871733407,0.04107757919554334,0.2842453237387246,0.1042472823758405,0.2842453237387246,0.9
subpopulation,acceptance,0.48805087289049304,0.3832298127447878,1.5281129832025009,0.8712806856352809,1.5281129832025009,0.412340305675533,0.258585010767207,0.8809799166191692,0.6571415288548774,0.8809799166191692,0.9499999999999998
individualized,counterfactual,0.42113888912896313,0.15591666698373027,2.1648888887961704,0.5770555561126934,2.1648888887961704,0.11977990119895056,0.14044401348987706,0.27768033557892824,0.23395656931616168,0.27768033557892824,0.75
individualized,counterfactual,0.24346938846265376,0.4792789114794764,2.3884081595919167,0.7227482999421303,2.3884081595919167,0.14762975287063426,0.2320287935305809,0.2664579934864564,0.09430038955580419,0.2664579934864564,0.85
individualized,counterfactual,0.14304347841117693,0.4624347847125669,2.6053043428408924,0.6054782631237438,2.6053043428408924,0.13353246229549545,0.12236599636376247,0.09933986567297551,0.24855117513332756,0.09933986567297551,0.9
individualized,counterfactual,0.4483446725435268,0.44560393086587125,1.6543189696351732,0.893948603409398,1.6543189696351732,0.2342611551842934,0.3465242636464944,1.0150720611123663,0.5689473278948917,1.0150720611123663,0.9499999999999998
individualized,improvement,1.3179999972780543,1.4413333329757052,,2.7593333302537597,0.0,0.07118988584383616,0.20832986870752182,,0.14006189363076857,0.0,0.75
individualized,improvement,1.5139999959369501,1.6019999957978726,,3.1159999917348227,0.0,0.08915155273809985,0.10243046307962997,,0.18784035302166788,0.0,0.85
individualized,improvement,1.6706666650474071,1.9933333356380463,,3.664000000685453,0.0,0.10929470749197115,0.43139000055165505,,0.38941494861126547,0.0,0.9
individualized,improvement,2.1120544292975443,2.2095374056595523,,4.321591834957096,0.0,0.13539992195486453,0.46704883643572137,,0.4413878158464999,0.0,0.9499999999999998
subpopulation,improvement,1.248666665572293,1.355142855384723,,2.603809520957016,0.0,0.05913825741029154,0.07884834236770367,,0.0754081879182996,0.0,0.75
subpopulation,improvement,1.4148979587603587,1.5942176833578519,,3.0091156421182106,0.0,0.13434850384886848,0.25848454883984046,,0.3476768029911496,0.0,0.85
subpopulation,improvement,1.5433333344558875,1.8619999996821086,,3.405333334137996,0.0,0.1246488393391557,0.454471125777175,,0.3417269926347176,0.0,0.9
subpopulation,improvement,2.105333331088225,2.5053333273430662,,4.610666658431292,0.0,0.0823731366476442,0.15127899515735327,,0.1878545542290421,0.0,0.9499999999999998
