,y
3817,1.0
3855,1.0
3103,1.0
2557,1.0
3477,1.0
3880,1.0
2140,1.0
2878,1.0
3201,1.0
2207,1.0
2444,1.0
2745,1.0
3628,1.0
3523,1.0
3912,1.0
3603,1.0
3981,1.0
3913,1.0
2056,1.0
3684,1.0
2063,1.0
2530,1.0
2221,1.0
2554,1.0
3438,1.0
2653,1.0
2361,1.0
3061,1.0
2382,1.0
2321,1.0
2266,1.0
3931,1.0
3514,1.0
3179,1.0
3407,1.0
3115,1.0
3521,1.0
3990,0.0
2333,1.0
3392,1.0
2739,1.0
2031,1.0
3974,1.0
2250,1.0
2036,1.0
3172,1.0
2009,1.0
3235,1.0
2289,0.0
2392,1.0
2814,1.0
3127,1.0
3541,1.0
2324,1.0
3680,1.0
2071,1.0
2632,1.0
3795,1.0
2332,1.0
2898,1.0
2372,1.0
2547,1.0
2107,1.0
3857,1.0
3268,1.0
2766,1.0
2982,1.0
3123,1.0
2669,1.0
2401,1.0
3125,1.0
2589,1.0
2895,1.0
3617,1.0
3497,1.0
2378,1.0
2870,1.0
3929,1.0
2988,1.0
3608,1.0
3846,1.0
3006,1.0
3941,1.0
3588,1.0
2593,1.0
3287,1.0
3739,1.0
3939,1.0
3810,1.0
2610,1.0
2224,1.0
3635,1.0
3112,1.0
2205,1.0
2440,0.0
3567,1.0
2756,0.0
3321,1.0
2169,1.0
3964,1.0
3250,1.0
3383,1.0
2414,1.0
3313,1.0
2320,1.0
2319,1.0
2272,1.0
2413,1.0
3408,1.0
2614,1.0
3229,1.0
3217,1.0
3310,1.0
2357,1.0
3893,1.0
2900,1.0
3906,1.0
2441,0.0
3909,1.0
2005,1.0
3695,1.0
2971,1.0
3168,1.0
2906,1.0
2586,1.0
3587,1.0
3775,1.0
3404,1.0
3152,1.0
3812,1.0
3561,1.0
2315,1.0
3069,1.0
3902,1.0
2197,1.0
3921,1.0
2963,1.0
2007,1.0
3122,1.0
2991,1.0
3574,1.0
2813,1.0
3891,1.0
3746,1.0
3733,0.0
3545,1.0
2734,1.0
2311,1.0
2210,1.0
3073,0.0
2852,1.0
3391,1.0
2415,1.0
3914,1.0
2153,1.0
2889,0.0
3028,1.0
3653,1.0
2523,1.0
3222,1.0
3206,1.0
2886,1.0
2923,1.0
3735,1.0
3091,1.0
3554,1.0
3381,0.0
3426,0.0
2292,1.0
3761,1.0
2427,1.0
3711,1.0
3312,1.0
2597,1.0
2022,1.0
2025,1.0
3424,1.0
2137,1.0
3081,1.0
3429,1.0
3949,1.0
3322,1.0
3016,1.0
3035,1.0
2621,1.0
2402,1.0
2287,1.0
3472,1.0
3453,1.0
3336,1.0
2730,1.0
2437,1.0
3387,1.0
3940,1.0
3597,1.0
2812,1.0
2618,1.0
3390,1.0
2201,1.0
2706,1.0
