,years_experience,degree
2168,1.0,3.0
2909,0.0,1.0
3784,0.0,2.0
3012,1.0,2.0
2891,3.0,1.0
2269,1.0,3.0
3309,0.0,2.0
2463,0.0,2.0
2983,2.0,2.0
3413,1.0,1.0
3783,1.0,1.0
3600,1.0,1.0
2017,1.0,1.0
3155,1.0,3.0
2221,0.0,2.0
2910,0.0,2.0
3450,2.0,0.0
3338,1.0,3.0
3098,0.0,2.0
3156,1.0,1.0
2011,0.0,2.0
2045,0.0,2.0
3549,0.0,2.0
2617,0.0,2.0
3390,0.0,3.0
2511,0.0,3.0
2932,1.0,1.0
2048,0.0,3.0
2353,2.0,0.0
2955,2.0,0.0
2587,2.0,0.0
2808,2.0,0.0
3063,0.0,2.0
2060,0.0,2.0
3330,0.0,2.0
3032,2.0,0.0
3411,0.0,1.0
3899,1.0,1.0
3860,1.0,1.0
2118,1.0,1.0
3271,0.0,1.0
3461,0.0,1.0
3322,0.0,1.0
3798,2.0,0.0
2665,1.0,1.0
3337,2.0,0.0
2278,0.0,3.0
2320,1.0,3.0
2129,0.0,2.0
2864,0.0,2.0
3436,0.0,3.0
2213,0.0,2.0
3051,1.0,1.0
2329,1.0,2.0
3517,0.0,2.0
3073,2.0,0.0
3373,2.0,1.0
3108,0.0,1.0
2721,0.0,2.0
3223,2.0,0.0
2032,0.0,3.0
2685,2.0,0.0
2867,0.0,3.0
3796,0.0,2.0
2972,0.0,2.0
3339,1.0,1.0
3192,2.0,0.0
2203,2.0,0.0
3673,1.0,3.0
3603,0.0,2.0
2576,1.0,2.0
3227,2.0,0.0
2596,0.0,2.0
3764,0.0,2.0
3689,1.0,1.0
2244,0.0,2.0
3636,1.0,1.0
2363,0.0,2.0
2759,2.0,0.0
2824,2.0,0.0
2240,2.0,2.0
3528,0.0,2.0
3889,2.0,0.0
2718,0.0,1.0
3145,0.0,3.0
2510,1.0,1.0
3536,0.0,2.0
3006,2.0,1.0
2980,3.0,0.0
2702,1.0,1.0
2530,0.0,2.0
3210,2.0,0.0
2997,0.0,1.0
2640,1.0,1.0
3008,1.0,1.0
3799,1.0,3.0
3918,0.0,2.0
3282,0.0,2.0
2898,0.0,2.0
3610,0.0,3.0
2603,0.0,2.0
2192,0.0,2.0
3354,1.0,3.0
2145,2.0,0.0
3183,1.0,2.0
3597,0.0,3.0
3111,2.0,0.0
3152,2.0,1.0
3023,0.0,2.0
3645,0.0,2.0
3248,0.0,3.0
2655,0.0,3.0
2207,2.0,0.0
2456,2.0,0.0
3268,0.0,2.0
3406,1.0,2.0
3366,0.0,3.0
3885,0.0,1.0
3102,0.0,2.0
2282,1.0,2.0
2141,1.0,1.0
2080,0.0,2.0
2529,2.0,1.0
3493,2.0,0.0
3503,0.0,2.0
2498,1.0,1.0
2736,2.0,0.0
2008,0.0,1.0
3666,2.0,1.0
2816,0.0,1.0
2093,2.0,1.0
2916,0.0,2.0
2430,1.0,2.0
2247,3.0,1.0
2523,1.0,1.0
2416,1.0,2.0
3977,0.0,1.0
2969,2.0,1.0
3659,0.0,1.0
2941,1.0,2.0
2512,0.0,2.0
2445,0.0,2.0
2683,1.0,1.0
3744,0.0,2.0
3875,1.0,2.0
3593,1.0,2.0
2849,1.0,2.0
3005,0.0,2.0
3995,1.0,1.0
3147,1.0,1.0
3548,1.0,1.0
2671,0.0,3.0
2082,1.0,1.0
3058,1.0,2.0
2633,0.0,2.0
3030,1.0,1.0
3560,1.0,2.0
3214,0.0,1.0
2638,0.0,1.0
2242,1.0,1.0
3087,0.0,2.0
3385,1.0,1.0
3391,2.0,0.0
2966,0.0,1.0
3724,0.0,3.0
2208,0.0,2.0
3100,1.0,2.0
3182,0.0,2.0
3494,0.0,2.0
3169,0.0,3.0
2142,0.0,2.0
2929,1.0,1.0
2474,1.0,2.0
3887,3.0,1.0
3865,0.0,3.0
2127,0.0,2.0
3627,1.0,2.0
3946,0.0,2.0
2150,0.0,3.0
2263,0.0,2.0
2592,1.0,1.0
2294,0.0,3.0
3482,1.0,1.0
2191,2.0,1.0
3538,0.0,2.0
3328,2.0,0.0
3267,2.0,0.0
2871,0.0,3.0
2616,2.0,1.0
2446,0.0,2.0
2551,2.0,2.0
2620,1.0,3.0
3194,0.0,2.0
3830,1.0,1.0
3607,2.0,2.0
2727,0.0,3.0
2095,1.0,1.0
3816,2.0,2.0
3562,0.0,1.0
2461,0.0,2.0
