,y
1144,0.0
1592,0.0
1954,0.0
1776,0.0
1306,0.0
1971,0.0
1108,0.0
1344,0.0
1152,0.0
1230,0.0
1132,0.0
1523,1.0
1240,0.0
1117,0.0
1122,1.0
1923,0.0
1463,1.0
1043,0.0
1013,0.0
1097,0.0
1603,0.0
1799,0.0
1586,0.0
1821,0.0
1320,1.0
1732,0.0
1946,1.0
1494,0.0
1257,0.0
1426,0.0
1880,0.0
1336,0.0
1129,0.0
1504,0.0
1429,0.0
1380,0.0
1602,0.0
1853,0.0
1284,0.0
1881,0.0
1432,0.0
1830,0.0
1004,0.0
1649,0.0
1554,0.0
1813,0.0
1614,0.0
1708,0.0
1467,0.0
1220,0.0
1137,0.0
1966,0.0
1383,0.0
1185,0.0
1049,1.0
1142,0.0
1148,0.0
1918,0.0
1533,0.0
1000,0.0
1381,0.0
1015,0.0
1423,0.0
1876,0.0
1030,0.0
1882,0.0
1139,0.0
1166,0.0
1985,1.0
1987,0.0
1242,0.0
1026,0.0
1861,0.0
1285,0.0
1805,0.0
1162,1.0
1069,0.0
1936,0.0
1081,0.0
1769,1.0
1356,0.0
1685,0.0
1511,0.0
1515,0.0
1337,0.0
1499,0.0
1652,0.0
1329,0.0
1118,0.0
1974,1.0
1545,0.0
1814,0.0
1177,0.0
1958,0.0
1374,0.0
1551,1.0
1637,0.0
1980,0.0
1353,0.0
1875,0.0
