,y_hat
964,False
945,False
552,False
756,False
645,False
558,False
959,False
715,False
668,False
622,False
703,False
841,False
950,False
521,False
568,False
833,False
527,False
978,False
693,False
560,False
770,False
811,False
896,False
583,False
793,False
813,False
750,False
710,False
642,False
944,False
947,False
595,False
562,False
623,False
726,False
659,False
948,False
605,False
507,False
566,False
526,False
567,False
921,False
539,False
831,False
505,False
654,False
502,False
891,False
503,False
794,False
760,False
529,False
957,False
688,False
937,False
829,False
640,False
799,False
850,False
832,False
754,False
798,False
809,False
993,False
820,False
515,False
739,False
606,False
884,False
834,False
988,False
788,False
614,False
603,False
845,False
909,False
631,False
954,False
856,False
882,False
908,False
912,False
981,False
761,False
920,False
904,False
764,False
522,False
919,False
835,False
513,False
943,False
789,False
999,False
785,False
755,False
729,False
725,False
926,False
