,y
3387,1.0
2461,1.0
2228,1.0
3649,1.0
2384,1.0
3580,1.0
2811,1.0
3071,1.0
3856,1.0
3329,1.0
2355,1.0
2631,1.0
2208,1.0
2879,1.0
3581,1.0
3406,1.0
2184,1.0
2152,1.0
2321,1.0
2090,1.0
2446,1.0
3515,1.0
2992,1.0
2471,1.0
3458,1.0
2592,1.0
2324,1.0
3426,0.0
3268,1.0
3928,1.0
2854,1.0
2663,1.0
2297,1.0
3340,1.0
3197,1.0
3409,1.0
3501,1.0
3522,1.0
2742,1.0
2756,1.0
3554,1.0
2145,1.0
3641,1.0
3213,1.0
2311,1.0
3321,1.0
3794,1.0
3540,1.0
3170,1.0
2587,1.0
2953,1.0
2318,1.0
2125,1.0
3779,1.0
3546,1.0
3165,1.0
2395,1.0
2342,1.0
3368,1.0
2775,1.0
3982,1.0
2690,1.0
3838,0.0
3018,1.0
2946,1.0
3117,1.0
2888,1.0
2626,1.0
2669,1.0
2530,1.0
3296,1.0
3270,1.0
2581,1.0
3557,0.0
2620,0.0
3808,1.0
2196,1.0
3790,1.0
3664,1.0
3932,1.0
2885,1.0
2845,1.0
3246,1.0
3666,1.0
3945,1.0
2243,1.0
3752,1.0
2849,1.0
2856,1.0
2928,1.0
2325,1.0
3657,1.0
2140,1.0
3854,1.0
2067,0.0
2490,1.0
2344,1.0
3916,1.0
3742,1.0
2485,1.0
2915,1.0
3060,1.0
3454,1.0
3563,1.0
2665,1.0
2213,1.0
3087,1.0
3570,1.0
2547,1.0
2327,1.0
2456,1.0
2108,1.0
2538,1.0
2148,1.0
3188,1.0
3341,1.0
3251,1.0
2370,1.0
3116,0.0
2284,1.0
2133,0.0
2754,1.0
3382,1.0
3979,1.0
3115,1.0
2841,1.0
2131,0.0
3868,1.0
2959,1.0
3397,1.0
3128,1.0
3390,1.0
2518,1.0
3300,1.0
2667,1.0
3772,1.0
3391,1.0
2627,1.0
3863,1.0
2593,1.0
2129,1.0
2924,1.0
2573,1.0
2803,1.0
3030,1.0
3161,1.0
2890,1.0
3836,1.0
2882,1.0
3940,1.0
3533,1.0
2501,1.0
3408,1.0
3912,1.0
2979,1.0
3983,1.0
3388,1.0
3684,1.0
2590,1.0
3346,1.0
3523,1.0
2561,1.0
2161,1.0
2515,1.0
2629,1.0
3759,1.0
3407,0.0
2337,1.0
3673,1.0
2507,1.0
3229,1.0
2595,1.0
2374,1.0
2848,1.0
3676,1.0
3644,1.0
2273,1.0
3017,1.0
3986,1.0
3924,1.0
2024,1.0
3910,1.0
3674,1.0
2236,1.0
3053,1.0
2739,1.0
3048,1.0
3411,1.0
3601,1.0
2586,1.0
2555,1.0
2892,1.0
2068,1.0
2865,1.0
3094,1.0
2263,1.0
3083,1.0
2466,1.0
3078,1.0
3528,1.0
