,years_experience,degree,nr_commits,nr_languages,nr_stars
286,1.0,0.0,3035.0,3.0,5.0
324,0.0,2.0,4.0,6.0,11.0
265,0.0,2.0,2020.0,1.0,3.0
231,0.0,2.0,14.0,1.0,11.0
268,1.0,1.0,1010.0,6.0,7.0
393,2.0,0.0,2019.0,5.0,4.0
394,1.0,0.0,1009.0,4.0,8.0
363,2.0,0.0,2022.0,9.0,7.0
217,1.0,0.0,1009.0,3.0,7.0
303,2.0,0.0,2022.0,12.0,8.0
209,2.0,0.0,2016.0,11.0,4.0
326,3.0,0.0,2024.0,2.0,5.0
211,0.0,2.0,2025.0,2.0,2.0
398,1.0,0.0,2025.0,3.0,7.0
236,2.0,0.0,1009.0,2.0,6.0
352,1.0,0.0,1015.0,1.0,8.0
205,1.0,0.0,3031.0,1.0,5.0
396,1.0,1.0,2020.0,2.0,4.0
307,3.0,0.0,3030.0,1.0,8.0
323,2.0,1.0,2016.0,2.0,6.0
321,1.0,0.0,3031.0,9.0,6.0
297,2.0,0.0,2026.0,1.0,9.0
239,1.0,0.0,2017.0,4.0,10.0
345,0.0,0.0,2023.0,9.0,4.0
292,0.0,0.0,2028.0,5.0,5.0
300,1.0,0.0,2016.0,3.0,5.0
385,1.0,0.0,2018.0,3.0,5.0
275,0.0,0.0,8.0,7.0,12.0
219,3.0,0.0,2019.0,11.0,1.0
235,2.0,0.0,2024.0,7.0,3.0
269,0.0,0.0,1010.0,3.0,4.0
273,0.0,1.0,2026.0,4.0,7.0
330,1.0,1.0,1009.0,2.0,4.0
259,1.0,0.0,1010.0,2.0,5.0
200,2.0,0.0,2022.0,3.0,8.0
369,0.0,0.0,2024.0,10.0,10.0
296,1.0,0.0,2018.0,7.0,5.0
250,0.0,0.0,5.0,3.0,13.0
339,0.0,0.0,1008.0,6.0,4.0
313,2.0,1.0,2023.0,4.0,8.0
283,1.0,1.0,1008.0,7.0,9.0
264,1.0,0.0,2018.0,2.0,6.0
362,2.0,0.0,2019.0,7.0,8.0
308,2.0,0.0,2019.0,5.0,7.0
241,0.0,2.0,5.0,7.0,11.0
379,1.0,0.0,2017.0,3.0,5.0
298,2.0,0.0,2024.0,4.0,3.0
373,2.0,0.0,2019.0,3.0,4.0
294,1.0,0.0,14.0,5.0,13.0
329,1.0,2.0,1017.0,0.0,7.0
