,senior-level_skill
2930,1.0
2542,1.0
2979,1.0
3859,1.0
2558,0.0
3116,1.0
2086,1.0
2450,1.0
3471,1.0
2838,1.0
3503,1.0
3443,1.0
2237,1.0
3459,1.0
2457,1.0
3590,1.0
2122,1.0
3293,1.0
2281,1.0
2044,1.0
3861,1.0
3499,1.0
3153,0.0
3880,1.0
3957,1.0
2879,1.0
3797,1.0
3677,1.0
2505,1.0
3707,1.0
2591,1.0
2355,1.0
2218,1.0
2636,1.0
2661,1.0
2848,1.0
3764,1.0
2103,1.0
2741,1.0
3022,1.0
3398,1.0
2994,1.0
3629,1.0
3015,1.0
2871,1.0
3979,1.0
2486,1.0
3259,1.0
2547,1.0
2206,1.0
3276,1.0
2484,1.0
2186,1.0
3601,1.0
2383,1.0
3211,1.0
3816,1.0
2379,1.0
3345,1.0
3286,1.0
2708,1.0
2429,1.0
3618,1.0
2139,1.0
2351,0.0
3620,1.0
3772,1.0
2721,1.0
3660,1.0
3289,1.0
2111,1.0
3559,1.0
3749,1.0
2579,1.0
3652,1.0
2696,1.0
2673,1.0
2000,1.0
3232,1.0
3288,1.0
2054,1.0
2816,1.0
3378,1.0
2444,1.0
3311,1.0
2611,1.0
2820,1.0
3625,1.0
2031,1.0
2832,1.0
2171,1.0
2717,1.0
2973,1.0
3024,1.0
2456,1.0
2255,1.0
3528,1.0
2221,1.0
2535,0.0
2399,1.0
2551,1.0
2992,1.0
2149,1.0
3001,1.0
3870,1.0
3375,1.0
3446,1.0
3095,1.0
3093,0.0
3846,1.0
3224,1.0
2216,1.0
2846,1.0
2970,1.0
3355,1.0
2679,1.0
3711,1.0
2048,1.0
2401,1.0
3584,1.0
2728,1.0
3183,1.0
2802,1.0
3661,1.0
2331,1.0
2264,1.0
2527,1.0
2642,1.0
3373,0.0
3483,1.0
2468,1.0
3597,1.0
3387,1.0
3078,1.0
2764,1.0
2877,1.0
2534,0.0
3763,1.0
2400,1.0
3350,1.0
2644,1.0
2875,1.0
2557,1.0
3167,1.0
2219,1.0
3164,1.0
2859,1.0
3741,1.0
3388,1.0
3098,1.0
3778,1.0
3516,1.0
2726,1.0
3919,1.0
3981,1.0
3603,1.0
2167,1.0
2830,1.0
2083,1.0
2232,1.0
2250,1.0
3265,1.0
2415,1.0
2938,1.0
3976,1.0
3791,1.0
3240,1.0
2242,1.0
2227,1.0
3440,1.0
3428,1.0
3879,1.0
3562,0.0
2290,1.0
3940,1.0
2617,1.0
2289,1.0
2258,1.0
3049,1.0
2251,1.0
2850,1.0
2076,1.0
3915,1.0
3096,1.0
2231,1.0
2574,1.0
3029,0.0
3131,1.0
3476,1.0
3023,1.0
3547,1.0
2529,1.0
3912,1.0
3275,1.0
2465,1.0
2779,1.0
2507,1.0
3360,1.0
2955,1.0
3507,1.0
