,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
200,1.0,0.0,0.2826891,2.0,4.0,8.0
201,0.0,0.0,0.4473914,5.0,8.0,3.0
202,2.0,2.0,0.18858469,4.0,3.0,4.0
203,0.0,3.0,0.17820847,2.0,5.0,0.0
204,6.0,2.0,0.39132845,4.0,3.0,5.0
205,5.0,1.0,0.11182666,4.0,4.0,7.0
206,0.0,2.0,0.105015874,9.0,2.0,6.0
207,0.0,3.0,0.966022,7.0,6.0,1.0
208,7.0,0.0,0.8200313,3.0,10.0,5.0
209,0.0,3.0,0.050847888,9.0,0.0,6.0
210,6.0,2.0,0.68529224,2.0,0.0,4.0
211,5.0,2.0,0.5249778,1.0,4.0,5.0
212,1.0,1.0,0.75267637,2.0,1.0,6.0
213,3.0,2.0,0.75047696,7.0,1.0,2.0
214,3.0,2.0,0.78896844,7.0,1.0,3.0
215,5.0,2.0,0.0029820204,3.0,4.0,9.0
216,2.0,0.0,0.090868235,3.0,7.0,0.0
217,7.0,2.0,0.39518702,2.0,3.0,6.0
218,4.0,3.0,0.36704695,5.0,3.0,4.0
219,0.0,0.0,0.7744874,3.0,8.0,1.0
220,4.0,2.0,0.89178896,3.0,10.0,4.0
221,7.0,3.0,0.23669255,5.0,15.0,1.0
222,1.0,1.0,0.5303719,4.0,11.0,4.0
223,1.0,3.0,0.16992962,5.0,4.0,7.0
224,1.0,0.0,0.28210664,3.0,1.0,2.0
225,2.0,1.0,0.3266846,3.0,4.0,3.0
226,5.0,2.0,0.28535688,1.0,2.0,1.0
227,2.0,2.0,0.019224048,1.0,4.0,7.0
228,3.0,0.0,0.45381367,10.0,3.0,5.0
229,1.0,2.0,0.82525635,7.0,1.0,5.0
230,1.0,1.0,0.25773978,5.0,4.0,2.0
231,2.0,2.0,0.50674224,4.0,0.0,5.0
232,1.0,1.0,0.8734423,1.0,4.0,1.0
233,1.0,0.0,0.5827521,3.0,1.0,2.0
234,1.0,1.0,0.599115,6.0,0.0,7.0
235,1.0,3.0,0.63278055,12.0,4.0,7.0
236,3.0,1.0,0.27222192,3.0,6.0,2.0
237,3.0,0.0,0.53812075,5.0,4.0,7.0
238,0.0,2.0,0.34193337,3.0,2.0,0.0
239,3.0,2.0,0.9404994,6.0,4.0,2.0
240,4.0,3.0,0.49613678,8.0,5.0,3.0
241,2.0,0.0,0.6144985,2.0,4.0,1.0
242,7.0,0.0,0.5663781,5.0,3.0,3.0
243,4.0,2.0,0.32803547,3.0,2.0,5.0
244,2.0,3.0,0.84474254,5.0,1.0,6.0
245,1.0,1.0,0.7997508,2.0,0.0,1.0
246,1.0,0.0,0.90403867,4.0,2.0,1.0
247,6.0,0.0,0.7099922,5.0,6.0,3.0
248,3.0,1.0,0.88037527,3.0,3.0,4.0
249,4.0,1.0,0.8542595,3.0,2.0,3.0
250,5.0,1.0,0.7253263,7.0,1.0,5.0
251,4.0,0.0,0.08580363,2.0,2.0,3.0
252,7.0,0.0,0.9363884,5.0,0.0,3.0
253,1.0,0.0,0.34261823,3.0,6.0,5.0
254,1.0,1.0,0.18959057,5.0,1.0,14.0
255,3.0,0.0,0.67108655,7.0,5.0,3.0
256,4.0,0.0,0.7239362,3.0,6.0,8.0
257,3.0,1.0,0.5688362,3.0,2.0,2.0
258,3.0,0.0,0.86983013,4.0,0.0,0.0
259,5.0,2.0,0.3932761,5.0,4.0,3.0
260,7.0,3.0,0.26251698,0.0,4.0,10.0
261,5.0,2.0,0.94118214,4.0,6.0,2.0
262,1.0,2.0,0.16048086,5.0,2.0,9.0
263,3.0,0.0,0.51450086,4.0,3.0,6.0
264,1.0,1.0,0.011749983,8.0,4.0,9.0
265,1.0,0.0,0.62988615,2.0,8.0,2.0
266,2.0,1.0,0.40852368,0.0,1.0,4.0
267,3.0,0.0,0.117179155,5.0,5.0,7.0
268,3.0,1.0,0.04108107,7.0,1.0,2.0
269,4.0,1.0,0.033052325,7.0,5.0,6.0
270,3.0,0.0,0.38959277,3.0,16.0,1.0
271,5.0,1.0,0.28167593,8.0,1.0,3.0
272,7.0,2.0,0.63090205,1.0,7.0,4.0
273,2.0,0.0,0.8571391,2.0,0.0,2.0
274,7.0,2.0,0.023365855,6.0,1.0,3.0
275,2.0,1.0,0.80399096,5.0,1.0,2.0
276,2.0,2.0,0.7237499,2.0,4.0,6.0
277,1.0,0.0,0.9077934,6.0,4.0,2.0
278,5.0,0.0,0.15632308,3.0,1.0,3.0
279,7.0,1.0,0.22788167,5.0,2.0,0.0
280,1.0,1.0,0.7828889,10.0,3.0,5.0
281,5.0,0.0,0.2342341,6.0,0.0,2.0
282,7.0,0.0,0.13202417,4.0,0.0,9.0
283,4.0,3.0,0.538113,2.0,3.0,4.0
284,7.0,3.0,0.4585265,3.0,3.0,2.0
285,3.0,2.0,0.039803505,4.0,5.0,6.0
286,3.0,0.0,0.3717345,4.0,3.0,3.0
287,2.0,2.0,0.91557443,6.0,1.0,8.0
288,4.0,1.0,0.43557036,2.0,2.0,2.0
289,2.0,3.0,0.9200928,6.0,3.0,0.0
290,2.0,2.0,0.8733243,2.0,5.0,0.0
291,1.0,1.0,0.99500954,1.0,1.0,4.0
292,5.0,1.0,0.9648819,2.0,9.0,1.0
293,1.0,0.0,0.91748214,2.0,0.0,2.0
294,1.0,0.0,0.66402876,7.0,1.0,3.0
295,5.0,1.0,0.83397126,7.0,0.0,3.0
296,6.0,2.0,0.76951694,6.0,3.0,6.0
297,1.0,0.0,0.33235955,8.0,8.0,4.0
298,1.0,0.0,0.90073156,3.0,1.0,6.0
299,2.0,0.0,0.14186001,4.0,1.0,1.0
300,1.0,0.0,0.9256289,2.0,14.0,4.0
301,2.0,2.0,0.9613892,6.0,0.0,3.0
302,1.0,2.0,0.6233326,2.0,7.0,6.0
303,0.0,1.0,0.11007476,8.0,7.0,3.0
304,5.0,0.0,0.65376925,2.0,2.0,6.0
305,1.0,0.0,0.53068423,0.0,10.0,1.0
306,4.0,0.0,0.6316302,1.0,0.0,7.0
307,3.0,0.0,0.38410842,3.0,1.0,3.0
308,2.0,0.0,0.27186215,1.0,0.0,2.0
309,2.0,0.0,0.16022015,6.0,3.0,3.0
310,5.0,0.0,0.36636758,6.0,4.0,1.0
311,5.0,2.0,0.8963356,3.0,1.0,2.0
312,2.0,3.0,0.85540795,3.0,4.0,6.0
313,5.0,2.0,0.3610605,6.0,1.0,5.0
314,7.0,2.0,0.79891765,4.0,1.0,2.0
315,3.0,1.0,0.7551774,3.0,5.0,3.0
316,8.0,2.0,0.33210802,1.0,0.0,6.0
317,1.0,0.0,0.06341827,5.0,1.0,5.0
318,3.0,0.0,0.4297769,5.0,2.0,9.0
319,3.0,0.0,0.5364009,5.0,1.0,0.0
320,4.0,3.0,0.62593246,0.0,0.0,5.0
321,3.0,3.0,0.769935,6.0,4.0,6.0
322,5.0,2.0,0.22272003,2.0,1.0,6.0
323,4.0,0.0,0.5591787,5.0,5.0,3.0
324,4.0,0.0,0.20281982,4.0,0.0,6.0
325,3.0,1.0,0.3288344,7.0,1.0,4.0
326,5.0,2.0,0.90270126,0.0,9.0,3.0
327,2.0,0.0,0.3379395,5.0,1.0,2.0
328,1.0,2.0,0.6510459,6.0,8.0,3.0
329,2.0,0.0,0.98204243,5.0,1.0,4.0
330,3.0,3.0,0.2768407,0.0,9.0,2.0
331,2.0,0.0,0.51246035,7.0,3.0,3.0
332,4.0,2.0,0.21043444,5.0,7.0,3.0
